month,沈阳,大连,长春,哈尔滨,鞍山,抚顺,本溪,锦州,吉林,齐齐哈尔,牡丹江,大庆,营口,丹东,盘锦,葫芦岛,阜新,辽阳,铁岭,朝阳,四平,辽源,通化,白山,松原,白城,鸡西,鹤岗,双鸭山,伊春,佳木斯,七台河,黑河,绥化,大兴安岭地区
21-Jan,88.6,60.3,74.2,108.2,96,95.3,71.2,102.9,75.7,50.5,82.5,56,95.7,61.8,83.7,106.5,79.7,93.4,85,85.2,66.9,72.7,61.9,66.3,59.2,50.6,80.6,53.7,68.3,68.4,72.5,88.8,36.9,93.9,31.2
21-Feb,78,66.3,75.4,83.2,85.9,87.1,67,101.9,75.5,46.2,77.9,53.2,86.3,71.3,101.4,103.4,87.7,78.2,85.3,80.3,77.9,70.1,51.9,69.6,59.8,48.3,64.2,46.8,57.1,50.4,57.6,68.6,33.2,72.5,27.4
21-Mar,106.2,87.1,84.1,69.7,109.7,106.9,91.4,99.9,82,58.9,55.4,58.2,91.1,78.5,87.2,101.7,90.2,113.3,104.8,89,88.7,81,65.2,71.8,59.8,63.9,49.9,47.9,49.4,41.5,48.8,50.3,35.4,56.9,30.1
21-Apr,69.2,56,78.9,88.3,71.7,63.8,54.8,69,79.8,53.6,70.4,65,66,52.4,59.8,65.1,73.5,68.7,66.8,58.2,72.3,60.1,48.3,52.3,70.9,47.4,74,58.3,59.3,45.5,71.6,75.2,36.9,84.9,41
21-May,58.6,55.9,56.7,48.4,67,59.1,54.2,66.3,46.4,41,41.3,43.1,59.2,47.7,55,59.8,68.8,59.8,56.1,60.5,51.9,46.2,43.2,44.2,46.4,36.6,44.6,39.1,38.5,29,38.9,39.1,24.2,43.2,32.3
21-Jun,40.2,35.8,35.8,39.9,45.1,42.1,36.7,47,34.6,37.3,31.7,36.1,39.5,34.5,38.4,50,46.6,39.3,38.8,47.6,35.2,34.1,35.6,38,33.6,31.8,36.8,33.6,29.3,24.1,33.8,35.2,27.6,35.6,30.5
21-Jul,39.2,27,36.9,36,33.4,38.1,33.9,37.7,31.6,30.4,26.7,29.2,33.2,29.4,30.6,37.8,37.5,33.1,38.7,36.7,35.4,30.3,34.6,36.6,29.6,28.9,33,29.2,27.8,23,35.8,30.6,23.8,29.9,29.3
21-Aug,39.4,37.8,31.4,31.8,45.4,38.3,36.7,41.1,27.6,32.4,27.1,26.1,43,29.6,35.1,41,40,41.8,34.2,40.3,30,29.2,29.3,34.9,24.2,29.4,30.1,27.6,27.8,18.6,29.5,27.6,20.4,24.9,20
21-Sep,39.9,34.5,33.9,34.5,42.3,36.8,32.7,38.5,29.3,29.3,31.2,25.4,43.7,27.6,36.5,39.1,39,41.7,33.2,39.9,32.3,30.9,30.4,35.6,24.7,26.8,35.7,31,34.1,20.9,34.2,29.9,22.5,24.3,21.3
21-Oct,53.7,43.7,53.5,47.8,53.2,56.5,46,60.3,45.4,40.1,44.9,35.8,50.5,38.1,42.7,51.1,57.1,50.7,52.1,53.6,48.6,44.7,38.8,48.3,41.7,37.1,55.3,43.7,43.9,32.2,43.8,55.5,26.1,37.9,23.9
21-Nov,74,57.2,59.7,65,69.9,76,65.5,76.8,51.4,44.1,46.5,49.2,67,53.2,57.1,60.2,71.9,70.5,67.1,60.3,53.2,52.5,43,56,53.1,47.9,55,43.4,46.6,41,50.2,50.5,28.8,63.4,30
21-Dec,58.3,50.5,52.6,63.1,60,69.9,58.4,63.2,48.4,46.9,55.7,51.7,59.1,58.2,44.6,56.4,63.5,58.5,62,51.1,51.8,55.5,51.3,66.3,49.1,46.3,56.5,45,45.3,49,46.3,55.1,32.5,66.3,35
22-Jan,86.3,53.9,80.6,131.8,87.8,93.5,88.7,79.7,90.3,73.3,76,92.8,88.5,56.5,67.6,74.4,70.4,89.6,86.9,76.1,72.6,84.6,74,77,94.8,76.4,67,45.6,67.6,56.5,77.1,87.8,34.7,117.9,39
22-Feb,62.5,46.5,67.9,92.6,60.5,75.8,66.2,66.9,63.4,45.8,57.3,53.7,59.4,55.9,58.8,59.8,55.2,64.8,66.4,50.3,64.5,66.3,58.8,68,65.3,46.4,55.3,38.9,54.6,51.7,56.4,66.5,27.1,92.5,35.2
22-Mar,62.5,50.9,50.9,48.6,58.6,63.7,55.9,65.6,42.6,38.2,39.2,42.2,57.2,46.9,56.3,57,59.2,62.4,65.9,54,54.4,54.4,40,55.1,41.2,41.5,42.2,39.3,42.9,33.5,38.8,42.8,29.1,46.2,28.5
22-Apr,65.2,47.6,77.4,84.4,61.6,64.8,59.3,69.6,72.5,58.3,51.9,56.1,54.8,48,60.4,62.5,69,66.1,71.3,58.3,74.6,65.3,45.8,57.2,72.4,71.1,60.8,54.1,58.5,45.7,56.8,65.1,28.3,87.3,25.8
22-May,52.3,45.7,42.3,40.4,53.2,51.7,49.2,56.2,37.9,35.5,29.8,32.5,48.9,37.4,48.7,52.2,55.7,53.2,52.3,48.5,45.4,40.2,37.5,46.3,42.7,35,32.5,32.4,34.1,26,30.4,37.6,25.1,37.8,24.7
22-Jun,37.1,30.6,37.1,32.3,39.2,37.5,35.2,46.4,31.1,31.7,21.7,28,37.1,25.3,35.6,43.7,40.1,38,40.3,41.9,34.5,32.1,26.2,37.3,28.9,29.8,28.4,25.4,27.4,20.1,27.4,28.5,23.4,29.1,23.1
22-Jul,35.6,32.7,29.4,33.4,35.8,34.1,35.3,36.3,25,31.4,18,24.7,37.8,27.1,31.3,39.9,36.3,39.6,35.8,35.9,29.2,26.6,23.9,33.9,26.9,31,26.9,20.1,23.4,17.4,25.9,25.3,25,26.8,20.7
22-Aug,35.6,30,30.6,27.2,37.8,34.7,36.4,40.8,25.7,26.5,19,21.4,35.4,22.8,31.4,39.7,39.7,40.2,33.4,40.5,28.9,27.9,25,31.3,23.9,24.9,29.3,20.7,22.9,16.2,25.8,26.2,16.9,24.7,14
22-Sep,44.4,36.1,39.7,35.9,46.3,42,36.7,55.4,34.6,32.9,28.4,25.9,46.6,29.3,38.9,54,49.8,43.1,38.8,47.3,39.5,38.1,31.3,42.2,31.3,31,37.1,28.9,30.1,22.1,30.6,31.5,18.4,33.4,17.5
22-Oct,48.5,40.5,41.8,43.9,52,50,46.6,61.1,39.6,41.8,38.6,34.7,51,37,46.8,56.6,50.5,53.8,47.5,47.9,42.1,44.3,33.8,50.7,40.3,42,47,37,41.9,30.1,38.4,43.1,32,39.6,29
22-Nov,62.4,56.3,58.8,77.6,60.5,62.2,59.3,76.7,54.4,49.1,49.4,59.8,65.9,50.7,67.7,72.8,67.8,64.8,67.1,59.5,54.3,53.1,39.6,59.1,58.4,53.7,60.8,45.7,52.8,50.9,52.5,54.3,28.6,78,27.7
22-Dec,60,46.7,56,69.8,56.9,70.7,63.9,73.6,53.8,34.9,51.3,38.7,62.2,55.8,58.2,67.7,59.8,65.1,66.3,59.5,56.8,59.5,48.6,69.4,47.9,40.7,49.2,39.6,42.4,49.6,45.2,54.7,27.1,68.3,27.5
23-Jan,69.8,65.6,69.8,100.9,74.7,77,75.7,87,70.3,67.7,69.6,71.4,77.3,63.8,67.3,83,73.1,72.2,77.6,78.4,64.1,69.3,68.3,72.4,70.6,50.1,78.5,50,61.7,58.6,74.8,77.2,44.7,102.7,42.1
23-Feb,76.7,69.9,74.6,89.1,81.8,78.7,74.7,85,66.5,53,54.1,62.4,79.9,62.4,64.6,79.2,75.6,82.7,85.2,67.2,74.1,67.9,50.2,61.4,67.1,48.1,62.2,48.4,56.8,55.4,62.9,69.2,38.5,94.3,37.4
23-Mar,86.1,73.3,93.2,84.2,86.1,88.8,79.3,113.4,77.7,58.3,62.8,55.2,87.7,74.3,89.7,106.9,103.9,84.3,98,98.3,96.6,75.7,53.8,73.6,80.6,64.4,66.8,52.3,57.3,51.1,55.4,67.1,36.3,77.3,30.9
23-Apr,97.1,75.9,110.3,97.9,97.6,102.5,93.2,94.6,110.6,69,83.3,74.7,93.8,70.4,87.4,91.4,91.9,100.4,103.5,91.3,98.6,88.4,60.7,79.3,103.5,91.5,88.4,51.6,74.1,46.5,69.7,75,31.2,94.7,39.6
23-May,56.9,55.2,60,58.2,57.9,57.9,53.9,60.9,52.9,50.7,38.6,54.2,56.8,42.1,57,61.8,73.2,57.6,57.5,63.3,57,45.8,40.8,52.2,63.7,60.7,50.2,37,40.1,36.2,37.2,41.4,29.5,53.9,29.7
23-Jun,45.5,40.5,42.4,39.1,50.7,46.5,45.4,52.6,44.3,32.2,28.5,32.1,43.8,33.9,42.7,53.6,50.1,44.9,47.5,52.6,45.1,44,32.2,41.4,38.5,34.4,30.4,27.3,28.6,23.5,28,27.4,24.7,33,21.5
23-Jul,41,36.3,30.7,33.7,42.9,40.1,40,45.7,28.8,35.8,22.4,32.4,40.2,30.7,38.7,46.5,44.9,42,40.6,46.1,33.4,31.6,30.8,39.7,31.3,34,28,23.2,25.7,21.5,28.8,24.8,40.9,27.9,31.7
23-Aug,32,35,27,27.7,39.3,30.8,35,35.6,25.6,23.1,18.7,18.7,34.3,24.2,29.2,37.8,36.6,38,28.4,37.2,26.9,25.5,24.4,31.5,21,22.3,23.9,19.6,20.9,16.1,22.9,18.4,19,20.1,18.1
23-Sep,41.8,38.1,35.3,32.9,46.8,39.5,44,45.1,33.5,26.9,28.6,25.2,44,32.4,35.6,44.5,44.8,42.9,38.5,44.9,37,30.5,33,40.8,29.2,29.1,36.3,29.5,28.2,20.7,28.4,25.1,20.1,26.7,18.1
23-Oct,53.5,44.4,55.2,54,55.6,61.3,54.3,60.7,49.6,39.2,45.9,41.4,54.5,36.8,46.9,55.4,53.8,50,58.4,54.8,52.3,53,37.6,48.9,48.5,43.2,48.1,38.5,39.8,31.5,39,42.4,30.6,48.3,29.4
23-Nov,55.2,45,55.6,62.9,54.9,56.6,52.5,58.8,58.1,41.7,53.4,50.5,52.2,38.8,47.3,58.4,47.9,57.2,58.7,50,52.8,39.6,31.5,46.6,57.3,46.1,47.6,36,45.2,40.9,45.3,54.8,28.8,70.4,28.5
23-Dec,78.4,60.8,60.7,81.3,71.2,74.6,69.4,81.6,57.6,43.6,65.2,51.4,77.3,60.9,65.1,79.9,66.4,76.3,73.9,63.6,63.4,54.8,53.6,63.4,63.9,43,56.9,42.8,49.8,55.6,51.5,70.5,34.1,82.7,26.9
24-Jan,72.3,53.4,70.2,104.4,69.2,78.7,67.6,69,79.7,44.5,74.1,67.4,67.9,61.5,55.6,71.7,55.5,72.9,72.5,57.6,68.2,58.9,54.6,64,71.5,51.6,73.5,48.2,69.1,54.3,78.4,88.3,34.6,103.2,31.1
24-Feb,88.7,71.7,88.1,109.4,90.7,88.9,86.8,71.6,97.5,56.5,69.4,65,87.8,62.2,68.2,72,61.5,93.6,90,72.7,87.9,80.7,61.6,67.7,78.4,58.4,60.7,47.2,63.1,57.8,65.8,66.8,40.8,98,37.7
24-Mar,73.9,66.2,57.6,52.8,83.5,76,71.5,76.7,57.1,45.4,48.3,46.3,76.9,54.9,73.3,72.3,71.7,85.5,76.4,67.3,65.4,49.1,44.1,55.4,52.3,52,44.6,46.8,42.9,38.7,48,44.5,32.9,45,32.2
24-Apr,82.7,58.1,93.9,81.7,77.7,85.3,70.6,70.8,87,62.5,62.8,66.1,69.5,55.3,68.5,63.8,66.4,82.2,89.4,56.3,88.9,69.9,55.7,63.7,74.6,64.2,62.4,50.9,57.7,46.6,59.4,60.3,36.4,76,36.5
24-May,47,46.9,42.3,43,51.2,47.8,46.6,56.8,41.4,36.7,36.1,37.7,51.8,38.3,53.4,56.1,55,48.2,46.6,50.5,43.7,38.1,35.5,40.8,44.2,37.6,37.7,36,39.9,32.6,36.6,37.2,33.9,37.5,26.2
24-Jun,43.6,38.4,38.3,36.3,47.7,43,42.2,50.7,41.5,30.7,29.4,31.5,42.4,32.6,48.2,52.2,50.1,44.1,43.9,52.4,40.6,40.7,31.9,39.1,38.3,31.4,28.1,23.5,27.8,23.7,26.8,24.7,29.3,28.4,24.9
24-Jul,40.2,38.4,40.9,46.2,44.1,38.9,36.1,48.6,41.7,47.2,38.8,43,40.4,29.2,41.2,49.4,44.7,40.7,42.2,47.3,41.4,36.2,31.2,38,39.8,40.7,37.7,41.4,41.7,39.7,40.5,40.2,53.8,40.5,49
24-Aug,34.3,35.9,29.5,33,39.8,34.5,38.6,36.2,29.1,26.2,26.8,27.2,37.7,26.3,31.8,38.9,34.8,37.9,31.2,31.4,28.5,26.8,26.1,34.7,24.5,25,25.4,23.5,25.4,18.9,23.6,25.1,26.4,22.2,20.1
24-Sep,35.3,34.3,31.2,35.3,41.3,31.2,33.5,34.8,28.6,28.4,30.2,31.8,40.8,29.4,31.6,37.8,35.5,37.6,31.9,33.1,30.4,28.2,25.1,34.4,27.7,28.4,29.9,31.4,28.2,24.3,24.5,30.9,25.4,26.5,21.5
24-Oct,52.9,39.1,46.3,49.1,56,57.1,49.5,55.3,48.2,41.1,43.3,39.8,52.9,40.1,44.6,51.6,47.1,49.5,53,45.3,44.8,45.6,35.7,49.9,41.8,35.1,43.2,43.4,41.4,37,37.9,45.3,37,65.2,30.8
24-Nov,50.5,37.5,70.8,100.4,51.3,55.2,48.8,61.9,52.2,77.8,55.1,94.6,50.8,48.6,46.7,55.3,61.9,49.3,51.7,56.1,54.8,48.5,37.6,55.9,73,64.3,61.6,44.4,56.6,40,58.6,59.1,41.1,131.7,39.5
24-Dec,54.6,36.7,48,66.1,55.1,65.9,57.4,59.4,45.5,39.6,48,47.9,55.6,53.1,45.1,56.2,53.3,58.3,52.8,49.4,50.9,45.3,46.7,57.3,53.7,41.2,36.6,35.4,45.7,51.2,42.7,48.1,30.6,82.7,25.2
25-Jan,82.7,54.5,77.9,138.4,89,87.3,80.2,77.3,78.1,102.4,73.3,107.5,96.4,65.1,74.3,77.3,65.5,93.1,81.1,73.7,73.6,69.3,56.3,61.5,94.7,76.4,76.4,61.5,98.3,69.9,99.3,94.7,44.8,141.7,41.8
25-Feb,66.9,51.8,68.8,73,68.5,80.3,69,68.1,60.3,41.1,52,52.4,69.5,54.1,61,65.6,66.5,70.1,74.7,56,72.7,67.5,51.5,56.8,67.4,43.6,41.4,39.3,53.7,43.8,49,51.2,31.9,69.2,29.9
25-Mar,73.6,62.2,77.7,63.1,69,83.4,66.3,73.7,63.1,45.8,48.9,52.3,66.2,61.7,64,69.9,76.6,70,82.7,65.1,83.3,66.9,48.2,55.7,71.5,67.1,50.3,38.5,43.3,32.8,37.5,42.8,30.9,43.2,30.3
25-Apr,56.3,46,55.1,68.9,53.5,61,55.2,53.9,56.4,53.2,46.8,52.5,51.6,48.9,51.6,51.1,53.6,54.8,58.6,48.5,59.8,51.7,42.9,49.4,53.9,45.5,55.2,44.8,58.5,38.4,55.2,54.1,32.8,66.6,30.3
25-May,52.4,44.9,43,42.4,48.4,49.9,47.7,55.6,40.6,43.9,33.5,42.9,50.8,45.3,49.4,54.2,54.9,50.7,49.8,52.7,43.2,42.7,36.6,41.2,44.3,43.7,35.3,40.6,39.1,33.8,38.2,36.6,37.3,41.5,32.8
25-Jun,39.8,37.9,36.5,38.3,42.1,41.2,38.7,44.5,37.8,31.8,31.1,32.7,44.2,38.7,42.6,46,38.6,42.9,37.6,39.1,36.6,38.4,31.6,38.2,33.8,29.6,33.8,32.8,32.7,24.9,32.4,29.9,28.8,33.6,24.7
25-Jul,31,29.6,28.8,32.3,32.3,32.1,30.4,34.7,27.9,27.5,25.7,27.6,31.5,29.5,29.7,39.5,32.6,33.4,30,31.9,29.5,28.5,22.5,28.4,28.2,27.4,28.3,28.4,26.3,22.7,27.3,25,24.5,26.9,21
