month,上海,南京,苏州,南通,连云港,徐州,扬州,无锡,常州,镇江,泰州,淮安,盐城,宿迁,杭州,宁波,温州,绍兴,湖州,嘉兴,台州,舟山,金华,衢州,丽水,合肥,福州,厦门,南昌,济南,青岛,芜湖,马鞍山,九江,蚌埠,淮南,淮北,铜陵,安庆,黄山,滁州,阜阳,宿州,六安,亳州,池州,宣城,莆田,三明,南平,龙岩,宁德,景德镇,萍乡,新余,鹰潭,赣州,吉安,宜春,抚州,上饶,芜湖,马鞍山,泉州,临沂,德州,聊城,滨州,淄博,枣庄,烟台,潍坊,济宁,泰安,日照,威海,东营,菏泽,漳州,赣江新区
21-Jan,63.6,80.7,71.6,73,93.9,115.5,86.8,77.6,84.4,87.5,84,100,78.7,105.3,74.5,60.6,63.3,71.2,70.6,72.6,61.6,50.4,69.2,65.2,57.3,93.4,51.6,51.5,94.9,123,90.8,94.3,92.2,87.6,104.3,108.4,113.5,91.7,88.4,60,95.7,121.4,114.9,95.4,121.5,90.8,82.5,53.7,58.4,49.9,52.9,54,66.3,105.2,77,78.6,63,74.9,83.5,70.6,70.4,94.3,92.2,54,129.2,123.4,133.9,108.7,121.3,125.3,78.7,111.7,139.7,129.4,98.9,56.9,96,151.3,60.5,90.8
21-Feb,46.9,54.8,48.6,55.8,61,75.5,59.3,51.1,59.6,62.5,61.3,66.7,52.3,67.4,50.7,43,49.7,50.7,46.5,50.1,49.6,39,48.2,47.5,42.4,59.4,45.5,45.9,59.8,75.1,59.2,61.8,62.7,63,70.1,78.8,72.9,62.9,64.1,40.6,63.6,83.4,77,63.3,76.9,55.9,51.9,51,43.7,43.9,42.5,52.9,40.1,64.2,51.1,47.3,41.8,49.3,49.3,51.1,53.3,61.8,62.7,52,83.9,91.1,88.4,81.8,78.9,82.5,66.2,74.9,80,80.7,63.8,50.9,78.5,92.9,49.4,60.6
21-Mar,64,71.2,67.4,69.8,97,97.5,83.5,70.7,79.2,87.4,78.7,99.7,84.2,96.6,54.5,43.9,51.7,52.8,57.7,58.8,47.3,42.3,44.9,40.5,42.4,69.9,48.1,48.6,55.3,121.5,94.2,64.6,71.9,54.9,93.1,93.8,95.8,60.5,55.9,35.1,91.3,94.3,101.6,73.4,94.1,50.6,51.8,56,52.3,42.1,48.2,47.5,40.2,55.4,53.9,41.9,48.6,49.4,51.3,44,45.4,64.6,71.9,51.3,114.2,123.5,127.1,125.7,125.7,109.9,92.6,113.8,118.3,123.9,96.7,78,118.1,126.6,56,63.2
21-Apr,53.4,56.1,54.2,52.7,59.6,74.1,59.4,57.6,65.3,61.6,54.2,63.9,53.4,63,52.6,42.6,52,52.3,51.9,51.2,47.8,37.8,54.3,48.2,44.2,62.7,45.7,45.8,49.1,82,55,55.3,59.1,53.8,70.7,77.3,72.3,60.3,50,40.3,63.1,75.3,73.5,65.6,75.6,48.8,50.7,50.9,45.9,38.3,44.6,49.5,45.2,45.2,48.6,41.2,41.2,45.6,45.8,42.9,49.9,55.3,59.1,48.3,77.6,86.3,89.9,82.1,83.9,78.1,58.9,71.8,81.2,81,62,51.5,72,89,53.2,61.8
21-May,53.1,54.9,53.7,58.6,66.7,76.6,65,57.8,62,59.9,60.9,70.7,59.4,73.9,46.6,37.8,47.7,45.2,51,48.4,42,34.4,42.3,40.5,35,58.2,39.9,32.8,41,90.7,60.9,50.4,56.4,45.9,71.2,72.3,74.5,51.5,43.4,32.2,58.9,67.7,73,54.9,69.6,42.3,43.3,44.2,40.6,28,31.4,42.2,42.7,38.1,44.9,32.7,36.9,38.6,42.3,35.4,37.5,50.4,56.4,39.6,82.4,86.3,91,77.8,82.8,83.7,60.7,72.3,86.7,86.4,68.6,56.4,71.2,91,39.8,50.7
21-Jun,37.4,49.6,41.1,42.7,47.4,60.6,57.5,46.7,53.3,54.7,49.1,54.2,44.3,57.4,43.4,28.6,38.4,36.5,45.6,38,32.5,25.2,38.9,42.8,30.2,51.8,36.2,27.9,35.9,66.6,42.7,45.4,50.1,37.7,53.4,58.5,59.3,47,43.7,25.6,52.3,52.9,61.3,46.3,56.2,42.5,41.3,36.5,37.3,25.8,24.6,37,34.2,35.1,42.5,28.3,31.7,35.2,40.8,31.4,35.3,45.4,50.1,34.8,62.2,66.1,67.6,60.3,66,66.8,40.4,51.7,65.4,67.8,47.9,39.4,51.7,70.5,32.1,49.2
21-Jul,31.8,32.7,33,35,27.8,33.5,37.7,33.8,34.7,36.3,32.6,29.1,29.8,31.4,31.8,22.5,35.2,27.6,34.8,31.5,27.3,21.9,29.8,35.9,27.1,32.8,31.7,27.5,36.3,43,29.2,30.9,35.9,33.5,29.3,32.2,30,32.1,28.7,19.5,33.2,29.1,30.5,28.8,28.3,26.8,27.4,33.3,37.5,25.4,29.2,32.8,31.9,30.6,38,26.5,32.1,33,38.5,31.7,33.8,30.9,35.9,31.8,34.6,48.3,43.2,46.2,44.5,37.9,30,36.6,38.2,43,31.8,28.7,40.1,39.3,32.7,48.2
21-Aug,31.5,41.2,36.4,34.6,34.7,44.5,38.6,42.4,44.1,41.1,35.7,34.8,31.4,39.3,38.7,24,34.6,33.7,43.5,34.6,27.2,22.9,34.5,37.6,26.3,41.3,29.7,26.2,36.7,55.3,36.6,40.1,43.7,36.2,39.1,42.2,39,40.9,37.4,22.2,39.4,38.7,39.6,36.3,39,36.9,35.6,30,33.6,23.8,27.5,29.9,35.9,32.8,40.6,29.9,31.6,34.1,40.8,33.9,34.7,40.1,43.7,28.4,45.6,47.9,52.7,50.8,57,49.6,39.1,41.9,49.7,51.8,36.4,36.4,44.2,50.3,32.9,45.3
21-Sep,35.6,44.2,38.8,36.3,35.9,46.4,45.7,42.8,47,46.2,40.1,39.4,35.2,40.9,48.2,33.7,35.8,45.4,47.6,40,33.1,27.4,45.7,49.2,34.5,47.8,29.4,30.2,48.6,42.5,34.6,47.5,49.6,43.4,46.4,47.2,43.4,50.2,45.8,30.2,45,43.6,45.9,46.2,42.1,47.1,43.3,31.2,36.8,27.6,36.7,29.3,42.8,45.5,49.3,39.5,40.5,44,51.4,42.5,45.6,47.5,49.6,33.7,42.7,42,44.2,43.6,44.5,47.3,34.2,39.7,44.1,41,36.9,31.1,40.1,45.6,39.7,56.2
21-Oct,36.2,46.8,38.8,37.7,51,68,50.2,44,49.4,49.5,45,54,45.9,54.4,43.4,32.8,38.9,43.8,43.6,37.4,33,27.4,44.4,46.9,35.8,53.4,29.2,31.4,50.6,69.8,53.2,52.1,53.1,48,61.6,64.1,68.4,53.8,44.6,32.2,53,67.4,70.9,48.7,66.4,46.2,45.8,29.4,30.9,27.5,30,28.3,41.3,52.8,49.2,43.4,41.2,45.8,50.9,44.8,46.1,52.1,53.1,32.5,67.5,73.4,80.5,64.3,73.2,73.3,48.8,67.8,75.5,61.6,50.3,39.8,60.6,87.1,36.1,53
