month,北京,天津,石家庄,唐山,秦皇岛,邯郸,保定,张家口,承德,廊坊,沧州,衡水,邢台,太原,呼和浩特,包头,鄂尔多斯,大同,长治,临汾,阳泉,赤峰,乌海,通辽,呼伦贝尔,巴彦淖尔,乌兰察布,兴安盟,锡林郭勒盟,阿拉善盟,晋城,朔州,晋中,运城,忻州,吕梁,雄安新区
21-Jan,70.9,84.6,116.8,90.1,77.5,116.5,92.9,82.4,68.6,77.2,99.7,99.4,109.5,122.9,114.9,118.2,116.3,114.4,100.2,129.8,118.9,59.1,111,67.2,35.4,119,82.5,39.5,32.9,79.7,116.4,125.7,100.9,130.5,136.4,119.1,104.6
21-Feb,91.7,88.1,108.2,106.5,82.9,94.4,104.3,60,64.9,93.4,80.3,85,96.8,90.1,74.9,74.4,60.3,74.3,77.3,111.9,91.9,58.6,83.8,66,34.6,75.4,55,40.2,34.9,59.8,80,80.5,76.6,105,103.2,81.6,111.2
21-Mar,137.8,123,154.4,128.3,107.3,125,135.2,103.2,95.3,117.4,109.4,111.7,127.8,149.2,106,118,125.2,105.4,116.8,129.4,140.1,74.3,163,81.3,34.5,130.6,90.6,72.5,61.2,156.5,117,127.5,120.7,139.7,149.7,129.3,138.5
21-Apr,66.8,72.6,86.5,76.2,65.3,80.4,82.6,63.8,56.2,69.6,73.7,75.8,73.5,80.3,64.7,66.1,68.3,70.7,80.2,85.4,75.3,59.1,79.2,68.3,35,78.2,58.5,43,50.3,68.9,84.1,78.6,66.7,79.7,74.7,77.8,92.9
21-May,64,67.5,87.8,76.7,63.8,86.8,76.2,62.2,63,66.9,64.6,77.3,78.4,96.1,78.6,91.4,80.7,67.6,75.9,82.7,76.8,58.8,101.7,63.8,31,91.8,58.8,35.9,51.5,73.1,78.9,83.9,80.1,81.2,78.5,89.2,93.4
21-Jun,46.1,56.5,65.2,58.4,45.5,70.2,61.8,44.3,42.6,59.7,58,64.4,63.8,66.4,45.8,49.2,52.3,45.3,59.3,69.8,65,36.4,60.2,40.4,30.7,53.5,40.2,31.3,29.5,58.1,68.2,55.6,62.4,67.2,53.1,65.8,76.1
21-Jul,35.9,44.6,49.5,48.7,38.1,48.4,47,34.4,36.4,47.5,44.2,46.4,48.7,56.6,35.7,42.4,45.4,37.2,41.6,52.7,49.8,34,62.2,34.7,25.1,49.3,36.6,26.1,26.3,55,45.5,48.3,47.8,45.5,47.7,51,56.3
21-Aug,38.2,48.3,52.3,52.1,42.8,52.1,51.5,41,36.7,48.9,46.6,46.1,50.3,62.9,46.3,47.6,50.4,46,54.9,62.7,57.3,30.3,56,31.4,33.3,54.5,42.2,30.2,28.4,42.7,54.1,58.3,56.3,50.1,51.8,60.5,56.9
21-Sep,37.2,46.1,51,52.9,39.6,47.9,52.8,34.2,35.9,49.3,42.9,46.7,47.7,53.4,38.5,43.4,42.1,41.3,44.3,58.6,49.2,35.6,63.7,35,28.2,50.1,34.9,27.9,26.7,44.3,47.4,50.9,46.6,43.8,47.3,53.6,58.4
21-Oct,46.1,62.9,62.5,70,57.7,72.9,69.2,36.4,48.3,63.9,61.6,68.8,65.7,61.9,43.1,50,47.3,46,55.7,72.6,56.3,41.5,60.6,46.9,30.8,57,37.8,39.9,28.2,40.9,62.2,61.7,53.2,64.6,48.5,62.9,76.3
