month,重庆,成都,贵阳,昆明,绵阳,宜宾,攀枝花,泸州,自贡,德阳,南充,遵义,曲靖,玉溪,六盘水,安顺,铜仁地区,毕节,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,保山,昭通,丽江,普洱,临沧,楚雄州,红河州,文山州,西双版纳州,大理州,德宏州,怒江州,迪庆州,广元,遂宁,内江,乐山,眉山,广安,达州,雅安,巴中,资阳,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州
21-Jan,88.4,101.6,62.6,53.6,94.9,105.5,83.7,98,110.7,100.8,100,60.2,52.6,48.9,48.7,50.2,76.9,49.2,57.3,63.1,54.5,45.7,50,30.6,47.5,53.3,43.6,51.6,52.7,56.6,33,59.9,54.5,30.7,74.9,85.2,97.5,104.6,85.1,96.2,116.9,80.2,86.3,93,40.1,27.4,58.1
21-Feb,72.3,82.9,47.3,49,74.9,107.9,54.6,101.5,104.3,83.8,82.1,48.9,49.3,49.4,57.7,48.2,51.8,57.8,48.5,48.2,41,48.7,53.2,30.5,45.7,54.1,44.2,43.1,45.7,46.5,36,54.9,47.3,31.8,55.9,69.9,89.4,84.1,71.1,82.9,79.7,59.3,61.4,76.9,29.7,23.2,39.6
21-Mar,51.6,76.9,56.7,72.6,67.8,78.3,66.4,63.4,75.6,73.7,56.4,45.3,66.1,70.9,57,54.4,41,51.7,54.9,48.9,44,71.9,50.4,41.8,78.6,88.1,61.6,73.6,65.9,90.1,58.3,85.5,80.4,42.4,55,52.7,59.5,68.7,67,47.8,58.7,52.2,46.1,62.3,34.1,26.8,47.6
21-Apr,41.2,48,35.3,59,41.2,49.7,55.6,44,52.4,45.8,40.7,27.3,49.6,57.7,38,35.3,27.7,29.6,36.1,24.1,23.1,69.6,37.2,41.8,61.4,76.3,53.9,55.5,50.8,65.4,54,80.8,64.9,39.5,34.4,34.3,40.8,43,44.5,35.5,42.2,28,32.5,40.2,31.8,24.2,41.1
21-May,46.7,58.6,35.6,36.8,60.2,56.8,37.5,49.5,57.4,60.9,59.4,32,35.8,34,31.9,36.8,30.5,34.4,29.4,28.4,24.5,39.4,35.7,29.8,31.8,40.8,32.8,30.9,30.5,32.8,29.9,42.4,39.7,29.6,45.5,47.5,48.9,47.1,49.8,52.2,61.1,34.6,50.6,48.7,29.9,23,31.8
21-Jun,42.3,51.5,34.2,27.9,46.8,50.2,35.7,41.5,47.7,50.2,42.5,30.1,28.5,24.3,29.5,29,30.7,34.5,25.2,26.9,25.8,25.5,34,22.2,20.2,26.2,22,24.1,23.1,20.9,19.7,29.9,23.5,20.5,33.3,36.3,40.5,45.8,45.8,40.7,41.5,31.9,33.7,41.5,27.4,22.8,29.5
21-Jul,34.8,42.6,31.1,26.3,39.8,38,34.7,33.2,38.3,40.6,32.7,28.1,25.9,23.5,25.9,25,25.7,27.7,21.8,23.1,20.5,22.4,29.8,22.5,18.5,22.6,23.3,24.7,22.8,20.2,19.4,22.4,21.3,20.4,28.5,31,34.4,36.4,36.4,32.8,33.1,26.9,25.3,31.2,27,23,28.2
21-Aug,34.5,37.5,31.5,28.6,33.2,36.9,37.2,33.2,38.2,35.8,29.3,28.6,28.4,24.6,27.3,25.4,26.1,31,23.7,23.1,21.4,18.5,33.7,21.3,17.2,22.9,22.6,25.1,23.2,17.7,18.4,22.7,20.9,20.4,27.1,29.4,31.8,34.5,33.8,30.5,31.4,26.8,25.2,27.9,25.4,22.2,29.9
21-Sep,36.5,34.1,31.9,31.6,33.1,39,34.4,34.8,38.4,36.1,31.6,32.5,26.9,28.3,26.7,27.4,29,29.2,22.7,24.6,22.3,21.4,33.1,20.6,20.9,27.3,25.3,28.2,24.1,23.7,20.2,26.4,26.3,19.2,26,29.2,31.9,35.8,31.8,33.3,37.3,26,25.5,23.4,25.1,21.2,26
21-Oct,37.9,38.1,30.7,22.8,32.2,43.2,35.1,42.1,44.2,39.1,33.2,30,23.5,21.2,27.7,31.4,30.6,28.1,26.9,29.3,25.7,20.2,29.4,21.6,19.1,24.1,21.1,30.8,23.4,22.7,20.8,28.2,27.3,21.3,25.1,29.1,36.2,35,35.8,33.5,35.5,26.1,24,24.7,25.8,18.1,26.3
