month,沈阳,大连,长春,哈尔滨,鞍山,抚顺,本溪,锦州,吉林,齐齐哈尔,牡丹江,大庆,营口,丹东,盘锦,葫芦岛,阜新,辽阳,铁岭,朝阳,四平,辽源,通化,白山,松原,白城,鸡西,鹤岗,双鸭山,伊春,佳木斯,七台河,黑河,绥化,大兴安岭地区
Jan-21,1.2,0.8,0.9,1.1,1.7,1.2,1.5,1.4,0.9,0.7,0.9,0.6,1.4,1.1,1.3,1.4,1,1.5,1,1.3,0.8,1,1.1,1.5,0.8,0.4,0.8,0.8,0.6,0.8,0.8,0.9,0.5,0.8,0.7
Feb-21,1,0.8,0.8,0.9,1.3,0.9,1.2,1.1,0.9,0.7,0.8,0.6,1.1,1,1.1,1.2,0.8,1.1,1,1,0.7,1,0.8,1,0.8,0.3,0.8,0.7,0.5,0.7,0.7,0.7,0.5,1,0.7
Mar-21,1,0.8,0.7,0.8,1.4,0.9,1.3,1,0.8,0.6,0.5,0.6,1,1,0.9,0.9,0.7,1.2,0.9,0.9,0.6,0.9,0.7,1.2,0.7,0.4,0.5,0.6,0.5,0.7,0.6,0.6,0.4,0.4,0.6
Apr-21,0.7,0.6,0.6,0.7,1,0.7,0.9,0.8,0.7,0.5,0.5,0.5,0.8,0.7,0.8,0.6,0.5,0.9,0.7,0.6,0.5,0.7,0.7,0.9,0.5,0.2,0.6,0.5,0.5,0.6,0.6,0.6,0.2,0.5,0.4
May-21,0.8,0.6,0.6,0.6,1.1,0.7,1,0.8,0.6,0.5,0.4,0.5,0.7,0.6,0.7,0.5,0.5,0.9,0.6,0.6,0.4,0.6,0.7,0.6,0.6,0.3,0.5,0.4,0.6,0.6,0.5,0.5,0.2,0.4,0.4
Jun-21,0.7,0.6,0.5,0.6,1,0.7,1,0.7,0.6,0.5,0.3,0.5,0.8,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.4,0.7,0.6,0.7,0.5,0.4,0.5,0.5,0.6,0.5,0.4,0.5,0.2,0.3,0.3
Jul-21,0.8,0.6,0.5,0.6,0.8,0.7,0.9,0.7,0.7,0.4,0.4,0.5,0.8,0.5,0.7,0.5,0.6,0.6,0.6,0.6,0.4,0.7,0.6,0.6,0.5,0.5,0.5,0.6,0.7,0.6,0.5,0.5,0.5,0.3,0.4
Aug-21,0.9,0.7,0.6,0.6,1.2,0.8,1,0.8,0.7,0.5,0.3,0.5,1.1,0.6,0.9,0.7,0.7,0.9,0.5,0.7,0.5,0.8,0.8,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.3,0.4
Sep-21,0.8,0.7,0.6,0.6,1.1,0.7,0.9,0.8,0.7,0.5,0.4,0.4,1,0.6,0.8,0.7,0.6,0.8,0.5,0.6,0.5,0.7,0.9,0.6,0.5,0.5,0.4,0.5,0.6,0.7,0.5,0.5,0.5,0.3,0.3
Oct-21,0.8,0.6,0.6,0.7,1.1,0.7,1,0.9,0.7,0.5,0.4,0.4,0.8,0.7,0.8,0.9,0.6,0.8,0.6,0.8,0.5,0.7,0.8,0.8,0.5,0.5,0.4,0.7,0.5,0.7,0.5,0.6,0.5,0.4,0.5
Nov-21,0.9,0.7,0.7,0.9,1.2,0.9,1.2,1,0.7,0.6,0.5,0.6,1,1.1,0.9,1,0.8,1,0.7,0.8,0.6,0.7,0.8,1,0.4,0.6,0.6,0.6,0.5,0.7,0.6,0.8,0.4,0.5,0.4
Dec-21,0.9,0.7,0.7,0.9,1.2,0.9,1.2,0.9,0.8,0.6,0.7,0.6,1,1,0.9,0.9,0.8,1,0.8,0.8,0.6,0.9,1,0.9,0.4,0.5,0.6,0.7,0.5,0.8,0.7,0.9,0.4,0.5,0.5
Jan-22,1,0.8,0.9,1.1,1.5,1.2,1.5,1.1,1.1,0.8,0.8,0.9,1.2,1,1.1,1.2,0.8,1.3,0.8,1.2,0.8,0.9,1.3,1.1,0.8,0.6,0.7,0.7,0.7,0.8,0.9,1.1,0.5,0.7,0.5
Feb-22,0.8,0.6,0.7,0.9,1.1,1.1,1.3,0.9,0.8,0.5,0.7,0.6,0.8,1,0.9,0.8,0.6,1,0.7,0.9,0.6,0.8,0.8,1,0.6,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.4,0.7,0.4
Mar-22,0.8,0.6,0.5,0.7,1,0.8,0.9,0.8,0.6,0.5,0.5,0.6,0.8,0.7,0.8,0.7,0.6,0.7,0.6,0.8,0.5,0.7,0.6,0.9,0.4,0.4,0.3,0.5,0.6,0.6,0.5,0.7,0.4,0.4,0.4
Apr-22,0.8,0.5,0.7,0.7,0.9,0.8,1,0.7,0.7,0.6,0.4,0.7,0.8,0.7,0.8,0.7,0.5,0.7,0.6,0.7,0.4,0.6,0.6,0.9,0.4,0.5,0.4,0.5,0.5,0.6,0.5,0.7,0.4,0.5,0.4
May-22,0.7,0.6,0.6,0.6,1,0.6,1,0.7,0.6,0.5,0.4,0.4,0.7,0.8,0.7,0.6,0.6,0.7,0.5,0.7,0.4,0.5,0.8,0.6,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.6,0.4,0.4,0.4
Jun-22,0.8,0.6,0.5,0.6,0.9,0.6,0.9,0.7,0.6,0.4,0.4,0.4,0.7,0.7,0.7,0.5,0.6,0.7,0.5,0.7,0.4,0.6,0.7,0.8,0.4,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.3,0.4
Jul-22,0.8,0.6,0.5,0.7,1,0.6,0.9,0.7,0.6,0.5,0.5,0.4,0.8,0.6,0.6,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.7,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.3,0.3
Aug-22,0.8,0.6,0.5,0.5,1,0.6,1,0.7,0.6,0.4,0.4,0.3,0.8,0.6,0.7,0.6,0.6,0.7,0.5,0.8,0.4,0.5,0.7,0.6,0.4,0.2,0.4,0.3,0.4,0.5,0.4,0.5,0.4,0.4,0.3
Sep-22,0.8,0.5,0.5,0.6,0.9,0.7,0.9,0.8,0.6,0.4,0.5,0.5,0.8,0.7,0.6,0.6,0.7,0.8,0.6,0.8,0.4,0.5,0.7,0.8,0.4,0.3,0.3,0.3,0.4,0.5,0.3,0.5,0.4,0.5,0.3
Oct-22,0.8,0.6,0.5,0.7,1,0.8,1,0.9,0.6,0.5,0.5,0.6,0.8,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.4,0.7,0.6,0.7,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.7,0.6,0.5,0.4
