month,上海,南京,苏州,南通,连云港,徐州,扬州,无锡,常州,镇江,泰州,淮安,盐城,宿迁,杭州,宁波,温州,绍兴,湖州,嘉兴,台州,舟山,金华,衢州,丽水,合肥,福州,厦门,南昌,济南,青岛,芜湖,马鞍山,九江,蚌埠,淮南,淮北,铜陵,安庆,黄山,滁州,阜阳,宿州,六安,亳州,池州,宣城,莆田,三明,南平,龙岩,宁德,景德镇,萍乡,新余,鹰潭,赣州,吉安,宜春,抚州,上饶,芜湖,马鞍山,泉州,临沂,德州,聊城,滨州,淄博,枣庄,烟台,潍坊,济宁,泰安,日照,威海,东营,菏泽,漳州,赣江新区
Jan-21,0.7,0.9,0.8,0.8,1,1.1,0.8,0.9,1,0.7,0.8,0.9,0.7,0.8,0.8,0.8,0.6,0.7,0.8,0.8,0.6,0.7,0.8,0.8,0.6,0.8,0.7,0.6,0.8,1.3,1,0.9,0.9,0.7,0.7,0.8,1,1.1,0.8,0.7,1,0.8,0.8,0.8,0.8,0.9,0.8,0.5,0.9,0.6,0.6,0.7,0.8,1.6,0.9,0.7,1,0.8,1.1,0.8,0.8,0.9,0.9,0.5,1.3,1.3,1.1,1.2,1.5,1,0.9,1.2,1.2,1.3,1.1,0.7,1,1.1,0.5,0.8
Feb-21,0.6,0.7,0.7,0.7,0.7,0.8,0.6,0.7,0.8,0.5,0.7,0.7,0.5,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.7,0.7,0.4,0.7,0.7,0.5,0.8,0.8,0.8,0.8,0.7,0.6,0.6,0.7,0.7,0.8,0.8,0.6,0.7,0.7,0.6,0.7,0.6,0.7,0.6,0.5,0.7,0.5,0.5,0.6,0.6,1.3,0.9,0.6,1,0.8,0.9,0.8,0.6,0.8,0.7,0.5,0.8,0.9,0.7,1,0.9,0.6,0.8,0.9,0.9,0.8,0.8,0.5,0.8,0.7,0.4,0.6
Mar-21,0.6,0.7,0.7,0.6,0.8,0.8,0.7,0.8,0.9,0.5,0.7,0.7,0.5,0.6,0.7,0.6,0.6,0.6,0.7,0.7,0.5,0.6,0.7,0.7,0.5,0.7,0.7,0.5,1,0.8,0.6,0.8,0.8,0.7,0.5,0.6,0.7,0.8,0.7,0.7,0.7,0.6,0.5,0.7,0.6,0.8,0.6,0.6,0.9,0.6,0.6,0.7,0.7,1.4,0.9,0.8,1,0.8,1,0.8,0.8,0.8,0.8,0.5,0.8,0.7,0.6,1,1,0.5,0.8,0.8,0.9,0.7,0.7,0.6,0.8,0.6,0.5,0.7
Apr-21,0.6,0.7,0.7,0.6,0.7,0.7,0.6,0.7,0.8,0.6,0.7,0.4,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.7,0.4,0.6,0.7,0.7,0.4,0.6,0.7,0.5,0.8,0.6,0.4,0.7,0.8,0.6,0.5,0.6,0.6,0.7,0.6,0.6,0.7,0.6,0.4,0.6,0.5,0.7,0.6,0.6,0.8,0.6,0.6,0.6,0.6,1.2,0.7,0.5,1,0.7,0.9,0.7,0.7,0.7,0.8,0.5,0.7,0.6,0.5,0.8,0.7,0.4,0.6,0.5,0.8,0.6,0.6,0.5,0.6,0.5,0.4,0.7
May-21,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.4,0.5,0.7,0.7,0.5,0.6,0.7,0.5,0.7,0.7,0.4,0.8,0.8,0.6,0.5,0.5,0.6,0.9,0.6,0.5,0.7,0.6,0.4,0.6,0.6,0.7,0.6,0.6,0.9,0.6,0.4,0.7,0.7,1.1,0.8,0.5,1,0.7,0.8,0.6,0.6,0.8,0.8,0.5,0.7,0.6,0.5,0.7,0.7,0.4,0.5,0.5,0.9,0.6,0.6,0.4,0.5,0.5,0.5,0.8
Jun-21,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.4,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.4,0.5,0.6,0.6,0.4,0.6,0.6,0.4,0.6,0.7,0.4,0.7,0.7,0.6,0.5,0.6,0.6,0.7,0.6,0.4,0.6,0.6,0.4,0.7,0.6,0.7,0.5,0.5,0.8,0.6,0.4,0.7,0.5,1.1,0.8,0.5,1.1,0.7,0.7,0.6,0.6,0.7,0.7,0.4,0.8,0.6,0.6,0.7,0.7,0.5,0.4,0.5,0.8,0.7,0.6,0.4,0.6,0.6,0.4,0.6
Jul-21,0.5,0.5,0.5,0.6,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.3,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.6,0.6,0.4,0.6,0.8,0.5,0.5,0.4,0.5,0.7,0.4,0.3,0.5,0.5,0.4,0.5,0.6,0.5,0.4,0.5,0.7,0.5,0.5,0.6,0.6,1,0.9,0.4,0.9,0.6,0.6,0.5,0.5,0.6,0.8,0.3,0.6,0.6,0.7,0.6,0.6,0.3,0.3,0.5,0.6,0.5,0.5,0.4,0.5,0.5,0.4,0.4
Aug-21,0.5,0.7,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.8,0.5,0.4,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.4,0.4,0.6,0.5,0.4,0.6,0.6,0.4,0.7,0.7,0.5,0.7,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.5,0.6,0.5,0.7,0.7,0.7,0.6,0.5,0.8,0.5,0.5,0.6,0.5,1.1,0.9,0.5,1,0.5,0.7,0.5,0.5,0.7,0.8,0.4,0.7,0.7,0.8,0.8,0.8,0.5,0.4,0.5,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.6
Sep-21,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.6,0.5,0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.7,0.4,0.5,0.6,0.6,0.4,0.6,0.6,0.4,0.7,0.6,0.5,0.7,0.9,0.6,0.6,0.6,0.6,0.7,0.6,0.4,0.5,0.6,0.5,0.7,0.6,0.8,0.6,0.5,0.7,0.5,0.5,0.5,0.5,1.1,0.8,0.6,1,0.7,0.8,0.6,0.5,0.7,0.9,0.5,0.6,0.7,0.6,0.8,0.7,0.4,0.3,0.6,0.7,0.6,0.6,0.5,0.6,0.5,0.4,0.7
Oct-21,0.6,0.6,0.6,0.5,0.6,0.7,0.6,0.6,0.7,0.7,0.5,0.5,0.7,0.7,0.6,0.6,0.4,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.4,0.6,0.6,0.4,0.7,0.8,0.6,0.7,0.9,0.5,0.6,0.5,0.6,0.7,0.7,0.4,0.4,0.7,0.4,0.8,0.6,0.7,0.6,0.5,0.6,0.5,0.4,0.5,0.5,1.2,0.7,0.6,1,0.7,0.9,0.7,0.6,0.7,0.9,0.5,0.7,0.8,0.7,0.8,0.9,0.5,0.4,0.7,0.7,0.7,0.6,0.5,0.6,0.6,0.5,0.6
Nov-21,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.6,0.7,0.8,0.7,0.6,0.8,0.6,0.7,0.7,0.5,0.6,0.6,0.7,0.5,0.5,0.7,0.6,0.5,0.7,0.6,0.5,0.7,0.8,0.7,0.7,0.7,0.6,0.5,0.5,0.7,0.7,0.7,0.6,0.5,0.7,0.5,0.6,0.7,0.8,0.5,0.5,0.7,0.6,0.4,0.7,0.6,1.2,0.8,0.5,0.9,0.5,0.8,0.6,0.7,0.7,0.7,0.5,0.8,0.8,0.8,0.9,1,0.7,0.6,0.8,0.8,0.8,0.7,0.6,0.8,0.7,0.5,0.6
Dec-21,0.9,0.8,0.9,0.8,0.8,0.9,0.8,0.9,0.8,0.9,0.9,0.7,0.8,0.8,0.8,0.8,0.6,0.8,0.7,0.8,0.6,0.6,0.8,0.7,0.6,0.8,0.6,0.6,0.9,0.9,0.9,0.9,1,0.7,0.5,0.6,0.8,0.9,0.8,0.7,0.7,0.7,0.5,0.6,0.7,0.8,0.7,0.6,0.9,0.7,0.5,0.7,0.7,1.5,0.8,0.8,0.9,0.7,1,0.9,0.7,0.9,1,0.5,1,0.9,0.9,1,1.1,0.9,0.8,0.9,0.9,0.9,0.9,0.6,0.9,0.8,0.6,0.8
Jan-22,0.8,0.8,0.8,0.7,0.8,1,0.7,0.9,0.8,0.8,0.8,0.8,0.7,0.9,0.9,0.9,0.6,0.9,0.7,0.6,0.6,0.5,0.8,0.7,0.6,0.9,0.7,0.5,1.1,1.1,0.9,0.9,1,0.8,0.7,0.7,1,0.9,0.9,0.6,0.8,0.9,0.8,0.7,1,0.9,0.8,0.6,1.1,0.7,0.6,0.7,0.8,1.3,0.8,0.8,1.1,0.8,1.1,0.9,0.7,0.9,1,0.6,1,1,1.2,1,1.2,0.9,0.8,0.9,1.1,1.1,1,0.5,1,1.1,0.7,0.9
