month,北京,天津,石家庄,唐山,秦皇岛,邯郸,保定,张家口,承德,廊坊,沧州,衡水,邢台,太原,呼和浩特,包头,鄂尔多斯,大同,长治,临汾,阳泉,赤峰,乌海,通辽,呼伦贝尔,巴彦淖尔,乌兰察布,兴安盟,锡林郭勒盟,阿拉善盟,晋城,朔州,晋中,运城,忻州,吕梁,雄安新区
2021-01,0.7,1.1,1.0,1.4,1.2,1.4,0.9,0.8,1.4,0.8,1.1,1.0,1.3,1.0,1.2,1.4,0.6,1.1,1.3,1.4,1.0,1.1,0.9,0.6,0.5,0.7,0.7,0.5,0.5,0.5,1.3,0.8,0.9,1.4,1.0,0.8,1.0
2021-02,0.8,1.0,1.1,1.5,1.3,1.0,1.0,0.7,1.1,0.9,0.7,0.7,1.2,1.0,1.0,1.2,0.6,0.9,1.1,1.5,1.0,0.7,1.0,0.5,0.5,0.7,0.6,0.5,0.4,0.5,1.2,0.8,0.9,1.2,0.9,0.7,0.9
2021-03,0.7,0.9,0.9,1.1,1.0,0.8,0.7,0.7,0.9,0.7,0.6,0.6,0.8,1.0,0.7,1.0,0.8,0.8,1.0,1.2,1.1,0.6,1.0,0.4,0.3,0.7,0.5,0.6,0.3,0.5,1.0,0.8,0.8,0.7,0.9,0.7,0.7
2021-04,0.4,0.7,0.6,0.8,0.6,0.7,0.4,0.5,0.7,0.5,0.5,0.5,0.7,0.6,0.5,0.8,0.7,0.6,0.8,1.0,0.7,0.5,0.7,0.3,0.4,0.6,0.4,0.4,0.2,0.4,0.9,0.6,0.5,0.7,0.6,0.6,0.5
2021-05,0.4,0.7,0.6,0.7,0.5,0.7,0.4,0.4,0.7,0.4,0.4,0.5,0.7,0.7,0.4,0.7,0.6,0.5,0.8,1.0,0.7,0.4,0.7,0.3,0.4,0.5,0.3,0.4,0.2,0.3,0.8,0.6,0.6,0.6,0.6,0.5,0.5
2021-06,0.6,0.8,0.7,0.8,0.5,0.8,0.4,0.3,0.8,0.6,0.5,0.6,0.6,0.7,0.5,0.7,0.6,0.6,1.1,1.0,0.9,0.3,0.6,0.3,0.4,0.5,0.3,0.4,0.2,0.3,0.9,0.6,0.7,0.7,0.7,0.5,0.5
2021-07,0.6,0.8,0.6,0.8,0.4,0.7,0.3,0.4,0.8,0.5,0.4,0.4,0.6,0.7,0.5,0.7,0.6,0.6,0.9,0.8,0.9,0.3,0.7,0.3,0.3,0.5,0.3,0.4,0.3,0.4,0.8,0.6,0.6,0.7,0.7,0.6,0.4
2021-08,0.6,0.8,0.7,0.8,0.6,0.8,0.4,0.4,0.8,0.5,0.5,0.6,0.6,0.8,0.6,0.9,0.7,0.7,1.1,1.0,1.0,0.4,0.8,0.2,0.3,0.5,0.5,0.4,0.3,0.5,0.9,0.8,0.7,0.7,0.9,0.6,0.5
2021-09,0.6,0.9,0.6,0.9,0.5,0.8,0.5,0.3,0.7,0.6,0.5,0.6,0.7,0.8,0.5,0.7,0.6,0.6,1.0,1.0,0.9,0.4,0.9,0.3,0.3,0.4,0.4,0.4,0.2,0.4,1.1,0.7,0.7,1.0,0.8,0.6,0.6
2021-10,0.5,0.8,0.6,0.9,0.6,1.0,0.5,0.4,0.7,0.6,0.6,0.6,0.8,0.8,0.6,0.8,0.7,0.7,1.0,1.0,0.9,0.6,0.7,0.4,0.3,0.5,0.4,0.5,0.3,0.4,1.1,0.6,0.7,0.9,0.7,0.7,0.6
2021-11,0.6,0.9,0.7,1.0,0.8,1.0,0.8,0.5,0.9,0.7,0.8,0.7,0.8,0.9,0.8,1.2,0.7,0.8,1.0,1.1,0.9,0.6,0.9,0.4,0.4,0.6,0.6,0.5,0.3,0.4,1.1,0.7,0.8,1.0,0.8,0.6,0.9
2021-12,0.6,0.9,0.8,0.9,0.9,1.0,0.9,0.6,1.0,0.8,0.8,0.7,1.0,1.1,1.1,1.5,0.7,0.9,1.2,1.5,0.9,0.7,0.9,0.4,0.4,0.6,0.6,0.6,0.4,0.4,1.3,0.7,1.0,1.3,0.9,0.7,0.9
2022-01,0.7,0.9,1.1,1.1,0.9,1.2,1.1,0.6,1.1,0.9,0.8,0.8,1.1,1.3,1.0,1.5,0.9,1.1,1.4,1.7,1.3,1.1,1.4,0.5,0.5,0.9,0.8,0.8,0.5,0.5,1.3,1.0,1.1,1.3,1.1,0.8,1.0
2022-02,0.4,0.7,0.7,0.8,0.7,0.8,0.7,0.5,0.6,0.5,0.6,0.6,0.7,0.8,0.7,0.9,0.6,0.9,1.0,1.0,0.8,0.9,1.1,0.3,0.5,0.6,0.5,0.4,0.4,0.3,0.9,0.6,0.6,0.9,0.7,0.5,0.6
2022-03,0.5,0.8,0.7,0.8,0.5,0.7,0.6,0.5,0.6,0.6,0.6,0.5,0.8,0.8,0.5,0.9,0.5,0.7,1.0,1.1,0.9,0.7,0.7,0.6,0.4,0.5,0.5,0.4,0.5,0.3,1.0,0.6,0.7,0.8,0.7,0.5,0.6
2022-04,0.5,0.6,0.6,0.7,0.7,0.6,0.6,0.3,0.5,0.5,0.5,0.4,0.9,0.6,0.4,0.6,0.5,0.5,0.8,0.9,0.7,0.5,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.9,0.5,0.9,0.6,0.5,0.4,0.5
2022-05,0.4,0.6,0.6,0.7,0.7,0.7,0.6,0.3,0.4,0.4,0.5,0.5,0.8,0.6,0.4,0.6,0.5,0.5,0.7,0.8,0.7,0.6,0.7,0.3,0.3,0.4,0.3,0.2,0.5,0.4,0.7,0.5,0.5,0.6,0.5,0.5,0.4
2022-06,0.6,0.8,0.6,0.9,0.4,0.8,0.5,0.4,0.5,0.6,0.5,0.6,0.7,0.7,0.4,0.6,0.5,0.6,0.7,0.7,0.8,0.7,0.6,0.4,0.3,0.5,0.4,0.3,0.5,0.3,0.6,0.6,0.6,0.6,0.6,0.4,0.5
2022-07,0.5,0.7,0.6,0.7,0.4,0.8,0.4,0.2,0.5,0.5,0.4,0.5,0.7,0.7,0.4,0.6,0.6,0.5,1.0,0.7,0.9,0.6,0.7,0.4,0.3,0.6,0.4,0.3,0.5,0.4,0.7,0.6,0.6,0.7,0.6,0.5,0.4
2022-08,0.5,0.7,0.6,0.7,0.5,0.8,0.4,0.3,0.4,0.5,0.4,0.6,0.8,0.8,0.5,0.7,0.8,0.6,0.9,0.8,1.0,0.5,0.7,0.3,0.3,0.5,0.4,0.2,0.2,0.4,0.6,0.6,0.6,0.7,0.7,0.6,0.5
