month,广州,深圳,珠海,佛山,中山,江门,东莞,惠州,肇庆,南宁,海口,桂林,北海,柳州,三亚,韶关,汕头,湛江,茂名,梅州,汕尾,河源,阳江,清远,潮州,揭阳,云浮,梧州,防城港,钦州,贵港,玉林,百色,贺州,河池,来宾,崇左,儋州
Jan-21,0.8,0.7,0.7,0.9,0.7,0.8,0.8,0.6,0.8,0.9,0.6,1.1,0.9,1.1,0.5,0.9,0.7,0.7,0.7,0.7,0.6,0.8,0.7,1,0.7,0.8,0.9,1.1,0.9,1,1,0.9,1.1,0.9,0.9,1,0.9,0.6
Feb-21,0.7,0.6,0.5,0.6,0.6,0.7,0.6,0.5,0.7,0.8,0.5,1,0.7,1,0.5,0.8,0.7,0.6,0.7,0.7,0.6,0.7,0.6,0.9,0.7,0.8,0.7,0.9,0.7,0.9,0.9,0.7,0.9,0.8,0.8,0.9,0.9,0.5
Mar-21,0.8,0.6,0.6,0.8,0.7,0.8,0.7,0.6,0.7,0.9,0.5,1,0.7,1,0.4,0.8,0.6,0.6,0.6,0.8,0.6,0.8,0.7,1,0.8,0.9,0.7,0.9,0.7,1,0.8,0.7,0.9,0.8,0.8,0.9,0.8,0.6
Apr-21,0.8,0.6,0.6,0.8,0.6,0.7,0.7,0.6,0.7,0.8,0.6,0.9,0.7,0.9,0.5,0.8,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.9,0.8,0.7,0.7,0.8,0.8,1,0.8,0.8,1,0.7,0.7,0.9,0.7,0.6
May-21,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.4,0.8,0.5,0.8,0.3,0.8,0.5,0.4,0.4,0.6,0.5,0.7,0.6,0.7,0.7,0.6,0.6,0.8,0.6,0.8,0.7,0.6,0.8,0.5,0.6,0.7,0.6,0.5
Jun-21,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.7,0.5,0.8,0.4,0.7,0.5,0.5,0.6,0.6,0.6,0.8,0.6,0.6,0.7,0.7,0.7,0.9,0.7,0.7,0.6,0.6,0.8,0.5,0.6,0.7,0.5,0.5
Jul-21,0.6,0.5,0.6,0.4,0.6,0.5,0.6,0.5,0.5,0.6,0.4,0.6,0.5,0.7,0.3,0.7,0.5,0.5,0.6,0.6,0.5,0.6,0.5,0.6,0.7,0.6,0.6,0.9,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.7,0.5,0.4
Aug-21,0.7,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.5,0.5,0.7,0.3,0.7,0.6,0.5,0.5,0.6,0.5,0.7,0.6,0.6,0.8,0.8,0.6,0.7,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.5
Sep-21,0.7,0.6,0.6,0.6,0.5,0.5,0.6,0.5,0.6,0.6,0.4,0.6,0.6,0.8,0.3,0.7,0.6,0.5,0.6,0.6,0.6,0.8,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.6,0.7,0.7,0.6,0.6,0.7,0.5,0.5
Oct-21,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.5,0.7,0.7,0.9,0.4,0.6,0.6,0.6,0.6,0.7,0.6,0.8,0.6,0.7,0.7,0.7,0.7,0.9,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.6,0.6
Nov-21,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.7,0.4,0.6,0.6,0.8,0.4,0.6,0.6,0.6,0.7,0.6,0.6,0.8,0.5,0.7,0.6,0.7,0.7,0.9,0.6,0.9,0.7,0.7,0.6,0.7,0.7,0.7,0.6,0.5
Dec-21,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.6,0.7,0.9,0.5,0.9,0.8,1,0.4,0.7,0.6,0.7,0.7,0.7,0.6,0.8,0.7,0.8,0.7,0.8,0.8,1.1,0.8,1,0.9,0.7,0.8,0.8,0.8,1,0.9,0.6
Jan-22,1,0.7,0.7,1,0.8,1,0.9,0.7,0.9,1,0.6,1,0.9,1,0.5,0.8,0.7,0.8,0.8,0.7,0.7,0.9,0.8,1,0.8,0.8,0.9,1.1,1,1.1,1,1,1,1,0.9,1.1,1.1,0.6
Feb-22,0.8,0.7,0.7,0.7,0.6,0.7,0.8,0.6,0.8,0.9,0.6,0.7,0.7,0.8,0.5,0.6,0.7,0.7,0.7,0.7,0.6,0.8,0.6,0.8,0.7,0.7,0.7,0.9,0.7,0.9,0.9,0.8,0.8,0.7,0.7,0.9,0.9,0.6
Mar-22,0.8,0.6,0.5,0.7,0.6,0.6,0.7,0.6,0.7,0.8,0.4,0.7,0.6,0.9,0.4,0.7,0.7,0.5,0.7,0.6,0.6,0.8,0.5,0.8,0.8,0.9,0.6,0.9,0.7,0.9,0.8,0.7,0.9,0.7,0.8,0.9,0.9,0.5
Apr-22,0.7,0.6,0.5,0.7,0.5,0.5,0.6,0.5,0.6,0.7,0.4,0.7,0.6,0.7,0.4,0.6,0.6,0.5,0.6,0.5,0.5,0.7,0.5,0.7,0.6,0.7,0.5,0.9,0.7,0.9,0.7,0.6,0.8,0.7,0.7,0.8,0.7,0.5
May-22,0.7,0.6,0.5,0.7,0.6,0.6,0.7,0.5,0.7,0.7,0.4,0.6,0.6,0.8,0.4,0.6,0.5,0.5,0.6,0.6,0.5,0.7,0.5,0.7,0.7,0.7,0.5,0.9,0.6,0.8,0.8,0.7,0.8,0.8,0.7,0.9,0.6,0.5
Jun-22,0.6,0.5,0.4,0.6,0.5,0.4,0.5,0.4,0.6,0.6,0.4,0.5,0.5,0.7,0.4,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.5,0.6,0.7,0.6,0.5,0.8,0.5,0.6,0.6,0.6,0.8,0.7,0.7,0.8,0.7,0.5
Jul-22,0.6,0.5,0.4,0.5,0.5,0.4,0.6,0.4,0.5,0.6,0.5,0.4,0.4,0.6,0.4,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.7,0.7,0.6,0.4,0.8,0.5,0.6,0.6,0.6,0.8,0.7,0.6,0.7,0.7,0.6
Aug-22,0.6,0.6,0.4,0.5,0.5,0.5,0.7,0.5,0.5,0.6,0.6,0.5,0.7,0.7,0.4,0.5,0.6,0.5,0.6,0.5,0.5,0.6,0.5,0.7,0.6,0.6,0.5,0.8,0.5,0.7,0.7,0.6,0.8,0.7,0.6,0.7,0.6,0.6
Sep-22,0.8,0.7,0.6,0.7,0.6,0.7,0.9,0.7,0.6,0.8,0.6,0.6,0.6,0.8,0.5,0.7,0.7,0.7,0.7,0.6,0.7,0.8,0.7,0.9,0.7,0.7,0.7,0.9,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.5,0.7
Oct-22,0.6,0.6,0.4,0.6,0.5,0.6,0.7,0.7,0.5,0.7,0.6,0.6,0.6,0.8,0.4,0.6,0.6,0.6,0.6,0.5,0.5,0.7,0.6,0.8,0.6,0.6,0.6,0.8,0.6,0.8,0.8,0.7,0.7,0.8,0.6,0.7,0.4,0.6
Nov-22,0.8,0.6,0.5,0.7,0.6,0.7,0.8,0.5,0.7,0.8,0.5,0.6,0.6,0.8,0.4,0.6,0.7,0.6,0.6,0.6,0.6,0.8,0.6,0.9,0.7,0.7,0.7,0.8,0.7,0.8,0.9,0.8,0.9,0.8,0.8,0.8,0.5,0.5
Dec-22,0.7,0.6,0.5,0.6,0.6,0.7,0.7,0.6,0.6,0.8,0.7,0.6,0.6,0.8,0.5,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.6,0.7,0.9,0.6,0.8,0.8,0.6,0.8,0.8,0.7,0.7,0.5,0.6
Jan-23,0.7,0.6,0.5,0.7,0.6,0.7,0.6,0.6,0.6,0.9,0.7,0.6,0.6,0.8,0.5,0.6,0.7,0.7,0.7,0.7,0.6,0.7,0.6,0.5,0.7,0.7,0.7,0.9,0.7,0.8,0.8,0.7,0.9,0.8,0.8,0.8,0.7,0.6
Feb-23,0.8,0.7,0.5,0.7,0.5,0.7,0.6,0.6,0.6,0.9,0.6,0.7,0.6,0.9,0.4,0.8,0.7,0.6,0.6,0.7,0.6,0.8,0.6,0.7,0.7,0.8,0.7,1,0.7,0.9,0.9,0.9,1.1,0.9,0.9,0.9,0.8,0.5
Mar-23,0.7,0.6,0.5,0.7,0.6,0.6,0.6,0.6,0.6,0.8,0.5,0.7,0.6,0.9,0.4,0.7,0.7,0.6,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.9,0.6,0.8,0.8,0.7,0.9,0.8,0.8,0.8,0.8,0.6
Apr-23,0.7,0.7,0.5,0.7,0.5,0.6,0.7,0.6,0.6,0.8,0.4,0.6,0.7,0.8,0.5,0.7,0.7,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.9,0.7,0.8,0.8,0.7,0.9,0.7,0.7,0.6,0.7,0.6
May-23,0.7,0.6,0.4,0.7,0.5,0.6,0.6,0.6,0.5,0.7,0.4,0.5,0.6,0.6,0.4,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.6,0.7,0.6,0.7,0.6,0.6,0.7,0.6,0.7,0.7,0.6,0.7,0.5,0.5
Jun-23,0.7,0.6,0.4,0.6,0.4,0.5,0.6,0.6,0.5,0.6,0.3,0.5,0.5,0.6,0.4,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.5,0.5
Jul-23,0.6,0.6,0.4,0.5,0.4,0.5,0.7,0.6,0.4,0.7,0.3,0.5,0.5,0.6,0.4,0.5,0.6,0.5,0.5,0.6,0.5,0.6,0.4,0.5,0.5,0.6,0.5,0.7,0.5,0.6,0.6,0.5,0.8,0.6,0.6,0.5,0.4,0.5
Aug-23,0.7,0.6,0.5,0.6,0.4,0.5,0.7,0.6,0.5,0.7,0.4,0.6,0.6,0.6,0.4,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.7,0.5,0.7,0.5,0.7,0.6,0.6,0.8,0.7,0.6,0.5,0.5,0.5
Sep-23,0.6,0.6,0.4,0.6,0.4,0.5,0.7,0.5,0.5,0.7,0.4,0.6,0.6,0.6,0.4,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.6,0.5,0.7,0.5,0.7,0.6,0.7,0.6,0.6,0.8,0.7,0.7,0.6,0.5,0.5
Oct-23,0.7,0.7,0.6,0.7,0.6,0.7,0.8,0.7,0.6,0.8,0.4,0.6,0.7,0.7,0.4,0.6,0.6,0.7,0.7,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.6,0.7,0.6,0.8,0.7,0.6,0.8,0.7,0.6,0.6,0.5,0.6
Nov-23,0.7,0.6,0.5,0.7,0.5,0.7,0.7,0.7,0.6,0.8,0.4,0.7,0.6,0.8,0.4,0.7,0.7,0.6,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.8,0.8,0.7,0.9,0.7,0.7,0.7,0.6,0.6
