month,西安,兰州,西宁,银川,乌鲁木齐,拉萨,咸阳,铜川,延安,宝鸡,渭南,金昌,嘉峪关,石嘴山,克拉玛依,巴音郭楞州,吐鲁番地区,哈密地区,昌吉州,博尔塔拉蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克州,塔城地区,阿勒泰地区,石河子,五家渠,汉中,榆林,安康,商洛,白银,天水,武威,张掖,平凉,庆阳,陇南,甘南州,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,吴忠,中卫,固原,昌都,山南,日喀则,阿里地区,林芝,兰州新区,西咸新区
Jan-21,1.1,1.7,1.7,1,1.6,0.7,1.1,0.8,1.4,0.9,1.1,0.8,0.6,1.3,0.8,0.7,2.3,0.9,2.2,0.9,1.1,1.5,2.4,1.5,3.1,0.5,0.6,1.8,2.2,1.5,1,1,0.7,0.8,1.2,0.9,0.6,0.8,0.9,1.2,0.7,1,0.6,0.5,0.7,0.5,0.7,0.6,0.8,0.5,0.8,0.7,0.6,0.7,0.6,0.5,0.7,0.9
Feb-21,1,1.3,1.6,1,1.5,0.6,1,0.8,1.1,0.8,1,0.7,0.5,1,0.8,0.6,1.6,0.7,1.8,0.6,1,1.1,1.8,1.1,2,0.7,0.5,1.5,1.7,1.2,0.9,0.9,0.6,0.7,0.8,0.6,0.6,0.7,0.8,0.8,0.6,0.8,0.6,0.4,0.6,0.4,0.6,0.4,0.7,0.5,0.9,0.6,0.4,0.6,0.6,0.6,0.6,0.9
Mar-21,0.8,0.9,1.3,0.9,0.9,0.6,0.8,0.8,0.9,0.7,0.7,0.6,0.5,1,0.4,0.4,1,0.5,0.9,0.4,0.7,0.6,1,0.9,1.1,0.5,0.5,0.8,1,0.9,0.8,0.6,0.5,0.9,0.6,0.5,0.5,0.6,0.8,0.5,0.5,0.5,0.6,0.8,0.7,0.4,0.6,0.4,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.7
Apr-21,0.6,0.6,1,0.6,0.5,0.5,0.7,0.6,0.5,0.6,0.6,0.5,0.4,0.6,0.4,0.3,0.6,0.4,0.6,0.3,0.4,0.3,0.7,0.7,0.7,0.4,0.5,0.6,0.6,0.7,0.6,0.5,0.5,0.7,0.6,0.3,0.4,0.5,0.7,0.5,0.5,0.5,0.6,0.5,0.6,0.4,0.6,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.6,0.6
May-21,0.5,0.6,0.9,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.6,0.4,0.4,0.6,0.4,0.7,0.3,0.4,0.2,0.4,0.5,0.6,0.2,0.3,0.6,0.6,0.6,0.5,0.4,0.4,0.6,0.5,0.3,0.3,0.3,0.6,0.3,0.4,0.4,0.5,0.5,0.6,0.4,0.4,0.5,0.4,0.3,0.4,0.6,0.5,0.5,0.4,0.5,0.4,0.6
Jun-21,0.5,0.5,0.7,0.5,0.4,0.4,0.6,0.6,0.5,0.5,0.6,0.5,0.4,0.6,0.4,0.3,0.6,0.3,0.5,0.2,0.2,0.2,0.3,0.4,0.6,0.4,0.3,0.5,0.4,0.7,0.5,0.4,0.4,0.6,0.5,0.3,0.4,0.3,0.5,0.4,0.3,0.3,0.6,0.7,0.5,0.3,0.5,0.4,0.5,0.3,0.4,0.6,0.4,0.5,0.4,0.5,0.4,0.5
Jul-21,0.6,0.5,1,0.6,0.5,0.3,0.6,0.6,0.6,0.5,0.6,0.5,0.4,0.6,0.5,0.4,0.6,0.4,0.6,0.2,0.4,0.3,0.5,0.4,0.7,0.4,0.4,0.5,0.3,0.6,0.5,0.4,0.4,0.6,0.6,0.3,0.4,0.3,0.6,0.4,0.2,0.5,0.5,0.8,0.6,0.4,0.5,0.4,0.4,0.4,0.3,0.6,0.3,0.5,0.3,0.6,0.5,0.5
Aug-21,0.6,0.6,0.9,0.7,0.5,0.4,0.7,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.4,0.6,0.4,0.7,0.2,0.4,0.3,0.5,0.4,0.7,0.2,0.4,0.6,0.3,0.6,0.6,0.5,0.5,0.7,0.6,0.4,0.3,0.3,0.7,0.4,0.3,0.5,0.7,0.4,0.6,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.4,0.5,0.2,0.5,0.5,0.6
Sep-21,0.7,0.7,1.2,0.7,0.6,0.3,0.7,0.6,0.6,0.6,0.7,0.6,0.5,0.7,0.5,0.4,0.6,0.4,0.9,0.3,0.6,0.3,0.7,0.4,0.8,0.3,0.4,0.6,0.3,0.6,0.5,0.5,0.5,0.6,0.6,0.4,0.3,0.3,0.7,0.3,0.4,0.6,0.5,0.7,0.6,0.6,0.3,0.4,0.4,0.4,0.5,0.6,0.4,0.5,0.3,0.5,0.5,0.7
Oct-21,0.7,0.7,1,0.8,0.8,0.4,0.8,0.6,0.7,0.6,0.7,0.5,0.5,0.8,0.5,0.5,0.9,0.6,0.9,0.4,0.6,0.4,1,1.2,1.1,0.3,0.4,0.7,0.7,0.6,0.6,0.5,0.6,0.7,0.7,0.5,0.4,0.4,0.7,0.4,0.5,0.7,0.7,1,0.7,0.5,0.5,0.4,0.4,0.4,0.6,0.6,0.4,0.5,0.4,0.5,0.5,0.7
Nov-21,0.9,1.1,1.2,1.1,0.9,0.6,0.8,0.7,1.1,0.7,0.9,0.7,0.5,1.2,0.6,0.5,1.5,0.7,1.3,0.5,1.1,0.7,2.1,2.3,1.6,0.5,0.4,1,1.1,0.9,0.8,0.7,0.5,0.8,0.9,0.7,0.6,0.5,0.8,1.1,0.6,0.8,0.5,0.8,0.7,0.6,0.7,0.3,0.5,0.4,0.7,0.7,0.5,0.6,0.5,0.6,0.7,0.8
Dec-21,0.9,1.5,1.4,1.1,1.4,0.7,1,0.8,1.2,0.8,0.9,0.8,0.6,1.3,0.8,0.6,2.2,0.9,1.9,0.8,1.7,1.1,2.7,2.1,2,0.5,0.5,1.5,1.8,1.3,1,0.8,0.6,1.1,1.2,0.9,0.7,0.7,0.8,1.5,0.7,1.2,0.6,0.5,0.8,0.5,0.9,0.4,0.8,0.4,0.7,0.8,0.5,0.7,0.6,0.4,0.8,0.8
Jan-22,1.3,1.7,1.5,1.5,1.6,0.7,1.4,1,1.4,1.2,1.3,0.8,0.7,1.6,1.1,0.6,2.8,1,1.8,1.1,1.9,1.1,2.7,2.1,2.4,0.5,0.5,1.7,2.4,1.3,1,1,0.8,1.2,1.2,1.1,0.7,0.9,1,0.9,0.8,,0.5,0.8,0.9,0.4,0.5,0.3,1.3,0.8,0.9,0.7,0.6,0.6,0.5,0.4,0.9,1.2
Feb-22,0.9,1.1,1,0.8,1.5,0.5,1,0.7,1.1,0.9,0.9,0.7,0.5,1,1.1,0.4,1.3,0.6,1.8,0.7,1.2,0.8,1.6,2.4,1.8,0.5,0.4,1.6,2.1,1,0.8,0.6,0.6,0.9,0.9,0.6,0.5,0.7,0.8,0.6,0.6,0.5,0.5,0.7,0.8,0.4,0.6,0.3,0.8,0.5,0.7,0.7,0.5,0.6,0.4,0.6,0.7,0.9
Mar-22,0.8,0.9,0.8,0.7,0.7,0.4,0.8,0.6,0.9,0.8,0.7,0.6,0.6,0.8,0.5,0.4,0.6,0.6,0.7,0.4,1.2,0.5,0.9,2.7,0.9,0.5,0.3,0.7,0.8,1,0.7,0.6,0.5,0.5,0.7,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.7,0.8,0.7,0.4,0.5,0.3,0.7,0.4,0.5,0.6,0.3,0.5,0.4,0.6,0.5,0.7
Apr-22,0.6,0.7,0.8,0.5,0.4,0.3,0.7,0.4,0.5,0.5,0.5,0.4,0.5,0.6,0.3,0.4,0.4,0.6,0.5,0.3,0.8,0.3,0.6,1.5,0.5,0.4,0.3,0.5,0.6,0.7,0.5,0.5,0.4,0.6,0.4,0.3,0.4,0.4,0.4,0.3,0.5,0.4,0.9,0.5,0.7,0.5,0.5,0.3,0.6,0.3,0.4,0.5,0.4,0.5,0.4,0.6,0.5,0.5
May-22,0.5,0.6,0.9,0.4,0.4,0.3,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.3,0.4,0.5,0.5,0.3,0.3,0.5,0.2,0.5,0.4,0.5,0.4,0.3,0.4,0.5,0.7,0.5,0.4,0.5,0.5,0.4,0.3,0.3,0.4,0.3,0.2,0.3,0.4,0.3,0.6,0.7,0.4,0.4,0.3,0.5,0.3,0.4,0.6,0.5,0.5,0.4,0.5,0.5,0.5
Jun-22,0.4,0.5,0.9,0.5,0.4,0.2,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.3,0.3,0.5,0.3,0.4,0.3,0.5,0.2,0.6,0.3,0.5,0.3,0.3,0.4,0.5,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.2,0.3,0.4,0.4,0.5,0.7,0.4,0.3,0.3,0.4,0.3,0.4,0.6,0.4,0.5,0.3,0.5,0.5,0.4
Jul-22,0.6,0.5,0.8,0.5,0.4,0.2,0.7,0.6,0.4,0.4,0.6,0.6,0.5,0.6,0.3,0.2,0.5,0.3,0.5,0.4,0.5,0.3,0.7,0.3,0.5,0.3,0.4,0.4,0.5,0.6,0.5,0.4,0.5,0.6,0.4,0.3,0.3,0.4,0.5,0.3,0.3,0.5,0.6,0.6,0.6,0.4,0.4,0.3,0.5,0.3,0.5,0.6,0.3,0.5,0.3,0.5,0.5,0.5
Aug-22,0.6,0.6,0.7,0.6,0.4,0.2,0.7,0.6,0.6,0.5,0.5,0.7,0.5,0.7,0.3,0.2,0.4,0.3,0.6,0.5,0.5,0.8,0.5,0.4,0.5,0.3,0.4,0.4,0.4,0.6,0.6,0.4,0.6,0.7,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.5,0.6,0.7,0.5,0.5,0.6,0.4,0.6,0.4,0.5,0.6,0.3,0.7,0.2,0.7,0.6,0.6
Sep-22,0.6,0.6,0.9,0.6,0.4,0.2,0.8,0.6,0.5,0.6,0.7,0.7,0.5,0.7,0.3,0.2,0.4,0.4,0.5,0.4,0.5,0.6,0.5,0.4,0.6,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.4,0.4,0.3,0.4,0.5,0.3,0.3,0.5,0.4,0.6,0.6,0.5,0.4,0.3,0.5,0.3,0.5,0.5,0.3,1.5,0.2,0.9,0.6,0.6
Oct-22,0.7,0.6,0.8,0.7,0.5,0.2,0.9,0.6,0.6,0.7,0.6,0.7,0.5,0.8,0.4,0.2,0.6,0.4,0.6,0.5,0.6,0.5,0.7,0.4,0.9,0.4,0.3,0.6,0.7,0.7,0.5,0.5,0.4,0.6,0.5,0.5,0.4,0.4,0.6,0.4,0.3,0.5,0.5,0.4,0.4,0.4,0.5,0.3,0.7,0.4,0.6,0.5,0.3,0.8,0.3,0.5,0.7,0.8
Nov-22,0.9,1.1,1,0.8,0.7,0.4,1,0.7,0.8,0.8,0.9,0.8,0.5,0.9,0.4,0.4,1.1,0.4,1,0.5,0.9,0.9,1.4,1.3,1.5,0.4,0.5,0.7,0.9,0.9,0.7,0.7,0.6,0.8,0.8,0.6,0.5,0.5,0.7,0.5,0.5,0.6,0.4,0.7,0.4,0.5,1.2,0.4,0.8,0.5,0.7,0.6,0.4,0.6,0.4,0.4,0.9,0.8
Dec-22,1,1.3,1.4,0.9,1.2,0.6,1,0.7,1,0.9,1,0.9,0.5,0.8,0.7,0.6,2.1,0.7,1.7,0.9,1.8,1.1,2.2,1.7,2.9,0.4,0.3,1.2,1.7,1.3,0.8,0.8,0.5,0.8,0.9,0.8,0.6,0.6,0.6,0.8,0.6,0.9,0.5,0.7,0.8,0.5,0.8,0.5,0.7,0.4,0.8,0.8,0.4,0.8,0.4,0.5,1,0.9
Jan-23,1.1,1.5,1.3,1.1,1.4,0.6,1.1,0.7,1.1,1,1.1,0.8,0.6,1.1,0.8,0.7,2,0.7,1.9,1,1.6,0.9,2.1,1.9,3.1,0.4,0.4,1.4,1.9,1.6,0.9,0.9,0.7,1,1,0.9,0.5,0.7,0.6,0.9,0.6,0.9,0.5,0.6,0.8,0.4,0.6,0.6,0.8,0.4,0.7,0.8,0.3,0.6,0.4,0.4,0.8,1.1
Feb-23,1.1,1.2,1.1,0.9,1.4,0.5,1.1,0.9,1,1,1,0.8,0.6,0.9,0.8,0.5,1.3,0.7,1.9,0.9,1,0.8,1.6,1.3,1.8,0.4,0.3,1.3,1.9,1.1,0.8,0.8,0.7,0.7,1,0.7,0.6,0.9,0.9,0.7,0.6,0.7,0.6,0.5,0.7,0.3,0.6,0.6,0.7,0.5,0.8,0.6,0.5,0.6,0.4,0.5,0.7,1
Mar-23,0.6,0.8,0.9,0.6,0.7,0.4,0.6,0.5,0.7,0.6,0.6,0.6,0.5,0.8,0.4,0.4,0.6,0.5,0.9,0.7,0.7,0.5,0.7,0.7,0.8,0.5,0.4,0.7,0.9,0.5,0.7,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.3,0.6,0.4,0.5,0.5,0.6,0.4,0.6,0.5,0.4,0.5,0.4,0.5,0.4,0.5
Apr-23,0.6,0.6,0.6,0.5,0.4,0.4,0.7,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.3,0.3,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.6,0.5,0.4,0.4,0.5,0.4,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.5,0.3,0.5,0.5,0.3,0.5,0.5,0.4,0.6,0.5,0.3,0.4,0.5,0.3,0.5,0.4,0.5,0.3,0.6
May-23,0.5,0.6,0.5,0.4,0.4,0.3,0.7,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.6,0.5,0.4,0.3,0.4,0.4,0.6,0.6,0.5,0.5,0.6,0.5,0.3,0.4,0.4,0.3,0.4,0.3,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.3,0.3,0.5,0.4,0.5,0.4,0.4,0.3,0.6
Jun-23,0.5,0.6,0.6,0.4,0.4,0.2,0.7,0.5,0.4,0.4,0.5,0.6,0.5,0.5,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.6,0.5,0.3,0.4,0.3,0.5,0.6,0.6,0.5,0.5,0.6,0.5,0.3,0.4,0.4,0.3,0.4,0.3,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.7,0.4,0.5,0.2,0.5,0.3,0.5
Jul-23,0.5,0.6,0.6,0.5,0.4,0.2,0.6,0.6,0.4,0.5,0.5,0.6,0.4,0.5,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.7,0.6,0.3,0.5,0.4,0.4,0.6,0.7,0.5,0.6,0.5,0.6,0.3,0.4,0.4,0.3,0.3,0.2,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.6,0.3,0.5,0.2,0.4,0.4,0.5
Aug-23,0.6,0.6,0.6,0.5,0.4,0.2,0.6,0.6,0.5,0.5,0.5,0.6,0.4,0.6,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.3,0.6,0.5,0.4,0.6,0.6,0.5,0.5,0.7,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.6,0.5,0.4,0.5,0.4,0.5,0.5,0.6,0.4,0.4,0.5,0.3,0.5,0.2,0.5,0.5,0.5
Sep-23,0.6,0.6,0.6,0.6,0.4,0.3,0.6,0.6,0.6,0.5,0.5,0.6,0.4,0.7,0.4,0.3,0.4,0.6,0.5,0.3,0.5,0.4,0.5,0.5,0.6,0.3,0.5,0.4,0.4,0.6,0.6,0.6,0.6,0.7,0.6,0.3,0.4,0.4,0.4,0.4,0.3,0.5,0.6,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.5,0.3,0.3,0.5,0.6
Oct-23,0.7,0.8,0.7,0.6,0.5,0.4,0.7,0.6,0.6,0.6,0.7,0.7,0.4,0.8,0.4,0.4,0.6,0.6,0.6,0.4,0.7,0.4,0.7,0.7,0.9,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.4,0.9,0.6,0.5,0.4,0.4,0.4,0.5,0.3,0.6,0.6,0.4,0.6,0.5,0.6,0.6,0.6,0.4,0.5,0.4,0.3,0.5,0.4,0.3,0.6,0.7
Nov-23,0.7,1.1,1,0.8,0.8,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.5,1,0.4,0.6,1.1,0.6,0.9,0.5,1.1,0.6,1.7,1,1.5,0.4,0.3,0.7,0.8,0.8,0.7,0.7,0.5,0.9,0.8,0.7,0.6,0.6,0.5,0.8,0.6,0.8,0.6,0.4,0.9,0.5,0.7,0.5,0.7,0.4,0.5,0.5,0.4,0.7,0.5,0.4,0.7,0.7
Dec-23,1,1.6,1.3,1.1,0.9,0.8,0.9,0.8,1,1,1,0.8,0.6,1.2,0.6,0.6,1.7,0.8,1.2,0.7,1.4,0.9,2,1.5,1.8,0.4,0.4,1.1,1.1,1.2,1,0.8,0.6,1,1.1,0.8,0.5,0.7,0.6,1.3,0.8,0.9,0.5,0.5,0.8,0.5,0.7,0.4,0.8,0.6,0.7,0.6,0.4,0.8,0.6,0.4,0.8,0.9
Jan-24,1.1,1.6,1.3,1.1,1.1,0.6,1,0.8,1.1,0.9,1,0.8,0.6,1.3,0.6,0.8,2.1,0.9,1.3,0.8,1.3,1,2.3,1.9,1.9,0.4,0.4,1.2,1.3,1.3,1,0.8,0.7,1.1,1,0.9,0.6,0.8,0.8,0.9,0.8,0.9,0.5,0.6,0.7,0.6,0.6,0.5,0.9,0.7,0.8,0.6,0.4,0.7,0.6,0.4,0.9,1
Feb-24,0.8,0.9,0.9,0.8,1,0.5,0.9,0.7,0.9,0.9,0.8,0.7,0.6,0.9,0.7,0.5,1.1,0.6,1.4,0.8,1,0.7,1.3,1.1,1.3,0.3,0.4,1.3,1.4,0.9,0.8,0.7,0.7,0.8,0.8,0.7,0.5,0.7,0.8,0.8,0.7,0.6,0.6,0.9,0.5,0.5,0.6,0.5,0.7,0.6,0.7,0.4,0.3,0.5,0.5,0.5,0.7,0.8
Mar-24,0.6,0.7,0.8,0.6,0.6,0.4,0.6,0.5,0.7,0.6,0.6,0.5,0.5,0.7,0.4,0.4,0.6,0.5,0.9,0.5,1,0.4,0.8,0.8,1,0.4,0.3,0.7,0.8,0.7,0.6,0.6,0.5,0.7,0.6,0.5,0.4,0.5,0.4,0.7,0.7,0.5,0.5,0.7,0.5,0.5,0.6,0.6,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.6
Apr-24,0.5,0.4,0.7,0.5,0.4,0.4,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.3,0.3,0.5,0.4,0.5,0.3,0.8,0.3,0.4,0.6,0.6,0.2,0.2,0.5,0.4,0.6,0.6,0.5,0.4,0.6,0.5,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.6,0.5,0.4,0.5,0.5,0.4,0.3,0.3,0.5,0.4,0.4,0.5,0.5,0.4,0.6
