month,重庆,成都,贵阳,昆明,绵阳,宜宾,攀枝花,泸州,自贡,德阳,南充,遵义,曲靖,玉溪,六盘水,安顺,铜仁地区,毕节,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,保山,昭通,丽江,普洱,临沧,楚雄州,红河州,文山州,西双版纳州,大理州,德宏州,怒江州,迪庆州,广元,遂宁,内江,乐山,眉山,广安,达州,雅安,巴中,资阳,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州
Jan-21,0.9,0.9,0.9,0.8,0.9,0.8,1.9,0.9,0.8,0.9,0.9,0.8,0.8,1.1,1,0.8,0.8,0.7,0.8,0.9,0.9,0.6,0.9,0.7,0.7,0.8,0.9,0.7,0.7,0.9,0.7,0.8,1.1,0.7,1,0.8,1,0.9,1,0.9,1.2,0.8,0.9,0.9,0.6,0.5,0.7
Feb-21,0.8,0.8,0.7,0.6,0.8,0.8,1.5,0.8,0.8,0.7,0.8,0.7,0.6,1,0.8,0.7,0.5,0.6,0.6,0.7,1,0.5,0.7,0.5,0.6,0.7,0.8,0.6,0.6,0.7,0.7,0.7,0.9,0.6,0.8,0.7,0.9,0.8,0.9,0.9,0.9,0.6,0.8,0.7,0.5,0.4,0.6
Mar-21,0.8,0.8,0.7,0.8,0.8,0.7,1.4,0.8,0.6,0.7,0.7,0.7,0.7,1.2,0.7,0.8,0.5,0.5,0.7,0.8,1.1,0.6,0.4,0.6,0.8,1,0.8,0.8,0.7,1,0.7,0.8,1,0.7,0.7,0.6,0.7,0.8,0.8,0.7,0.8,0.6,0.6,0.6,0.4,0.4,0.7
Apr-21,0.7,0.7,0.7,0.7,0.7,0.6,1.1,0.7,0.5,0.6,0.6,0.6,0.7,1.2,0.6,0.6,0.3,0.5,0.6,0.6,1,0.6,0.5,0.6,0.5,0.9,0.8,0.7,0.7,0.7,0.7,0.9,1,0.7,0.7,0.5,0.7,0.7,0.7,0.6,0.7,0.5,0.5,0.5,0.5,0.4,0.7
May-21,0.7,0.7,0.6,0.5,0.7,0.7,0.8,0.6,0.4,0.5,0.6,0.5,0.6,0.8,0.5,0.4,0.3,0.5,0.4,0.5,0.7,0.4,0.3,0.5,0.4,0.7,0.6,0.4,0.5,0.5,0.7,0.7,0.9,0.6,0.5,0.4,0.6,0.6,0.6,0.6,0.8,0.4,0.6,0.5,0.4,0.3,0.6
Jun-21,0.7,0.7,0.5,0.5,0.7,0.7,0.9,0.7,0.5,0.6,0.5,0.5,0.6,0.7,0.5,0.3,0.3,0.5,0.3,0.5,0.7,0.4,0.4,0.6,0.5,0.6,0.5,0.5,0.4,0.3,0.6,0.6,0.7,0.6,0.5,0.4,0.6,0.8,0.6,0.5,0.6,0.5,0.5,0.5,0.4,0.3,0.6
Jul-21,0.6,0.6,0.5,0.5,0.6,0.6,1.1,0.8,0.5,0.6,0.5,0.5,0.6,0.7,0.6,0.4,0.3,0.5,0.5,0.4,0.5,0.4,0.4,0.6,0.5,0.6,0.5,0.4,0.3,0.4,0.6,0.6,0.7,0.7,0.4,0.3,0.5,0.7,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.3,0.7
Aug-21,0.6,0.6,0.5,0.5,0.7,0.7,1,0.7,0.5,0.6,0.5,0.5,0.6,0.7,0.6,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.5,0.7,0.6,0.4,0.4,0.4,0.6,0.7,0.8,0.7,0.6,0.3,0.5,0.7,0.6,0.5,0.6,0.4,0.6,0.5,0.5,0.3,0.7
Sep-21,0.7,0.6,0.5,0.5,0.7,0.7,1.1,0.7,0.5,0.6,0.6,0.5,0.5,0.7,0.5,0.3,0.6,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.5,0.7,0.6,0.4,0.4,0.5,0.5,0.6,0.9,0.6,0.7,0.3,0.5,0.7,0.6,0.5,0.7,0.5,0.6,0.6,0.4,0.3,0.7
Oct-21,0.6,0.6,0.5,0.5,0.6,0.7,1.1,0.6,0.5,0.6,0.6,0.5,0.6,0.7,0.5,0.5,0.7,0.5,0.6,0.5,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.6,0.5,0.5,0.7,0.6,0.8,0.6,0.8,0.3,0.4,0.7,0.7,0.5,0.6,0.5,0.6,0.5,0.5,0.3,0.7
