month,沈阳,大连,长春,哈尔滨,鞍山,抚顺,本溪,锦州,吉林,齐齐哈尔,牡丹江,大庆,营口,丹东,盘锦,葫芦岛,阜新,辽阳,铁岭,朝阳,四平,辽源,通化,白山,松原,白城,鸡西,鹤岗,双鸭山,伊春,佳木斯,七台河,黑河,绥化,大兴安岭地区
Jan-21,43.4,32.1,38.2,43.2,39,36.8,37.8,41.6,30.6,21.5,39.6,26.1,40.9,29.4,45.6,42.7,27.3,37.9,32.5,29.7,32.1,25.2,30.7,23.4,24.2,14.1,36.9,20.4,22.7,20.8,26,36.7,13.5,24.2,18.3
Feb-21,33.2,29.8,28.3,29.3,29.9,27.4,33,34.1,23.2,16.5,28.3,17.8,32,23.4,32.7,34.2,22.3,27.9,25.7,20.2,21.8,17.8,18.7,18.1,18.3,10.7,26.9,13.3,16.2,15,19.9,23.9,12,14,13.5
Mar-21,41.6,35.9,37.1,34.5,36.1,33.1,38.3,38,27.7,16.9,25.8,19.5,37.1,24.5,32.4,36.8,25,38.3,33.9,22.5,28.4,23,23.3,18.9,21.3,18.2,27.3,16.1,16.1,14.6,23.1,23,13.3,17.8,12.7
Apr-21,32,27.8,33.5,32.1,26.2,24.8,27.8,30.1,28.5,12.5,23.4,17.2,31.6,19.2,25.6,27.4,20.5,28.5,26.3,18.9,26.5,21.1,22.7,16.8,19.8,15.1,29.8,16.5,14.2,13,22,24.9,10.3,20.1,10.5
May-21,27.3,22.9,28.7,27.1,22.4,22.6,26.7,26.5,20.1,11.6,18.2,11.9,22.9,14.8,19.6,20.3,17.5,24.4,23.3,15.7,22.3,16.9,21.6,19.2,14.1,12.6,25.7,13.3,13,10.1,16.1,19,9.5,12.1,9.7
Jun-21,25,20.9,29.4,30.6,18.1,20.6,21.9,21.5,22.1,12.9,16.5,13.5,20,10.3,17.2,19.6,18,19.5,22.7,14.8,21.6,20.4,17,16.5,14,10,24.8,12.5,10.4,9.9,16.7,20.6,12.1,13.7,9.1
Jul-21,20.7,15.2,23.6,22.1,13.4,16,17.5,13.5,17.8,10.1,13.9,10.9,14.7,8.9,14.9,12.4,11.2,12.4,18,11,15.3,15.5,11.7,13.1,9.8,7.3,23.6,11.8,9.6,9.1,18.1,17.9,10.7,12.1,5.9
Aug-21,24.4,16.8,21.3,21.2,20.5,18.8,20.4,16.6,16.2,12.1,13.9,10.3,17.6,10.5,21.6,22.5,15,19.7,17.2,16.3,16,12,12.7,16.2,9.3,11,20.7,9,9.8,7.5,14.5,16.2,9.4,10.4,5.3
Sep-21,30.2,18.2,28.5,27,24,21.1,21,21.8,21.8,12.6,18,13.7,26.2,15.1,27.3,28,18.6,24,19.6,18.5,23.6,17.2,15.8,17.4,13.5,12.6,26.7,13,13.9,9.7,20.5,19.8,13,12.5,9
Oct-21,36.3,26.3,35.7,31.7,30.6,28.6,29.2,31.8,29.5,17.6,23.8,20,32.8,21.5,32.1,33.9,25.3,29.1,25.7,25.1,30.8,23,22,28,22.1,19.1,32.7,17.7,16.2,13.9,24.6,26.3,14.6,16.8,12.3
Nov-21,42.9,32,36.7,33.7,36.8,35,37.1,34.9,24.6,20.8,23.3,26.4,33.5,27.8,33.5,35.8,31,36.8,34.1,26.7,31,22.8,22.3,31.7,27.9,20.1,31.8,18,17.1,17.9,24.8,26,10.2,21.2,11.8
Dec-21,37.1,32.7,33.1,30,32.6,31.3,33.3,34.6,25.3,21.3,29.1,24.8,33.8,28.3,32.1,35.9,28.4,31.6,31.6,24.1,30.5,22.9,27.4,37.2,19.7,20.8,34.6,20.8,17.9,20.4,23.6,31.6,15,22.5,14.3
Jan-22,42.9,34.1,39.9,46.6,41.9,38.3,42.6,37.8,35.8,26.2,35.9,33.8,38.1,27.4,36.2,39.3,26.8,39,32.6,31.8,35.4,27.5,35.2,37.2,31.7,27.1,34.1,20,22.9,22,30.1,35.7,16.6,30.2,16.7
Feb-22,33.2,28.5,29.6,32.5,30.2,30.2,32.1,28.4,22.8,17.9,24,20.5,27.5,24.4,29.5,28.6,18.9,27.9,28.7,21.2,27.3,19.8,24.2,25,22.1,15,27.4,12.8,18.2,14.9,21.7,27.2,6.5,17.7,12.9
Mar-22,28.3,28.1,19.7,23.1,26.8,20.4,25.2,27.6,14.5,15.7,17.9,17.4,24.3,17,25.8,25.9,20.8,22.8,27,19,21.1,14.2,17.2,19.8,16.5,17,25.8,13.5,15.2,10.9,17.3,19.7,8.2,13.3,10.4
Apr-22,21.8,24.6,14.6,21.6,21.7,18.2,23.8,21.6,14.4,14.8,12.7,14.1,20.1,14.3,23.9,24.5,19.7,21.8,25,16.4,14.9,13.1,12.2,17.9,14.9,23.8,28.1,14.4,15.5,9.2,14.2,20.7,7.6,16.8,7
May-22,24.5,23.2,16.6,19.8,20.6,18,23.7,22.9,13.2,14,12.9,12.4,15.6,9,22.3,26.5,17.9,21.6,24.3,15.9,16.1,12,12.6,18.9,12.7,18.2,23.2,11.1,12,8.9,13.8,17.6,8.7,13.3,6.8
Jun-22,24.3,14.5,25.4,23,17.7,18.4,19.4,17.6,16.4,14.6,11.8,12.2,15.7,6.1,17.6,18.1,14.3,16,26.4,13.6,21.8,13,11,17.4,14.2,14.6,23.2,10.5,11.8,8,16.3,17.5,10.4,16,7.9
