month,北京,天津,石家庄,唐山,秦皇岛,邯郸,保定,张家口,承德,廊坊,沧州,衡水,邢台,太原,呼和浩特,包头,鄂尔多斯,大同,长治,临汾,阳泉,赤峰,乌海,通辽,呼伦贝尔,巴彦淖尔,乌兰察布,兴安盟,锡林郭勒盟,阿拉善盟,晋城,朔州,晋中,运城,忻州,吕梁,雄安新区
2021-01,30.8,49.5,39.2,50.3,41.3,45.6,47.7,23.1,40.0,44.7,46.0,47.6,39.9,42.5,36.5,40.6,23.0,31.0,41.0,44.4,39.6,31.1,24.3,24.8,14.8,15.9,26.0,16.0,10.6,10.4,33.0,28.9,36.6,39.1,35.1,44.2,47.3
2021-02,28.3,39.8,35.5,49.2,38.5,29.9,40.5,18.4,33.4,40.8,29.0,30.0,31.3,38.9,28.6,35.9,20.0,23.9,27.8,37.4,40.6,20.1,24.3,19.7,12.1,15.1,18.9,12.9,6.9,9.1,25.3,25.8,31.6,32.0,26.1,39.5,35.0
2021-03,34.8,46.4,37.7,53.4,42.3,31.4,40.8,25.1,37.7,40.5,31.2,31.4,35.1,45.2,29.1,34.3,25.9,27.7,26.8,34.0,42.2,24.8,28.8,23.0,10.7,18.1,24.1,18.9,11.5,8.9,29.0,31.2,35.5,25.1,34.8,45.4,35.1
2021-04,27.2,38.9,31.3,43.2,34.7,24.6,32.1,18.5,29.4,33.9,28.1,25.8,29.5,33.7,24.1,28.1,21.4,20.8,21.7,31.6,34.8,20.2,23.3,20.1,11.8,12.6,17.1,14.6,9.0,6.8,27.0,22.5,26.3,20.1,24.5,40.1,29.7
2021-05,20.7,26.8,25.8,29.1,25.6,20.3,25.0,15.9,24.3,23.8,21.6,20.6,24.5,32.2,20.8,23.0,16.9,17.7,19.3,30.5,29.9,16.5,19.9,18.3,11.7,9.3,12.8,11.5,9.7,5.6,23.0,20.8,25.7,21.2,20.8,39.3,23.4
2021-06,19.0,26.3,23.4,28.5,24.0,18.4,24.2,15.9,22.6,25.5,21.6,20.5,22.3,30.4,21.3,25.2,18.5,19.7,19.2,28.8,32.1,17.2,20.4,16.2,11.9,12.2,15.9,12.8,9.4,6.3,24.2,25.2,24.9,16.4,23.1,38.5,27.1
2021-07,14.1,18.4,16.5,18.8,15.6,11.7,17.2,13.0,20.9,18.4,14.4,15.2,17.2,27.3,18.3,21.9,16.5,15.8,13.6,22.5,23.1,18.2,18.8,13.8,9.9,11.3,15.7,9.9,9.0,6.3,18.8,21.8,16.7,13.0,16.3,27.4,18.6
2021-08,14.8,23.4,20.4,25.7,21.7,15.5,21.2,12.9,21.1,23.0,18.9,17.6,20.7,26.5,21.8,25.6,19.0,20.0,17.5,25.1,27.5,18.3,19.6,13.1,9.9,12.1,18.7,10.2,8.8,6.6,20.8,25.7,20.1,13.3,19.9,37.1,19.4
2021-09,20.5,29.5,23.8,32.3,25.0,19.1,27.5,15.3,25.2,28.6,22.5,22.9,21.3,35.8,26.7,30.6,22.2,22.8,18.6,27.3,29.7,26.2,28.8,18.0,13.3,17.2,20.7,12.3,11.5,7.8,27.1,26.5,24.9,17.1,24.8,36.8,27.7
2021-10,29.3,46.0,40.1,45.4,37.0,36.8,46.7,18.2,32.7,46.5,41.9,40.5,39.1,45.0,31.4,35.6,27.0,27.5,28.1,36.9,40.0,29.1,30.3,24.8,13.8,22.2,23.8,20.6,13.9,9.8,34.3,35.4,37.6,24.5,30.8,39.8,48.3
2021-11,35.4,47.9,42.3,45.0,39.3,42.3,48.3,20.8,35.6,50.7,47.4,44.4,45.6,51.0,38.6,41.5,25.7,33.7,35.0,45.2,44.2,26.2,30.4,28.5,12.3,20.3,29.1,15.6,13.5,9.8,35.3,37.4,42.7,38.7,42.5,42.8,55.1
2021-12,36.3,51.1,42.4,45.6,39.5,41.1,52.5,19.6,36.3,52.1,48.8,45.1,47.8,54.8,43.1,45.7,25.3,32.0,37.5,47.4,46.0,24.2,31.5,26.1,12.0,21.2,28.3,17.3,11.1,12.5,37.8,34.3,45.1,43.0,40.2,47.0,54.9
2022-01,33.8,41.3,45.3,43.8,40.5,40.0,53.1,20.4,37.5,44.5,44.0,39.9,46.4,54.7,42.6,45.0,36.1,34.8,35.5,43.0,51.2,32.6,42.1,30.9,19.9,32.4,35.4,22.1,14.6,18.1,33.0,42.4,46.6,32.1,41.5,47.3,48.5
2022-02,20.2,32.8,30.2,34.8,29.2,25.4,41.3,13.0,22.5,32.2,31.4,24.4,32.6,35.6,27.9,28.7,21.9,24.3,29.2,30.3,38.6,18.6,29.3,19.6,14.0,15.9,22.1,13.0,7.7,9.6,28.2,27.9,26.7,24.2,25.3,35.4,34.6
2022-03,26.7,36.9,35.2,30.1,30.1,22.9,38.7,16.3,25.2,32.4,27.1,23.5,31.9,43.9,24.6,29.5,24.0,24.1,30.3,38.8,42.7,20.5,25.2,20.9,10.4,13.8,18.6,13.5,8.5,8.5,27.4,26.8,34.0,26.2,29.8,44.9,39.9
2022-04,21.5,27.0,29.4,26.5,27.6,16.0,26.4,11.8,23.8,23.5,22.0,18.9,23.6,33.2,22.1,23.8,18.0,21.3,26.4,35.0,38.5,17.1,24.8,19.0,9.4,11.2,15.6,12.5,8.8,7.2,29.5,23.9,39.5,22.7,22.9,42.0,25.4
2022-05,16.5,24.1,29.9,27.8,27.5,16.0,26.5,9.7,19.5,25.8,25.0,18.4,24.2,38.7,25.2,26.2,16.9,21.0,24.9,32.2,38.8,19.2,23.9,17.6,9.9,11.4,14.9,12.7,11.7,7.9,26.2,27.0,29.6,17.7,25.2,39.4,23.3
2022-06,14.3,20.3,20.7,21.5,18.9,17.8,19.1,12.9,17.9,25.2,22.1,16.0,18.9,31.1,21.9,22.8,18.2,19.7,19.7,24.6,33.2,18.1,21.3,16.8,11.8,13.1,14.9,12.0,9.4,7.3,21.4,23.9,20.8,13.6,21.4,36.5,19.0
2022-07,14.7,17.6,20.3,16.8,17.3,15.1,17.2,12.4,17.0,22.5,16.5,13.0,14.9,28.4,21.7,22.6,17.8,19.2,19.2,19.4,28.0,17.8,22.2,14.9,9.3,12.6,17.4,9.9,8.9,7.7,17.0,24.8,19.8,9.7,20.0,31.8,14.5
2022-08,15.0,20.3,20.4,20.2,19.1,16.5,19.5,12.6,18.2,19.9,18.6,15.3,18.6,29.8,21.8,22.9,18.0,19.7,17.0,21.8,25.6,20.6,19.9,15.5,8.2,11.8,13.9,9.0,10.9,8.8,15.7,22.3,20.8,9.1,18.9,30.7,16.6
2022-09,24.1,31.2,32.3,33.1,29.9,27.9,35.9,15.2,23.4,33.9,28.1,24.0,30.7,44.6,35.7,40.3,28.1,30.1,28.4,34.0,42.7,23.1,32.2,17.0,11.4,15.1,25.3,13.3,10.1,8.8,30.7,34.0,33.0,22.0,30.5,42.1,26.5
2022-10,29.3,41.5,41.2,44.0,33.8,36.3,43.2,15.8,35.3,43.4,37.8,33.6,36.6,46.9,27.5,31.6,25.0,22.2,30.4,32.4,43.5,27.7,30.3,26.0,11.5,18.7,22.0,18.0,11.2,10.8,31.2,27.6,38.8,15.9,38.3,40.6,47.4
2022-11,32.3,44.1,39.0,43.3,33.7,35.6,46.7,17.7,34.4,49.0,36.2,36.5,36.8,46.5,35.2,38.9,30.0,27.0,31.8,37.2,42.8,27.8,35.8,24.0,11.3,23.9,27.7,19.9,9.6,11.2,31.4,26.9,41.7,26.3,35.3,41.5,49.3
2022-12,23.8,42.0,46.9,40.3,32.2,46.6,49.7,11.5,28.8,43.3,47.9,45.9,38.2,45.2,35.6,37.1,23.6,29.2,36.0,39.3,43.3,21.8,30.7,19.1,12.1,19.4,23.8,15.9,7.7,11.1,33.5,27.8,39.2,37.1,35.8,40.7,58.0
2023-01,26.3,41.2,41.3,39.7,35.0,41.4,43.7,16.8,32.2,44.4,43.4,42.3,38.9,45.4,38.6,39.4,23.9,29.4,32.4,39.5,42.4,22.7,29.5,22.6,15.2,21.2,25.5,18.7,9.2,10.7,31.0,32.2,37.4,34.1,35.7,43.9,48.7
2023-02,35.4,45.8,44.7,48.1,42.9,32.7,49.5,20.2,36.2,49.5,43.4,33.2,37.4,51.9,36.4,40.5,31.3,30.2,31.1,36.0,46.6,27.9,35.0,21.8,17.8,24.5,27.2,17.0,11.3,13.3,31.5,34.3,40.3,24.6,41.9,49.8,47.2
2023-03,32.2,43.3,38.2,48.1,42.2,27.8,39.6,13.1,29.3,43.3,39.4,25.6,30.3,45.1,35.4,37.8,28.8,28.2,28.0,35.5,42.8,30.6,30.4,22.2,9.4,20.3,20.9,17.0,9.9,8.8,29.2,29.6,34.7,25.0,30.8,44.0,36.1
2023-04,22.6,29.3,27.2,28.6,24.6,20.2,26.3,10.1,18.7,28.6,32.9,17.0,19.1,32.6,24.7,24.9,20.5,20.5,20.3,25.9,33.4,19.4,19.9,18.0,8.2,12.1,15.6,17.5,7.9,8.4,21.7,19.7,27.1,15.0,21.7,34.5,24.1
2023-05,20.6,27.2,24.6,26.0,25.7,18.6,20.7,10.3,18.3,26.3,27.2,16.2,19.0,33.6,24.1,26.5,22.2,20.5,17.0,25.4,30.9,22.0,17.9,16.0,8.5,13.3,14.7,13.6,9.9,7.9,21.4,22.1,25.2,14.1,24.9,34.9,18.7
2023-06,18.7,22.3,20.2,19.3,21.8,18.9,16.6,8.7,18.8,23.8,24.7,16.2,22.5,33.3,24.6,24.8,19.7,20.9,19.7,22.4,33.5,23.4,17.7,16.8,9.8,13.6,14.5,10.9,11.4,6.9,22.3,24.1,25.5,13.1,26.0,34.1,18.0
2023-07,15.5,18.2,16.0,15.9,20.1,12.1,13.5,8.9,18.9,16.3,19.5,12.3,16.1,26.5,23.0,24.7,19.8,18.7,17.1,21.6,24.4,20.8,17.2,14.0,10.8,12.6,14.8,9.0,8.1,7.0,17.6,18.4,21.2,12.8,20.7,30.9,14.2
2023-08,15.5,20.5,17.0,19.9,25.4,14.1,14.9,9.0,20.9,18.2,20.5,13.9,12.5,28.0,25.1,26.7,24.7,21.0,15.3,19.6,24.3,20.2,21.7,14.9,12.0,14.9,17.0,8.9,9.3,7.1,18.8,21.7,20.4,10.5,22.2,31.2,13.7
2023-09,22.2,31.1,28.7,31.2,34.6,23.0,27.4,11.0,26.4,28.6,26.7,23.1,21.6,35.3,28.2,29.3,24.0,23.6,20.8,26.0,31.9,25.7,27.2,18.7,12.1,14.9,18.9,11.5,12.2,8.6,24.6,23.4,27.0,12.8,26.8,36.7,25.3
2023-10,31.5,47.8,42.5,39.3,43.3,40.1,45.1,18.1,37.2,43.9,41.4,42.0,38.9,53.8,45.9,46.1,34.5,35.1,33.3,44.0,50.3,35.2,36.1,28.4,14.1,26.7,26.6,18.6,14.8,10.6,37.9,37.6,44.5,32.0,43.7,45.1,42.9
2023-11,27.4,41.6,41.0,35.0,38.6,37.0,46.4,16.1,28.4,39.7,40.7,37.8,39.6,46.0,35.7,37.2,27.9,30.4,35.1,37.9,41.7,30.5,30.1,28.1,15.0,19.1,22.6,11.3,12.9,13.7,36.2,29.6,41.8,36.2,38.3,39.6,45.1
