month,沈阳,大连,长春,哈尔滨,鞍山,抚顺,本溪,锦州,吉林,齐齐哈尔,牡丹江,大庆,营口,丹东,盘锦,葫芦岛,阜新,辽阳,铁岭,朝阳,四平,辽源,通化,白山,松原,白城,延边朝鲜族自治州,鸡西,鹤岗,双鸭山,伊春,佳木斯,七台河,黑河,绥化,大兴安岭地区
Jan-21,30,46.8,35.8,43.6,39.1,34.5,32.6,37.4,52.3,40.4,40.6,46,36.5,41.4,34.5,37.6,45.5,32.1,41.1,40.8,45.8,41.2,34.8,34.1,45.2,47.1,51.9,42.1,43.6,42.4,37.9,45.6,47.6,49.2,44.2,37
Feb-21,49.7,60.4,54.7,72.7,53.6,52.4,47.4,51.6,67.3,56.5,60.4,68.7,55.7,55.1,55.2,50.3,58.4,49.8,60.3,58.9,59.8,59.5,61.2,51.3,59.6,64.6,58.6,59.7,64.8,61.9,59.6,64.4,67.7,63.2,70.2,56.9
Mar-21,59,66.6,56.6,67,64.4,64.1,60,56.8,70.1,63.9,59.8,80,66.8,65.6,66.9,59.4,68.9,58.2,67.6,66.3,66.8,68.9,66.6,59.3,65.6,66.1,65.8,65.2,69.7,69.1,64.8,63,71.2,71.7,69.5,74.1
Apr-21,75.1,88.8,70.1,82.9,81.4,78.3,77.2,73.9,78.7,83,70.7,91.9,84.6,80.7,85.7,80,87.6,79,80.6,82.9,76.3,77.2,74.3,73.4,78.8,72.1,74.5,74.8,83,81.9,75.5,75.4,82.1,81.4,77.8,87.7
May-21,79.7,97,75.9,85.4,83.3,82.1,75.6,78.1,85.2,83.6,70.8,92.4,94.8,84.1,98.4,86.1,93,82.3,84.9,87.7,85.5,86.9,70.6,67,87.3,80.3,72.4,73.2,74,76.3,67.4,70.9,78.2,63.3,83.6,77.7
Jun-21,76.6,92.9,68.9,82.8,82.1,79.9,71.2,77.9,72.5,97.2,61,100.1,90.8,87.3,92.2,82.4,89.2,81.4,78.3,91,78.8,74.9,59.5,59.9,94.1,86.5,58.6,62.3,75.7,75.4,63.8,69.4,71.7,74.2,94.1,74
Jul-21,69.5,77,64.5,73.3,71,69.7,54.4,74.2,64.8,73.5,51,83.7,81.2,62.7,80.8,76,77.6,70.5,66.1,76.3,77.3,61.2,51.9,52.1,82.7,73.5,49.8,48.8,58.7,53.5,51.1,56.3,56.2,52.8,74.6,61
Aug-21,60,105.3,51.9,49.4,71.6,62,54.3,72.2,58.4,52.8,46.3,56.2,90.1,73.1,81.6,75.2,67.1,64.6,58.5,62.5,56.9,66.7,57.6,51.2,58,51.5,53.8,45.1,53.4,54.2,38.4,50.8,55.2,39.7,50.8,36.6
Sep-21,44,88.2,38.3,37.5,55.6,44.5,41.3,61.9,43.6,48.3,34.7,52.3,66.1,53.6,65.2,64.4,56.4,48.6,45.3,52.7,43.5,47,36.7,38.5,51,46,40.3,35.5,42.6,43.7,31.4,36.2,44.8,40,44.6,43
Oct-21,36.2,68,31.1,36.7,44.3,40.5,41,42.1,40.3,42.6,36.8,44.6,51,48,49.1,43.8,45,39.6,42.7,44.5,39.3,43,35.4,37.8,41.6,38.4,40.5,41.3,47.4,50.7,39.7,39.7,41.5,44.6,41.4,42.4
