month,上海,南京,苏州,南通,连云港,徐州,扬州,无锡,常州,镇江,泰州,淮安,盐城,宿迁,杭州,宁波,温州,绍兴,湖州,嘉兴,台州,舟山,金华,衢州,丽水,合肥,福州,厦门,南昌,济南,青岛,芜湖,马鞍山,九江,蚌埠,淮南,淮北,铜陵,安庆,黄山,滁州,阜阳,宿州,六安,亳州,池州,宣城,莆田,三明,南平,龙岩,宁德,景德镇,萍乡,新余,鹰潭,赣州,吉安,宜春,抚州,上饶,芜湖,马鞍山,泉州,临沂,德州,聊城,滨州,淄博,枣庄,烟台,潍坊,济宁,泰安,日照,威海,东营,菏泽,漳州,赣江新区
Jan-21,39,33.9,34.7,42.9,37.2,29.7,33.2,33.5,35.1,32.8,36.9,36.4,44.1,35.4,32.8,38.8,36.5,35,32.3,36.4,42.4,55,26.3,29.9,38.1,25.7,56.6,63,32.3,30.4,38.5,28.9,31.9,28.1,40.4,40.6,37.1,27.8,34.8,53.5,42.4,38.2,39.7,46.6,43.5,30,51.8,65.6,35.5,42.9,47.9,44.4,30,29.7,30.9,32.5,49.3,38.6,32.9,41.2,31.6,28.9,31.9,64.5,29.6,29.8,27.7,30.5,30.3,39.4,47.4,33.1,33.1,37.1,35.7,54,33,33.6,52.8,25.6
Feb-21,63.4,64.6,62.7,64.1,69,59.7,57.7,63.5,63.7,60.5,60.8,64.3,75.3,61.5,56,62.8,61,56.3,61.4,63.3,65.9,72.5,49.7,48.8,56.7,51.4,70.1,73.8,45.8,63,60.7,53.5,58.9,50.1,66.5,66.7,62,45.2,55.9,61,68.6,62.9,65.1,73.9,67.1,52.5,65.8,80.2,50.8,55.2,64.6,63,44,36.3,41.8,49.2,54.8,45.8,41.4,51,50.2,53.5,58.9,82.1,58.4,62,56,60.2,59.3,66,69.1,60.6,62.2,66.8,59.5,74.6,58.7,65.1,69,41.3
Mar-21,62.2,59.9,56,67.4,69.3,57,58.7,58.3,58.8,57.9,63.6,66.3,76.9,59.5,51.2,59,49.1,52.9,54.7,58.7,61.8,74.4,42.2,42.7,51.8,48.5,61.6,66.2,39.7,67,65.2,51.6,56.8,45,64.2,65.5,64.6,43.4,55,55,65,56.8,63.6,72,64.4,49.6,60.8,70.8,36.6,52.5,51.1,63.3,37.9,29.8,36.7,43.1,45.7,45.1,34.5,50.3,41.6,51.6,56.8,71.6,63.2,71.3,59.9,66.4,64.2,69.8,76.1,62,63.8,69.7,62.6,81.7,69.2,63.8,61.5,36.7
Apr-21,72.9,70.6,69.9,74.8,82.1,65.7,71.2,69.8,70.5,65.4,71.9,76.9,87.6,69.8,64.4,69.8,62.6,67.4,69.2,69.2,77.8,87.3,61.3,63.4,70.1,58.7,77.2,82.8,55.6,82.4,80.1,63.3,65.7,59,71.1,76.9,72.4,56.9,71.2,63.6,72,67.4,71.1,82.4,77.1,65.2,74.5,85.1,53.6,67,67.5,78.6,49.3,43.3,49.4,58,56.6,55.5,47.5,65.3,63.1,63.3,65.7,88,75.4,88.1,75.6,79.8,74.4,80.3,90.6,76.6,77.6,85.5,77.9,98.2,80.7,82.2,74.6,59.7
May-21,91.6,86.8,90.9,87.1,100.3,85.5,86.7,88.8,91.8,81.4,85,99.1,100.6,91.1,75,88.9,59.2,83.7,82.3,89.6,76.8,90.7,67,65.2,54.5,77.8,58.1,59,64.6,101.2,93.3,75,80.2,65.8,89.7,94.3,87.2,67.2,74.8,63.4,91.4,84.6,87.4,91,92.2,79.9,84,66.2,42.1,47.7,52.7,64.7,60.7,55.1,58,66.2,57.2,64.5,59.2,69.8,66,75,80.2,65.4,92.9,98.7,87.8,91.7,95,101.7,102.7,90.4,96.8,112.2,95.5,108,95,98.3,58.8,60.6
Jun-21,70.1,101.6,83.2,74.2,103.7,109.3,99.8,87.5,99.2,97.1,89.8,109.3,100.9,110.4,72.7,66.6,54.1,73.9,83.5,81.4,66,66.9,60.3,65.5,48.5,95.9,53.3,57,66,127.2,99.7,98.5,98.1,67.9,109.3,120.1,120.1,80.2,89.8,57.6,106.6,112.1,116.9,106.6,120.5,91.4,92.8,63.5,44.1,49.1,46,60.8,51.1,62.5,56,63,58.7,67.2,59.2,63.5,59.9,98.5,98.1,62.3,109.6,124.9,111.8,110.2,118.8,119.5,101.2,95.1,121.7,132.6,101.1,102.9,109.2,129.3,50.6,67.2
Jul-21,64.7,64.6,69.6,65.9,77.9,71.7,64.6,73.4,72.7,65.9,64.6,70.1,74.9,74.2,61.6,56.7,46.2,59.1,62,68.2,56,46.1,51.6,54.2,46,61.6,47.5,53.1,63.3,90.9,81.9,61.2,66.3,64.5,71.6,77.7,72.4,52.1,60.4,43.5,66.5,74.5,73.9,72.1,78.4,55.9,61.9,54.5,45.9,52.7,45.3,55.4,49.1,59.2,59.6,60.6,67.9,73,57,64,52.9,61.2,66.3,54.2,78.3,108.7,84.4,96,86.3,81.5,80.1,79.3,81.8,96.7,79.7,76.1,94.8,84.7,52.3,60.3
Aug-21,66.6,80.6,77.3,74.6,89.6,83.2,83.6,80.6,84.5,80.8,76.9,78.7,80.2,83.5,73.8,56.1,41.9,68.1,81.3,77.2,48.5,52.6,57.5,59.6,44.7,67.6,44.2,53.9,66,101.9,91.6,79.9,82.9,70.7,84,88.6,85.5,70.5,76.4,52.3,81.2,83.7,83.9,78,86.6,75.1,75.8,53.5,45.3,48.6,45.8,48.4,46.6,52.8,56.2,58.2,62.3,64.8,53.5,61,60.6,79.9,82.9,55.7,90.9,104.2,94.2,105.7,99.1,97.7,104.2,89.7,92.4,108.8,92.3,104.3,104.8,98.6,51.5,63.1
Sep-21,78.6,91.4,81.5,82.2,93.8,79.9,89.2,84.5,91.9,89.4,82.5,85.2,93.2,87.4,81.1,79.7,67.6,80.5,83.3,86.9,69.2,74.1,78.8,79.4,63.4,79.9,58.6,69.6,86.7,82.9,91.2,85.3,88.2,83.2,89.7,95.7,85.5,77.2,90.6,64.9,92.5,89.4,85.9,90.3,85.1,87.1,89.4,69.7,52,56.1,56.9,64.2,65.7,76.2,79.9,76,69.6,87.7,75.5,82.5,78.4,85.3,88.2,72,86.3,88.5,80.1,91.6,82.7,93.7,92.8,83.9,79.8,93.4,94.2,92.9,94.1,90.9,71,74.4
Oct-21,61.1,61.6,58.4,66.8,74.6,57.4,65,57.4,62.5,66.6,69.6,64,75.3,70.4,54.5,59.4,49.8,53.2,61.2,61.3,60.6,78.4,51,59.8,46.5,48.2,61.7,74.7,69.2,56.3,67.2,53.5,55.1,62.6,71.2,74.5,61.6,48.9,68.4,55.8,66.2,62.5,66.6,61.3,65.7,56.5,68.6,74.2,47.5,48.9,50.9,52.9,53.4,52.7,61.3,60.3,62.9,68.8,53.9,71.7,61,53.5,55.1,74.9,67,52.5,51.1,56.7,55.1,72,73.4,56.4,57.5,62,70.1,82.2,67.6,66.1,62.4,59.9
