month,郑州,武汉,长沙,衡阳,邵阳,益阳,郴州,永州,怀化,娄底,湘西州,洛阳,安阳,开封,焦作,平顶山,三门峡,宜昌,荆州,岳阳,常德,张家界,湘潭,株洲,信阳,周口,鹤壁,新乡,濮阳,许昌,漯河,南阳,商丘,驻马店,黄石,十堰,襄阳,鄂州,荆门,孝感,黄冈,咸宁,随州
Jan-21,35.1,27.9,30.6,38.9,43.5,37.3,30.7,55,43,41.1,35.1,33.2,31.9,33.9,38.4,41.3,34.6,30.6,35.3,36.4,39.4,35,31.2,29.5,42.9,36.3,30.6,29.5,33.4,35.5,41.4,35.5,34.7,40.7,32.2,37.4,35,32.3,43.9,33.3,35.9,37.9,36
Feb-21,56.6,48.7,41.2,43.1,41.6,46.3,40.4,53.2,45.6,42.2,42.5,52.1,54.5,59.6,58.6,60.4,52.7,41.1,46.5,48.5,47.9,34.6,41.3,38.9,66.2,60.9,55.7,54.1,58,58.1,64.5,57.6,63.3,64.3,52.1,49,52.7,50.9,56.4,54,55.6,55.3,57.2
Mar-21,51.9,43.2,36,34.9,36.8,42.1,38,38.8,42.2,38.2,34.9,45,51.7,58.8,52.5,57.4,59,39.7,45,44.3,47.9,31.2,38.2,34.5,59.2,58.1,50.3,50.9,60.9,53,59,59.1,59.8,58.9,49.2,48.9,51.2,46.8,55.3,50.6,53.4,53,58.6
Apr-21,76.8,59.7,45.7,47.9,44.8,55.9,41.5,50.8,48.9,45.2,46.6,68.4,79.4,81.5,79.9,74.2,75.9,44.1,63.9,61.8,60.2,36,48.4,44.5,74.5,74.5,80.1,75.9,84.5,73.4,75.4,74.7,76,73.1,60.5,60,60.4,61.7,69.2,71.5,69.6,67.2,71.3
May-21,96.7,68.1,60.4,57.1,60.1,66.9,50.3,61.3,59.6,54.4,47.9,91.5,94.2,94.8,100.2,87.2,90.4,45.6,64.4,69.7,63.7,45.2,58,60.6,86.1,84.2,93,93,94.9,85.7,86.1,78.7,91.9,82,72.4,67.1,71,74.3,65,78.8,80.7,73.5,73.6
Jun-21,125.4,86.5,73.8,67.2,61.9,78.8,60.5,61.9,59.1,61.2,50.3,122.7,123.9,123.2,132.7,108.6,111.6,76.8,85,81.2,78.7,54.2,68.1,71.7,92.6,110,122.8,121.2,121.7,110.1,113.9,103.1,127.2,106.8,85.6,70.8,89.6,84,85.9,95.4,92.2,79,86.5
Jul-21,91.6,67.1,71.4,68.6,59.4,69,69.2,65.6,58.7,56.2,47.9,90.2,95.6,88.7,97.8,83.1,94,58.4,68,72,70.4,49.5,67.2,72.2,71.5,75.1,90.5,93.8,85.1,82.4,80.8,84.7,78.2,76.5,68.7,63.3,74.7,65.4,66,73.4,73.1,62.4,69.3
Aug-21,99.7,77.1,70.3,64.3,61.3,70.6,58.6,58.4,61.9,62.7,52.9,88.6,100.1,100.1,103,86.2,92,59.2,72.8,72.3,76.2,51.9,64.5,68.3,77.3,84.2,97,101.2,93.5,88.2,88.4,88.3,91.9,84.1,74.7,63,70,72.3,78.5,77.1,81.1,69.5,77.4
Sep-21,82.5,94.7,92.2,89.5,75.4,87.4,70.3,80.5,64.1,80.6,56.5,71.7,82.8,87.1,86.3,75.5,70.5,72.6,85.3,90.3,84.8,69.9,86.9,93.3,80.3,81.6,82.7,84.3,78,78.7,82.4,81.9,81.8,80.1,96,57.3,75.6,88.7,86.9,92.5,99.8,84.8,83.9
Oct-21,47.2,61.3,63.1,64.2,64,66.4,50.8,64.2,60.6,65.5,52.6,43.6,43.6,54.8,49,53.2,44.7,52,61.9,67.8,66.3,64.6,61.8,60.2,65.9,64,45.3,43,48.9,50.4,59,61.2,61.7,63.2,63.8,42.2,57.8,60.9,70.1,68.1,72.2,62.1,65.4
Nov-21,45.8,46.1,45.8,46.5,48.9,49.6,39.9,56,41.2,48.3,32.7,43,33.3,44.7,49.6,52.3,39.7,35.4,51.9,50,51.6,38.2,44.8,45.3,54.9,51.1,34.4,37,34.1,46.1,53,50.8,45,58.3,52.9,40.3,45.5,45.6,57.7,56.2,57.5,52.9,49.1
Dec-21,33,33.6,35.1,39.8,42.9,42.1,33.4,51.4,40.7,43,34.8,32.5,24.5,33.6,32.9,40.3,24.9,33.7,36.2,39.8,46.5,32.1,35.3,34.9,47.2,39.6,24.7,26.3,28.5,33.7,39,34,33.3,45.7,42.6,32.3,31.9,34.5,41.4,39.9,46,41.7,38.5
Jan-22,33.5,32.4,27,27.4,32.6,32.3,23.2,35.2,32.8,31.6,30.7,32.1,29,32.9,27.3,36,40.1,31.4,37.3,35.8,38.2,32.1,27.4,25.6,43.8,37.7,27.9,30.5,31,34.7,32.6,39.8,38.1,40.1,41.1,44.8,33.6,31.5,44.1,36.1,42,35.2,38
Feb-22,60.6,46.3,42.2,38.8,48.2,51.6,38.4,52.7,45.8,45.5,41,52.4,53,60.3,60.8,59.3,57.3,51.8,57.9,53.9,57.4,52.5,38.6,40.7,69.1,65.6,53.4,55.4,60.2,62.6,61,62.7,63.5,67.4,56.8,56.7,53.5,47.2,64,51.9,55,52.6,61.4
Mar-22,61.7,51.7,54.4,54.6,56.1,62.4,58.7,61.9,52.6,49.7,47.4,53.1,55.6,61.1,64,60.7,61,53,58.3,61.2,59.6,44.7,52,56.2,73.6,66.6,53.3,55.6,63.7,59.3,59.8,63.7,66.9,66.8,64.2,59.2,57.5,61,66.9,58,66.5,65.8,69.4
Apr-22,90.6,74.2,77,67.4,72.8,84.4,63.3,73.2,66.2,67.8,60.6,81.6,81.6,89.2,86.8,93.2,81.8,67.7,84.7,80.6,78.7,67.6,72.2,77.3,99.4,98.8,79.8,80.4,90.6,89.9,93.6,91.9,96.2,95,87.6,77.8,85.8,84.2,86.4,79.1,91.1,84.5,93.8
