month,北京,天津,石家庄,唐山,秦皇岛,邯郸,保定,张家口,承德,廊坊,沧州,衡水,邢台,太原,呼和浩特,包头,鄂尔多斯,大同,长治,临汾,阳泉,赤峰,乌海,通辽,呼伦贝尔,巴彦淖尔,乌兰察布,兴安盟,锡林郭勒盟,阿拉善盟,晋城,朔州,晋中,运城,忻州,吕梁,雄安新区
2021-01,35.1,28.2,36.1,27.0,33.8,33.2,25.5,54.7,33.9,35.2,28.4,28.3,35.6,38.3,33.6,35.2,58.6,39.2,43.1,32.4,41.2,44.8,51.9,54.5,51.2,59.7,47.6,50.4,60.0,74.5,48.1,47.4,34.4,46.2,33.0,21.2,24.7
2021-02,49.6,47.4,54.5,39.5,48.6,56.3,47.7,67.8,50.1,52.1,55.7,56.9,56.9,50.2,51.4,46.4,67.2,53.6,61.9,46.8,54.2,60.8,58.0,67.4,65.2,68.4,64.6,61.3,70.5,83.5,63.2,56.0,49.4,58.8,54.8,34.5,48.4
2021-03,45.2,50.3,46.1,45.7,54.2,54.3,47.5,66.8,50.2,53.6,64.0,60.2,47.5,46.7,55.6,51.8,65.5,54.4,62.7,53.6,50.4,60.6,60.2,76.1,73.2,71.6,63.3,66.7,66.3,88.0,63.2,55.8,49.0,68.3,44.6,38.5,47.7
2021-04,72.9,70.4,73.7,68.7,76.3,82.7,76.9,90.4,72.4,76.9,77.2,84.5,76.9,74.3,71.0,67.9,84.4,77.8,85.0,69.6,75.0,79.3,75.5,84.7,76.5,86.9,81.7,74.3,79.4,99.5,83.7,79.9,76.5,84.5,77.6,55.6,73.8
2021-05,82.8,85.2,88.3,83.7,90.2,92.1,88.5,92.0,76.8,90.3,88.7,92.2,87.1,95.5,80.0,77.3,95.8,86.4,101.9,97.1,95.1,84.0,86.4,90.7,71.8,91.1,88.4,73.4,78.7,108.9,104.9,92.4,96.7,103.4,99.3,67.4,84.8
2021-06,94.7,98.9,110.3,94.3,90.3,121.3,106.5,95.2,84.7,100.1,108.2,115.3,122.2,108.9,86.7,82.2,100.9,85.8,117.5,118.8,105.4,85.4,91.0,93.5,76.6,93.6,85.4,78.2,82.7,120.7,126.2,84.2,112.1,133.6,97.2,82.3,101.0
2021-07,80.9,94.4,99.7,89.3,85.8,95.9,99.8,87.3,65.4,94.1,99.0,102.7,102.2,101.3,89.5,92.3,107.6,89.4,87.2,101.5,96.1,75.8,104.8,79.3,62.7,102.8,88.6,65.2,81.1,133.6,94.7,86.5,101.4,106.2,96.0,84.9,95.1
2021-08,82.6,96.4,95.8,88.7,89.6,99.6,96.6,86.9,59.4,89.3,101.7,98.2,95.7,105.9,85.5,81.1,98.6,85.9,97.6,103.1,93.3,58.3,89.5,60.9,51.0,92.1,86.2,47.1,76.4,121.9,102.1,85.9,106.4,106.2,91.6,78.3,97.4
2021-09,60.8,74.0,77.2,70.9,76.9,84.2,75.1,76.7,44.1,65.0,80.8,80.2,82.3,66.6,69.8,66.4,83.0,72.8,78.3,68.2,74.9,47.5,74.6,58.0,46.5,77.1,77.1,46.7,68.8,115.7,81.1,68.5,78.9,78.4,69.7,49.0,73.5
2021-10,35.6,38.2,39.0,36.6,46.4,46.2,35.8,55.6,28.1,34.0,46.7,45.2,42.5,31.3,45.4,39.7,55.3,44.2,48.1,36.7,41.8,42.6,48.7,51.1,46.0,54.0,53.4,37.2,53.2,92.6,53.5,38.1,38.2,54.6,34.5,25.9,36.4
