month,广州,深圳,珠海,佛山,中山,江门,东莞,惠州,肇庆,南宁,海口,桂林,北海,柳州,三亚,韶关,汕头,湛江,茂名,梅州,汕尾,河源,阳江,清远,潮州,揭阳,云浮,梧州,防城港,钦州,贵港,玉林,百色,贺州,河池,来宾,崇左,儋州
Jan-21,52.3,63.5,64,49.7,52.6,57,63.7,73.6,53.3,53,84.1,60.7,76.6,50.1,85,46.5,74.2,78.4,71.6,44.7,89.4,64.8,68,61.3,69.8,65.7,48.3,41.9,64.3,69.4,56.8,63.2,42.7,53.5,43.2,58.1,55.5,75.9
Feb-21,68.4,69.4,76.1,73.7,74.7,80.4,78.6,80.6,64.8,65.9,78.6,52,73.8,49.7,72.2,58,81.7,80.1,77.4,62,89.9,71.6,72.5,74.3,75.3,75.5,55.3,45.5,61.1,63.2,63.5,70.1,46.3,60.6,37.6,58.4,65.4,68.5
Mar-21,45.1,57,58.7,45.7,52.8,51.2,57.3,68.6,43.7,40.7,61.6,33.3,60.1,36,54.3,48,74.9,65,60,54.3,78.4,61.3,57.5,48.6,67.2,66.5,43.7,32.6,50.3,46.9,41.2,51.6,48.1,39.2,37.1,40.9,48.3,63.3
Apr-21,59.3,75.1,75.7,59.5,70.1,65.3,71.9,83.4,53.3,39.5,64.6,48.4,61.6,36.4,55.9,54.8,93.7,69.7,66.7,65,98,71.8,69.2,60.1,88.1,87.9,46.4,41.5,46.8,47,46.2,50.2,45.9,48.9,34.3,41.8,45.5,66.9
May-21,54.8,45.6,54.7,52.1,55.3,52,57.3,61.4,47.6,50.2,43.2,50.1,54.6,52,38.2,62.6,64.6,47.5,47.8,53.2,61.4,68.2,52.1,62,64.4,62.5,42.9,35.6,44.8,46.1,51.3,50.9,67.2,48.1,50.9,54,64.3,47.5
Jun-21,56.4,49.7,61.1,56,58.2,57.5,56.8,57.7,55.6,58.2,49.9,59.1,72.7,59,58.1,63.6,60.2,62.3,60.4,49.5,60.2,57,60.7,61.2,56.6,53.6,50.6,44.7,63.2,65.5,59.1,60.8,62.6,57.9,50.3,58.8,68,52.9
Jul-21,63.1,47.4,55,60.7,59,63,62.2,57.5,60.3,61.8,37.6,58.8,60.9,64.4,42.9,73.9,55.7,50.2,51.4,48.5,55.3,58.1,52.4,68.7,56.3,53.7,52.5,52.4,49.4,55.7,63.4,59.1,50.2,58.7,50.7,63.6,59.3,37.5
Aug-21,49.8,36.8,45.8,49.9,45.8,49.8,50.8,49.7,52.4,57.6,38.6,56.3,59,62.5,38.9,58.1,54.5,47.1,45.8,47.8,53.3,53.7,44.6,59.1,54.4,52.3,42,48.5,44.2,49.7,57.1,53,57.1,52.2,51.1,59.6,50.4,33
Sep-21,71,60.1,59.8,77.8,69.7,76.6,76,71.8,74.2,54.3,36.6,67.5,57.7,70,32.2,67.3,79.5,50.2,48.1,64.9,73.5,63.3,52.4,74.1,72,74.5,58.9,52.6,47.2,47.9,64.1,53.9,53.8,58.9,45.9,65,48.7,27.8
Oct-21,56.5,60.8,68.5,60.4,60.5,66.3,58.5,65.6,66.6,58.5,60.8,72.5,74.7,64.1,51.5,59.3,79.5,73.9,66.8,48.9,69.8,61.8,73,64.8,66.3,67.5,59.2,52.6,65.5,65.2,72,64,47.1,62.3,56.1,69.6,57.4,39
