month,西安,兰州,西宁,银川,乌鲁木齐,拉萨,咸阳,铜川,延安,宝鸡,渭南,金昌,嘉峪关,石嘴山,克拉玛依,巴音郭楞州,吐鲁番地区,哈密地区,昌吉州,博尔塔拉蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克州,塔城地区,阿勒泰地区,石河子,五家渠,汉中,榆林,安康,商洛,白银,天水,武威,张掖,平凉,庆阳,陇南,甘南州,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,吴忠,中卫,固原,昌都,山南,日喀则,那曲地区,阿里地区,林芝,兰州新区,西咸新区
Jan-21,22.4,25.8,36.9,38.3,32.6,58.9,27.4,39.2,25.3,34.5,28.6,52.8,59.4,43.6,40.9,44.6,29.7,38.2,28.2,46.3,40,64.4,39.5,52.9,33.6,59.7,42.4,29.1,26,28.4,32.6,31.9,44.3,50,26.9,43.3,42.7,43,58.9,32.9,43.4,33.7,65.9,60.3,44.4,51.3,35.9,66.3,50.2,50.4,53.8,54.5,58.3,68.1,50,71.2,67.5,45.3,21.8
Feb-21,35.2,45.3,54.6,53.7,51.2,71.5,44.1,57.1,35.9,47,45.3,65.8,67.6,58.8,58.9,62.5,61.3,59.5,67.6,61.8,54.1,75.2,44.7,65.1,41.1,73.2,54.3,54.6,65.2,43.7,46.2,46.3,58.5,63.3,45.5,59.8,52.7,59,68.6,48.5,58.9,48.4,74.8,71.5,56.7,62.3,40.5,72.7,60.2,65.6,64,64.4,71.6,69.7,49.5,77.1,73.1,66.2,37.1
Mar-21,33.8,47.5,57.9,53.9,57.9,88.4,39.9,54.7,45.6,39.8,44.5,72.1,68.5,61.1,69.2,64.8,68.3,65,72.3,65.1,54.1,70.8,50.8,65.1,55.2,64.8,55.5,61.1,67.1,44,56.5,50.7,63.8,64.5,55.9,55.2,57,51.5,67.5,61.7,60.3,56.4,77.6,85.5,63.8,68.9,49.8,80.3,60.2,61,63.9,82.4,90.4,98.7,75.6,89.5,87.8,67,35.7
Apr-21,43.8,61.1,70.6,75.5,72.9,99.3,48.7,62.1,59.1,46.2,56.7,86.4,84,82.1,84.1,81.9,88.1,80.3,75.6,77.6,73.3,93.5,70.6,80,72.1,67.9,65.6,76.3,66,49,72.9,56.7,66.7,70.3,62.3,79.4,78.3,58.8,78.4,52.2,72.9,70.9,89.4,84.5,86.7,89,53.3,94.4,79.1,76.5,76.5,98.7,104.4,112.2,91.8,105.1,90.7,77.4,45.2
May-21,68,71.6,77.6,78.6,83.9,98.7,70.1,83.2,66.7,73.8,78.6,93.5,95.1,86.7,91.8,83.6,92.8,87.9,83,82.7,74.3,101.3,81.6,89.2,74.7,73,79.3,88.2,75.8,73.3,81.6,59.1,75.9,77.1,68.4,82.5,88.1,73.4,94,72.4,74.4,68.9,92.9,90.9,92,90.2,74.3,104.1,83.5,83.4,88.3,89,99.3,106.9,97.1,120.4,79.4,85.9,62.8
Jun-21,85.4,79.7,87.8,90.5,82.2,83.5,83.3,96.2,69.6,78.4,97.1,84.2,91.2,95.7,85.7,92.4,93.9,89.4,82.2,83.4,93.7,109.4,103,104.4,76.3,60.5,75.1,86.1,75.6,69.1,92.8,58,75.9,81.9,79.3,78.8,81.1,84.8,104.5,77.7,72.6,73.1,100.6,89.2,94.3,97.1,75.2,98.7,96.2,94.4,92.8,67.5,76.8,86.9,89.9,133.3,50.6,92.3,71.2
Jul-21,79.6,90.3,93,104.4,90,83.6,83.8,82.9,75.1,76.2,86.2,99.1,102.7,104.6,93.3,93.3,97.2,93.3,85.6,86.6,92.7,111.6,102.1,97.8,80.1,65.8,84.1,87.4,81.8,65.4,104.1,55.1,68.7,87.7,85.3,91.1,92,80.1,100,78.2,79.8,72.9,108.3,125.1,107.9,96.1,80,114.9,105.8,98.5,95.3,74.3,71.2,84,92.9,118.9,42.6,99.2,66.2
Aug-21,74.3,83.8,76.6,93.1,83.6,64.3,77.6,80,74,73.1,82.4,90.4,97.6,91.6,87.4,94.5,98.4,84.8,79.4,82.6,84.2,104.4,93.2,82.5,76.5,62.9,74.2,86.8,75.9,58.5,90.2,54.1,63.4,80.6,72,82.6,89.7,77.6,100.3,70.7,75.4,69.4,103.6,89.3,95.7,87.3,67.2,107.5,94.7,88.8,92.4,54.6,61.5,69.2,76.5,107,42.5,95.8,65.5
Sep-21,58.9,60.7,59.1,69.3,67.5,64.2,61.6,64,47.6,56.6,64.7,83.9,84.5,73.1,69.3,78.9,85.7,70.7,62.2,62.1,60.8,90,58.1,68.8,54,44.2,61.1,69.5,59.5,49,71.6,42.6,53.1,63.5,49.3,68.8,74.1,53.1,79.2,54.1,62,58.1,88.7,85.6,84,82.7,67.1,98.6,68.3,66.7,73.7,51.1,64.5,68.3,71.9,87.7,38.5,78.2,54.1
Oct-21,30.8,46.1,49.6,45.3,41.3,60.9,31.2,38.6,30.1,32.6,38.8,64.7,67.9,50.8,47.8,58.4,60.2,47,39.1,41.7,43.2,74.7,42.7,57.7,47.1,37.1,59.5,43.6,36.5,33.3,42.8,31.4,43.1,50.7,41.6,56.4,62.3,40.2,56,43.5,57,50,75.2,72.4,66.1,71.6,58,78.9,55.3,53,55.9,58.4,64.8,75.2,62.8,92.5,52.4,63.8,30
Nov-21,25.4,31.2,35.3,33.8,32.9,56.9,25.9,39.9,25.1,33.5,29.6,50.9,59.5,39.8,33.3,41.9,36.9,38.2,26.6,26.5,33.2,62.4,30.9,46.5,36.8,34.9,60.2,22.7,23.4,22.7,37.4,19.8,45.4,43.1,41.2,45.9,44.1,44.6,61.5,32.8,43.7,32.8,69.7,53.2,56.8,65.9,50,74.8,50.4,44.9,57,51.4,61.5,66.6,59.1,78.9,60.3,46.1,23.3
Dec-21,22.4,21.3,27.3,31.2,26.6,54.4,23,33.6,23,29.1,22.9,45.6,53.5,33.3,27.7,40.6,26.6,31.4,18.8,23.8,33.1,64,30.4,48.7,24.9,45.8,51.9,18.3,24,22.5,27.1,19.6,38.7,42,29.3,38,34.3,37.7,55.7,29.5,44.2,28.7,60.2,44.5,48.5,62.1,43.7,68,42.9,42,51.6,50.3,66,59.4,54.6,73.2,59.3,40.9,22.4
Jan-22,34.8,30.7,36.5,33.5,29.9,61.3,38.4,48.1,35.4,36.1,33.7,56.1,54.5,32.3,34.9,55.3,40.4,36,22.5,39.1,41.7,72.2,36,57.9,24.5,59.7,55.4,27.8,21.1,34.2,38.8,34,50.1,59.1,38.2,46.7,42.5,47,61,44.4,47.9,,65.9,27.4,55.4,66.5,41.3,81.3,37.1,41.4,56.8,57.3,68.4,68.9,62.1,74.9,73.8,54.3,38.7
Feb-22,42.6,56.1,63.5,52,45.7,70.1,47.9,62.1,41.8,53.3,48.3,64.8,71.1,52.1,65.7,62.1,64.4,58.5,49.8,71.1,54.4,71.4,48.8,63.3,48,69.5,82.2,58.4,52.3,48.3,45,52.5,61.5,73,56.4,67.2,62.8,62.5,83.1,65.2,71.9,67.9,78.6,44.4,75.1,96.9,45.6,85.4,56.1,58.8,73.7,70.4,85.4,90.1,69.6,88.2,88.7,76.8,44.5
Mar-22,40.6,63.3,64.3,67.3,53.7,74,48.1,60.9,47.4,58.3,50.7,82.6,77.5,67.8,68.8,72.3,80.5,70.5,50.6,61.8,59.7,75.9,60,63.6,55.5,64.4,90.7,57.8,50,44.4,59.5,50.7,63.2,80,62.1,72.9,71,60,88.3,72.5,67.8,75.9,86.9,65.8,76,83.5,56.1,82.6,66.7,68.9,73.3,76.6,97,86.1,64.9,88.3,95.1,83.1,43.5
Apr-22,59.8,72.7,76.4,71.5,80.9,84.7,62.3,75.6,58.3,66.7,67.2,85.2,89.7,72.9,85.3,76.5,100.8,83.1,75.3,76.6,69.9,88.4,73.2,81.3,70.8,71.3,86.6,77.9,66.6,68.4,66.9,64.6,77,84,71.8,76.9,79.2,73.9,100.1,75.9,76.2,84,93.5,78.1,88.2,94.1,78.7,95.1,71.9,78.3,80.7,82.6,104.8,105.2,82.1,103.8,79.8,84.3,56.9
May-22,81.5,79.7,90,88.4,88.1,105.4,81.5,95.2,74.1,78.8,85.2,95.1,96.7,84.4,87.1,90.9,93.2,94.4,88.9,83.1,85.6,101.3,87.3,89.1,74.1,60.7,76.9,87.4,78.3,73.3,89.1,67.9,84,86.5,73.6,90.4,89.8,83.5,118.2,81.5,80.1,89.7,104.9,99.2,97.8,102.9,93.2,112.1,89.7,87.7,92.8,92.7,111.9,114.4,105,131.1,83.8,89.5,72.3
