month,重庆,成都,贵阳,昆明,绵阳,宜宾,攀枝花,泸州,自贡,德阳,南充,遵义,曲靖,玉溪,六盘水,安顺,铜仁地区,毕节,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,保山,昭通,丽江,普洱,临沧,楚雄州,红河州,文山州,西双版纳州,大理州,德宏州,怒江州,迪庆州,广元,遂宁,内江,乐山,眉山,广安,达州,雅安,巴中,资阳,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州
Jan-21,19.5,26.7,44.3,47.4,33,19.4,42.6,20.4,29.5,31.9,39.8,38.5,51,47.2,54.7,57.6,35.2,51.1,44,46.3,47.5,58.2,51.3,74.4,45.9,42.7,41.8,63.9,66.4,34,68.1,35.5,30.8,77.4,34,27,28.7,23.4,24.7,25.7,33.6,29.5,20.2,32.1,50.6,56,54.4
Feb-21,36,51,46.1,70.3,51.9,40.7,52.7,34.9,46.8,53.4,50.3,42.1,69.3,64,59.8,57,35.1,61.9,50,43.1,39.4,82.8,65.8,87.8,58.6,62.5,59.3,76.3,68.5,52.2,80.8,60.1,59.9,84.6,43.2,41.2,45.6,47.3,45.7,41.1,44.2,50.3,34.1,49.3,62.8,65.3,69.5
Mar-21,32.9,44,55.7,91.3,47,46.6,76.4,46.4,57.1,47.1,51.6,48.3,99,90.4,70.4,72,32.6,71.6,70.1,48.5,49.7,108.4,82.3,105.2,79.5,93.2,92.1,102.4,89.9,65,105,73.3,72.6,105.3,42.1,47.7,56.2,49.2,46.9,43.8,40.4,48.2,32.6,57.7,65.5,55.6,88.3
Apr-21,36.2,52.8,45.9,91.4,51.8,46.2,90.4,41.7,59.2,53.2,49.7,43.7,92.9,86.4,61.7,61,39.2,60.7,59.8,47.9,42.4,109,77.1,109.9,79.5,85.7,94.8,100,86.8,63.7,105.9,80.5,86.7,105.8,46.6,51.8,56,54.6,53,48.8,40.5,48.6,35.8,63.3,75.9,60.6,94.4
May-21,48.9,73.1,58.3,84,75.5,68.2,90.6,64.3,82.7,75.7,62.3,57.3,89.3,79.9,69.3,72.7,44.6,75,68.7,60.5,55.7,84.4,84.4,90.8,59.6,63.1,86.3,80.6,77.8,49,83.9,61.2,57.7,90.7,70,68.4,78.2,68.7,76.4,63.4,42,62.2,53.2,80.7,60.8,54.3,82
Jun-21,58.1,72,56.4,61.5,69,69.8,67.1,68.4,82.2,74.4,64.6,60.1,71,56.9,64.6,72.7,37.9,68.3,63.1,48.6,52.1,58.4,77.2,63.9,40.5,41.8,56.8,53.7,55.8,35,54.3,44.7,47.8,63,59,69.5,75.7,72,74,74.1,47.7,63.8,50.6,77.7,42.7,49,66.3
Jul-21,64.7,82.3,55.2,48.1,76.5,72.3,57.1,72.4,77.7,82.9,60,59.9,60.2,43,59.6,63.9,43,58.6,48.8,56.3,52.5,49.1,69.3,61.7,33.5,36.8,48.5,48.6,45.2,27,53.4,36.3,40.1,60.5,56.1,64.7,71.1,77.7,80.3,72.8,45.5,66.7,47.8,72.9,49.2,52.4,62
Aug-21,62.4,75.1,56.7,51.4,66.5,70.3,50.1,72.3,81.3,72.7,65.8,59.6,63.4,43.7,67,66.7,47.3,62.6,53.2,55.9,56.9,37.8,71,57.9,28.8,34.1,42.6,49.6,46,23.1,48.8,28.7,29.8,52.4,57.5,70.4,78,74.5,77.8,70.6,41.5,65.1,47.2,75.3,39.6,57,63
Sep-21,57.1,60.5,54.6,52.4,54.1,62.8,44.9,65.5,70.3,61.2,55.9,61.2,58.4,45.4,65.5,65,50.4,60,51.6,49.4,51.5,40.1,64.5,51.5,31.4,32,38.8,52.9,45.7,32.6,47.1,37.3,28.4,49.3,37.1,54.2,65.8,61.7,65.2,63.1,32.9,52.1,34.9,62.7,36.7,41.7,50.3
Oct-21,36.1,30.2,53.7,42.3,32.8,40.2,37.1,39.1,44.4,35,39.7,51.9,49.5,38.8,54.6,57.9,54.7,52.7,49.7,58.2,61,43.2,47.8,56.6,35.8,29.9,37.3,48.1,47.5,30.6,46.9,36.6,30.7,58.2,29.9,36.5,42.4,37,36.1,40.4,23.5,37.3,26.9,40.7,39.7,35.8,44.5
Nov-21,20.4,23.7,40.2,34.4,21.6,26.8,36.1,23.4,32.8,24.5,29,37.5,47.1,29.9,54.5,51.2,28.6,50.9,45.1,39.4,47.3,47.5,57.7,68.3,30.1,30.9,34.1,40,44.1,27.1,57.4,32.2,36.4,66.4,20.6,25,33.3,29.3,30.1,26.9,14.4,27.1,17.5,30.9,40.1,37.5,48.9
Dec-21,20.4,21,45.8,39.2,22.5,24.5,31.6,21.2,31.2,25,26.3,44.4,54.3,32.7,49.2,51.5,31.4,47.9,40.1,41.2,50.5,48.7,43.5,66.5,37.4,34.4,36,62.4,50.8,31.4,60.3,31.5,29.6,67.2,22.3,25,32,24.5,24.1,28.5,14.4,28.1,17.5,29.9,43.6,37.7,42
Jan-22,20.8,25.6,28.8,49.9,25.1,27.8,39,22.1,28.8,26.9,28.4,32.7,57.1,40.5,45,39.4,32.3,45.9,34.7,32.4,38.9,56.1,51.9,74.2,36.7,40.2,43.3,54.8,46.6,39.2,66.9,35.4,31.7,77,27.2,25.9,29,21.7,23.6,24.6,14.6,29.8,20.1,30.4,62.6,47.1,60
Feb-22,39.4,41.1,49.1,67.3,40.2,38.6,51,41.9,46.7,41.8,48.8,58.3,68.2,57.7,50.7,50.9,47.5,55.4,40.4,56.6,55.9,76.2,63.3,82.6,52.4,64.5,58.3,61.7,51.7,51.9,86.2,51.7,48.6,89.9,39,40.9,51.8,42.8,43,42.8,26.3,46.2,37,52.9,79.9,61.2,69.2
Mar-22,49.8,62.1,60.1,88.4,54.3,65.8,70.1,62.3,75.8,59.3,64,64,96.8,73.5,82.1,82.7,41.1,89.4,77.1,58.5,54.3,95.2,95,99.4,68.7,83.2,79.9,89.6,76.7,68.3,97.8,73.9,65.6,100.1,47.6,59.3,72.3,60.2,65.3,58.6,27.5,65.8,46,70.7,79.3,62.1,89
Apr-22,63.6,71.9,64.5,88.1,63.3,66.3,72.6,68.5,79.4,68.9,72.3,69.8,91.3,75.4,76.9,87.7,49.2,80.2,77.6,68,65.5,88.1,91,91.5,72.9,74,81.7,96.9,91.6,72.1,89.9,71.3,57.2,93.5,58.4,71.1,78,64.4,72.3,71.4,45.5,66.7,59,76.9,77.1,57.2,77.2
May-22,59.2,76.4,51.2,68.8,69.9,65.1,64.8,62,76.7,75,71.8,59.9,73.4,60,67.2,74,43.4,68.1,58.9,49.4,48.6,65.8,81.7,77.3,45.3,54.2,59.1,65.9,61.4,42.4,69.1,56.4,39.7,83.5,61.9,67.9,75.2,67.2,74.4,71.5,45.3,69.9,55.7,76.5,66.5,57.4,65.9
Jun-22,61.9,80.3,48,58.3,80.1,59.9,54,61.1,76.3,83,72.5,55.7,67.5,51.7,66.6,67.9,45.1,64.4,54.5,51,47.5,51.8,73.9,64.7,30.9,41.2,54.3,53.6,53.5,32.9,55.6,33.3,36.2,65.7,64.5,69.9,70.7,70.6,78.1,81.9,57.5,67.6,62.3,81.8,45.6,46.9,55.9
Jul-22,81.1,105.5,54.4,55.6,95,98,59.9,91.8,97.3,102.1,84.4,64.5,62.1,46.6,70.1,65.8,49.4,73.9,51.1,57,51.3,44.7,82.5,66,35.3,40.1,47.1,52.8,47.5,35.2,53.4,38.2,37.7,65.1,72.4,87.5,99.2,95.3,103.8,91.8,58.2,87.4,65.8,105,58.9,60.1,74.1
Aug-22,79.1,97.9,54.3,55.4,86.9,92.5,58.9,85.9,94.9,94.5,87.4,67.3,60.5,47.5,68.5,61.4,64.1,71.3,49.4,55.4,50.9,45.4,72.9,60.2,32.1,37.4,42.7,51.6,48.7,31.7,51.1,35,38.7,56.8,70.5,85.6,98.9,99.3,101.9,87.5,59.7,81.9,65.3,103.3,47.6,69,68.8
Sep-22,65,60.8,70.2,59,52.8,64.8,43.6,65.8,62.1,59.2,66.7,76.1,65.2,53.5,66.8,77.5,101.9,70.5,55.8,79.5,75,44.6,70.2,58.5,39,37.8,48.6,58.8,54.2,33.5,47.6,37.5,33.1,56.5,42.7,56.4,68.5,57.4,60.6,65.7,43.6,51.3,40.8,63.6,34.5,45,48.6
Oct-22,45.5,44.4,63.4,46,41.4,48.3,35.1,48.7,50.7,46,44,62.8,52.4,43.2,62.1,70.7,68,71.3,47.3,70.8,67.6,41.3,63.5,50.5,42.8,35.3,40.8,63.7,56.7,35.1,41,35.6,28.9,52,35.8,43.4,53.4,41.8,48.5,48,23.3,46.2,24.8,53.1,23.7,43.6,45.7
Nov-22,36.2,31.3,47.2,49.5,28.5,41.2,44.5,42,45,31.4,27.4,53.1,66.4,40.3,70,67.1,53.1,66.9,54,51.8,51.1,56.7,61.4,68.5,36.2,44.8,38.9,63.1,54.9,32.4,65.8,42,39.5,68.9,32,30.7,46.6,36.7,37.1,31,15.4,29.7,19.6,42.3,31.4,42.3,58.8
Dec-22,20.6,24.8,47.9,43.4,27.3,23.8,37.8,19.3,25.7,28.7,22.4,47.5,43.5,37.4,45.3,52.4,52.3,43,43,56.5,63.3,53,46,69.5,41,41.1,42.4,55.5,51.8,33,60.5,31.6,34.3,65,30.1,23.1,26.7,23.7,26.7,25.7,13.8,26.7,17.7,32.6,29.6,41.7,48.6
Jan-23,28.3,40.2,51.3,57.4,38.1,36.1,50.7,31.8,39.9,41.7,27,51.3,56,51.1,58.8,59.7,51.3,59.2,43.9,61.9,60.5,72.1,59.2,79.8,46.9,56.4,51.9,64,56.7,44.4,77,50,44.8,80.4,36.5,30.7,38.3,34.2,39.4,30.2,15.7,39.3,27.5,44.1,43.2,56.2,63.2
