month,沈阳,大连,长春,哈尔滨,鞍山,抚顺,本溪,锦州,吉林,齐齐哈尔,牡丹江,大庆,营口,丹东,盘锦,葫芦岛,阜新,辽阳,铁岭,朝阳,四平,辽源,通化,白山,松原,白城,延边朝鲜族自治州,鸡西,鹤岗,双鸭山,伊春,佳木斯,七台河,黑河,绥化,大兴安岭地区
Jan-21,93.4,66,65.7,93.9,109,101.7,80.4,100,74,55.3,85.4,59.4,100.2,61.7,72.6,117.5,84.4,94.7,81.3,88.9,68.7,68,64.6,78.2,60.8,52.3,48.8,80.2,58.3,66.1,58.2,64.3,85.4,36.9,85.3,30.6
Feb-21,81.4,69.8,70.2,72.6,95.2,90.1,69.3,94.3,72.6,50.8,81.4,56.9,92.6,71.4,78.9,106.9,94.2,76.4,86.2,84.8,84.7,68.6,51.1,79.2,63.1,49,50.9,61,47.5,53.3,42.7,50.6,64.7,31.6,63.6,24.5
Mar-21,126.5,100.4,96.8,70.6,133.3,124,110.9,101.3,93.4,70.3,63.7,63.1,105.6,84.3,79.6,113.8,103.5,124.9,121.5,117.2,110.2,86.3,77.2,85,68.4,66.5,59.7,53.7,52.6,51.6,39.5,48.9,53.6,33.4,63.4,22.4
Apr-21,84.4,62.2,90.2,95.5,86.3,73.7,63.1,75.1,89.4,60.7,78.6,69.4,75.9,56.7,55.6,71.9,85.9,76.2,78.1,65.3,86.5,61.9,52.3,58.6,80.2,52.9,41.4,79.2,63.5,60.7,43,81,83.9,33.5,91.4,26.7
May-21,68.5,64.2,65.1,51.1,78.7,66.4,62,73.1,48.4,44.7,42.5,43.6,66.1,50.8,49.5,67.4,85,71.2,64.7,73.8,57.1,44.1,42.9,46.4,45.4,34.8,33.4,48.4,40,37.8,25.7,39.3,39,19.2,42,20.2
Jun-21,37.3,31.4,33.4,37.1,42,38.4,35.3,40.2,29.3,32.4,30.2,28,35.6,29.2,25.3,42.3,45.7,35.9,36,42.3,30.8,26.4,32.9,37.1,23.2,23.1,18.9,37,30.7,23.3,18.4,31.5,33.5,21.9,25.9,20.9
Jul-21,38.6,21.8,36.2,35.3,31.2,36.6,33.7,36.1,28.4,27.6,24.7,23.9,29.8,27,23.6,30.9,36.5,31.4,39,34.2,34.6,26,32.8,36.1,22.6,23.5,22.4,32.9,26.3,25.4,18.8,35.4,29.6,19.3,26.1,19.4
Aug-21,39.4,30.4,31.3,32.5,44.5,37.2,36.3,40.6,24.9,31.9,25.8,22.5,38.9,24.5,26.7,38.9,39.1,43.2,33.5,40.2,28.8,24,25.3,34,19.6,26.8,21.3,29.6,25.7,25.9,16,28.5,25.5,17.7,22.6,15.3
Sep-21,40.4,29,33.7,35.6,41.6,36,31.4,35.4,26.4,29.1,30.4,22.9,42.8,25,28.6,36.3,38.3,43.5,32.1,38.6,31.6,27.5,28.8,34.9,22.1,24.9,21.4,37.1,30.3,34.2,19.7,34.9,27.8,20.4,22.8,15.5
Oct-21,59.9,45.3,58.5,50.8,57.6,62.1,49.1,58.2,49.4,43,48.9,36.8,54,38.7,37,57.6,61.1,55.1,57.3,57.4,53.6,44.5,39.8,54.4,44.2,37.7,33.6,63.3,49.4,46.9,31.7,45.6,62.2,24.7,38.7,18.1
Nov-21,75.8,62.2,55.8,59.3,75.6,79.3,67.6,73.3,52.9,47.9,49.1,49.8,73.1,56.3,46.6,73,73.7,71.9,67.8,67.8,56.5,50.3,44.9,64.1,57.7,48.4,37.7,64.6,47.9,50.2,39.7,46,52.4,24.7,58.4,24.4
Dec-21,63.7,53.8,48.7,57.1,68,74.2,66.4,65.4,48.1,49.7,55.8,48.8,66.1,60.9,41.4,65.8,69.7,63.9,64.9,55.8,56.8,51.8,54.2,81,50.9,45.8,45.1,53.3,48.8,44.8,44.9,40,52.4,27.3,61,27.8
Jan-22,89.3,53.1,76.2,116.7,96.4,97.8,100.5,79,84.3,73.8,74.1,84.7,91.1,56.5,64.8,76.4,74.1,91.1,89.2,80.1,81.6,79.1,78.4,100.4,101.4,73.7,46.3,64.2,49.9,62.8,50.1,63.1,84.2,29.9,102.9,28.9
Feb-22,65.4,45.2,64.4,84.6,65.3,81.1,73,62.7,61.7,42.3,54.2,49,62.3,54.4,53.7,56.5,55.3,65.5,69.3,48,73,62.2,61.7,83.2,66.6,46.4,39.7,51.4,37.7,49.1,45,46.1,61.3,19.2,80,32.1
