month,上海,南京,苏州,南通,连云港,徐州,扬州,无锡,常州,镇江,泰州,淮安,盐城,宿迁,杭州,宁波,温州,绍兴,湖州,嘉兴,台州,舟山,金华,衢州,丽水,合肥,福州,厦门,南昌,济南,青岛,芜湖,马鞍山,九江,蚌埠,淮南,淮北,铜陵,安庆,黄山,滁州,阜阳,宿州,六安,亳州,池州,宣城,莆田,三明,南平,龙岩,宁德,景德镇,萍乡,新余,鹰潭,赣州,吉安,宜春,抚州,上饶,芜湖,马鞍山,泉州,临沂,德州,聊城,滨州,淄博,枣庄,烟台,潍坊,济宁,泰安,日照,威海,东营,菏泽,漳州,赣江新区
Jan-21,67.1,98,79.5,75.3,104.3,144.6,104.3,94.9,99.5,101.9,98.5,113.3,91.5,111,95.5,71.5,78,86.5,85.7,87.5,72,57.4,81,78.3,63,101.2,55.1,54,126.2,159.6,109.1,104.8,101.9,97.4,129.8,130.2,147.5,115.5,93.3,66.8,117.1,145.2,138.9,117.7,151.2,103.5,75.4,58.8,61.2,47,56.6,55.6,81.6,120.1,98.9,70.4,74.8,94.1,102,83.9,83.6,104.8,101.9,57.6,160.4,160.4,175.5,135.7,145.3,162.3,92.4,132.6,161,160.4,121.9,63,116.6,198,69.8,121.8
Feb-21,41.7,58.5,46.7,50.3,65.6,83.8,64.1,54.1,62,63.4,64.1,66.4,54.2,67.4,56.3,44.2,53,53.8,49.5,53.9,52.6,39.1,49.9,52.7,41.2,56.3,43.7,41.6,65.2,90.6,68.3,59.6,59,61.9,76,83.2,84.4,69.3,52.9,38.4,67.9,88.4,83.8,68.2,92.3,54.5,41.8,48.3,40.3,37.8,38.4,48.9,40.4,59.8,56,39,42.8,52.7,50.4,53.1,54.3,59.6,59,49,94.3,108.2,106.7,94.1,87.1,98.1,73.9,83.9,85.3,90.6,74.9,53.7,88,111.1,49.7,65.8
Mar-21,62.2,86.5,72.3,70.8,120,127.7,100.1,83.4,92.7,92,92,116.8,101.8,122.2,63.6,46.3,58.7,58.4,67.7,68.2,50.9,43.3,45.9,43,43.2,80.1,48.3,47.5,63.2,182.2,129.9,68,77.5,55.8,113.6,112.5,124.5,71.8,52.7,34.8,108.4,114,127.3,89.9,134.3,53.8,48,54.3,53.3,39.1,48,43.7,43.8,59.5,62.8,37.7,56,55.3,58,47.1,46.3,68,77.5,51.4,168.5,173.2,185.1,182.1,171.2,155.7,121.6,158,165.1,177.8,131.3,98.4,166.5,206.5,60.5,73.2
Apr-21,47.9,65.2,54.9,49.5,68.4,92.4,68.7,63.5,72.1,61.4,59.4,68.1,57.3,74.4,59.3,42.9,57.6,57.2,58.4,56.4,50,35.3,59.1,54.1,45.1,77.9,45.3,45,56.2,105.1,65.1,61.8,67.6,58,85.9,92.2,86.9,72.2,54.9,42.1,75.7,86.9,89.6,79.3,92.9,54.6,53,51.2,46,36.3,44.9,44.4,50.8,44.8,53.2,41,42.9,47.8,48.7,46.2,55.2,61.8,67.6,47.7,97.7,115.4,121.8,101.6,98.8,99.7,70.1,90.2,96.6,102.5,74.6,56.2,88.7,118.6,57.7,69.5
May-21,48.9,60.6,54.8,59.4,79.1,96.6,74.9,62.9,66.5,62,66.7,80.1,67.2,93.1,47.9,33.5,51.4,45.3,54.5,48.8,42,27.8,42.6,42.3,34.6,69.4,40.8,31.7,42.9,119.9,70.8,54.6,63.9,48.6,84.7,86.9,93.2,58,44.5,30,68.5,80.1,89.5,63.9,86.9,41.9,43.5,44.5,38.7,25.9,29.9,41.1,45.1,38.6,49,28.8,37.4,39.5,44.8,34.7,36.7,54.6,63.9,39,109.9,114.2,125,96,102.5,106.8,69.5,91.8,112.1,112.1,83.3,63.5,86.4,125.7,40.6,54.2
Jun-21,28.4,42.5,34.7,35.5,43.3,63.1,53.2,40.9,43,44.5,45.2,48.4,38.8,56.1,39.2,22.6,38.8,31.9,41.4,31.7,30.3,18.3,36.6,42.8,28.3,52.2,35.4,25.6,34.2,65.1,39.1,38.6,46.9,35.5,51.8,56.4,58.6,48.2,39.8,21.8,48.8,49.7,62.6,44.3,52.9,35.8,38.4,35.5,34.7,22.8,23.4,35.9,33.7,31,43.5,24.6,31.4,34.9,41.5,30.1,33.6,38.6,46.9,32.9,62.9,67.2,73.1,58.2,59.5,66.7,37.3,53.3,60.7,67,45.2,35,47.8,78.2,31.5,53.1
Jul-21,27.6,29.9,30,30.4,22.5,30.6,35.4,29.4,30.6,33.3,30.6,25.6,25.2,28.2,29.7,19.9,36.1,25.4,33.6,27.3,26.7,20.9,28.6,35.9,26.1,31.6,31.7,26.8,35.9,39.8,24.6,28.5,34.5,31.8,25.3,29.2,25.9,31.6,27,16.9,30.5,24,27.3,24.1,21,24.9,24.8,33.3,36.5,23,28.2,32.8,31.4,25.9,38,23.5,31.4,31.9,38.4,31,33.2,28.5,34.5,31.3,30.4,41,40.8,39.6,40.2,34,25.8,34.2,36.1,38.9,26.6,24.8,34.1,36.5,31.3,52.9
Aug-21,28.1,38.4,30,27.9,29.3,43.8,33.8,37.4,38.6,35.3,33.6,31.2,27.5,36.5,35.4,21.5,35.1,31.5,38.5,28.9,27,20.4,33.2,36.3,24.7,42.3,29,24.5,36.1,53.5,29.7,36.8,42,33.4,36.4,40,36.5,40,34.8,17.7,37,34.3,38.3,33.5,36.2,33,33,28.9,31.6,21.9,26,29.4,36.2,28.9,41.5,27.4,31.2,33.7,41.5,33.7,33.5,36.8,42,26.3,42.6,44.6,52.9,43.4,51.3,47.6,30.8,38.1,48.5,46.6,29.9,28.1,37.9,50.3,31.4,46.4
Sep-21,31.9,41.1,34.6,30.9,31.3,48.4,42.7,39.6,42.6,40.8,36.5,36.2,31.1,39.1,46.3,28.7,35.3,44.2,45.2,34.6,32,20.6,44.9,50.5,32.7,50.6,28.9,28.4,50.8,40,26.9,46.7,49.2,42.1,46.8,45.7,44.2,53,45.7,26.4,44.2,41.5,47.6,45.8,42.3,45,42,30.1,35.4,25.2,36.4,28,43.9,42.7,52.6,37.7,39.9,44.3,54.4,43,45.7,46.7,49.2,32.5,40.5,38.6,44,36.2,38.4,46,26.6,36.9,44.1,34.4,28.6,22.8,33.6,45.6,37.8,64
Oct-21,33.9,48.7,36.8,33.4,53.7,81.7,52.4,45.5,51.2,51.2,45.2,54.3,44.1,60,45.1,30.3,39.4,45.3,44.2,35.6,32.6,21.4,46.9,51.7,35.4,62.6,28,30.1,55.2,81.7,59.6,56.5,58.1,48.3,70.2,70,76.2,63,44.1,29,57.6,73.3,76.6,54.7,77.6,47.5,45,27.4,27.1,23.7,28.3,26.8,43.2,48.9,54,40.9,41.8,47.4,55.2,46.5,48.3,56.5,58.1,31.6,77.5,82,94.4,69.9,77.6,87.8,51.9,76.5,77.1,71.8,55.5,39.5,65.5,100.3,36.1,58.8
