month,郑州,武汉,长沙,衡阳,邵阳,益阳,郴州,永州,怀化,娄底,湘西州,洛阳,安阳,开封,焦作,平顶山,三门峡,宜昌,荆州,岳阳,常德,张家界,湘潭,株洲,信阳,周口,鹤壁,新乡,濮阳,许昌,漯河,南阳,商丘,驻马店,黄石,十堰,襄阳,鄂州,荆门,孝感,黄冈,咸宁,随州,恩施土家族苗族自治州
2021-01,167.4,108.3,90.9,106.1,101.2,112.3,86.5,98.9,100.2,101.6,88.6,159.0,173.6,176.3,185.2,155.0,139.5,117.4,121.2,101.5,87.5,85.7,109.7,113.1,141.1,157.3,159.0,179.3,158.0,150.0,176.8,181.9,158.1,137.7,116.4,107.1,135.5,113.2,115.3,115.5,98.2,89.7,124.2,96.7
2021-02,101.8,70.0,57.7,59.7,57.6,74.1,46.6,48.4,54.5,62.1,50.3,105.8,126.2,102.9,120.5,101.5,94.2,72.9,78.4,62.4,60.2,50.9,64.5,62.1,88.8,89.0,111.7,120.4,97.0,88.7,101.3,111.1,83.5,82.2,70.1,69.6,86.8,72.4,70.1,75.5,65.4,50.4,75.0,61.2
2021-03,170.0,69.7,56.3,57.7,63.4,68.6,46.8,55.9,58.1,58.4,45.3,190.2,206.4,160.6,191.8,154.7,195.7,75.9,92.8,63.3,65.0,44.0,59.9,59.0,112.1,117.8,206.6,192.2,174.8,126.3,136.7,141.6,144.4,116.6,61.1,94.0,109.2,65.5,90.8,75.1,57.6,49.4,85.8,44.3
2021-04,112.1,65.5,41.3,37.8,37.9,50.6,31.2,31.9,32.7,37.6,26.9,103.0,114.5,107.2,113.7,99.1,92.0,54.5,65.0,52.6,43.6,38.3,43.8,43.1,74.8,84.6,120.5,117.3,103.5,88.9,94.5,84.3,88.0,80.1,67.0,54.4,65.8,67.8,58.5,62.4,56.8,48.6,60.7,34.4
2021-05,109.4,60.2,42.3,41.8,39.3,42.6,26.8,29.7,38.6,42.8,30.3,96.0,123.7,106.1,109.0,78.7,104.6,62.2,58.6,43.7,44.1,35.6,41.1,37.4,55.5,87.8,112.6,112.7,109.3,82.9,84.2,75.1,102.7,63.8,63.4,54.6,63.1,66.1,56.3,55.2,54.9,43.8,55.3,38.8
2021-06,72.4,47.5,39.7,40.7,42.0,28.4,27.7,33.6,40.2,40.4,24.8,62.1,78.7,76.4,69.0,61.1,57.8,41.4,49.5,37.9,41.3,29.4,37.3,31.6,37.6,64.5,78.4,81.9,71.5,65.3,68.4,51.6,61.1,48.0,46.0,34.3,42.0,53.0,40.1,42.9,49.4,34.3,43.6,34.2
2021-07,39.1,33.0,34.9,33.9,34.6,17.8,26.2,31.4,36.1,34.3,20.0,34.1,44.7,37.1,36.0,35.0,36.6,28.2,34.2,29.2,31.7,26.2,32.7,25.3,25.8,29.0,41.3,38.9,40.1,31.4,30.9,32.2,31.1,25.2,35.7,27.4,28.0,40.0,26.9,25.1,39.0,28.2,24.9,27.3
2021-08,47.4,33.2,34.6,36.0,39.8,17.8,25.6,32.3,35.8,34.9,22.1,47.8,57.4,45.1,49.5,47.2,47.0,32.9,35.7,30.3,33.3,25.9,32.8,25.0,29.7,37.1,57.8,51.5,50.6,37.1,37.5,35.3,37.1,30.6,36.6,28.1,30.3,40.8,28.0,24.8,32.2,29.9,29.3,28.8
2021-09,48.8,41.1,48.8,47.8,51.8,29.3,38.2,40.7,42.4,49.0,25.2,46.1,59.0,47.4,48.9,52.1,39.9,37.2,43.8,41.5,47.1,33.6,45.4,40.4,36.6,45.1,59.2,53.2,43.7,43.0,45.1,43.4,42.7,41.6,46.1,30.7,38.9,56.0,33.9,35.2,47.5,37.9,32.6,34.6
2021-10,75.2,52.4,50.8,46.6,44.4,42.8,35.8,41.9,38.5,44.4,29.5,75.0,97.4,87.3,86.0,82.5,59.7,38.7,57.3,51.5,48.6,32.3,52.7,51.8,56.9,74.8,96.0,103.0,87.6,71.3,91.5,65.0,77.5,74.9,53.4,38.1,52.9,62.6,45.5,48.9,54.2,44.9,52.1,35.3
