month,北京,天津,石家庄,唐山,秦皇岛,邯郸,保定,张家口,承德,廊坊,沧州,衡水,邢台,太原,呼和浩特,包头,鄂尔多斯,大同,长治,临汾,阳泉,赤峰,乌海,通辽,呼伦贝尔,巴彦淖尔,乌兰察布,兴安盟,锡林郭勒盟,阿拉善盟,晋城,朔州,晋中,运城,忻州,吕梁,雄安新区
2021-01,74.8,94.4,146.0,117.9,92.3,149.1,116.2,111.7,86.8,94.1,128.7,121.5,137.4,183.0,177.3,187.8,206.0,178.3,121.6,156.7,162.0,66.9,191.2,66.7,31.6,209.4,119.3,37.5,31.4,129.1,149.7,194.0,139.7,164.2,214.5,188.4,134.9
2021-02,80.7,93.0,126.3,126.0,92.5,110.5,119.8,68.9,75.3,104.8,95.9,92.3,109.0,103.5,89.8,89.2,73.3,89.2,78.3,106.5,99.9,66.5,110.7,71.7,32.0,98.3,63.3,36.5,32.8,70.2,94.6,102.8,87.6,118.4,114.3,110.7,132.9
2021-03,186.1,161.9,228.0,173.7,135.8,190.7,178.9,203.0,132.2,164.6,163.7,149.6,185.8,219.3,196.8,201.8,454.2,177.6,150.0,170.6,199.2,94.8,313.1,104.6,34.1,201.1,147.7,73.6,100.6,365.2,169.9,238.4,189.2,192.7,240.9,247.5,198.8
2021-04,83.1,87.1,115.1,96.9,78.6,100.7,109.0,83.6,65.4,88.8,90.1,99.3,91.5,104.2,81.3,88.1,93.4,90.1,92.2,92.0,90.8,69.1,113.0,84.7,33.2,106.0,73.0,46.3,66.1,88.5,109.5,105.2,80.6,96.3,91.6,107.8,130.9
2021-05,77.2,80.5,120.0,99.7,75.8,116.3,96.5,75.6,78.5,80.7,77.4,97.7,99.2,134.6,107.5,135.2,125.7,85.0,96.1,97.1,95.3,73.2,150.9,82.5,28.0,128.4,79.1,34.4,66.7,92.0,102.9,121.2,100.4,107.7,98.3,131.6,128.2
2021-06,42.2,56.0,66.0,61.5,44.0,71.2,61.0,41.6,36.7,61.1,53.2,64.0,56.6,67.7,44.9,51.3,55.2,44.6,56.7,54.9,62.7,31.4,69.7,38.4,23.8,60.2,38.7,24.3,19.8,68.0,64.3,63.2,57.0,64.1,53.7,73.8,91.8
2021-07,31.6,38.1,46.5,44.6,32.8,45.8,41.9,29.2,33.2,43.6,38.2,40.0,41.9,50.9,28.8,36.1,41.1,30.9,37.6,39.9,45.7,30.4,68.9,33.2,20.0,49.0,30.7,18.0,13.2,47.3,41.1,50.7,41.1,42.0,46.5,48.9,59.4
2021-08,35.9,43.1,51.7,51.5,35.5,51.8,48.8,38.5,34.5,48.3,41.3,41.0,48.0,60.7,44.4,46.8,51.3,44.2,54.0,48.9,58.2,28.0,63.8,26.7,29.8,59.1,38.5,24.8,19.6,32.1,55.5,65.5,51.1,50.8,52.8,64.7,60.7
2021-09,35.8,45.9,53.6,56.4,35.9,48.9,55.9,29.4,33.3,51.7,40.4,43.8,46.5,59.3,37.1,43.4,41.4,39.9,42.2,47.1,50.0,34.3,77.9,33.3,26.0,54.9,31.1,25.0,19.3,38.8,49.2,58.5,44.9,43.9,50.1,62.6,67.1
2021-10,42.7,70.9,72.8,78.2,63.5,73.9,81.6,37.0,51.8,73.8,64.4,73.2,71.3,72.9,46.5,56.8,51.2,51.9,58.5,62.2,61.5,44.6,74.4,48.6,30.7,66.2,38.7,42.6,27.6,40.4,74.2,78.1,58.5,73.6,52.6,79.7,95.5
2021-11,65.0,87.5,102.5,84.8,80.4,93.7,94.8,60.5,75.7,88.9,85.1,86.4,95.8,109.5,88.2,106.2,76.9,85.2,83.9,98.2,88.7,49.8,117.1,57.5,31.0,110.9,71.2,39.3,33.6,60.4,100.2,105.4,90.6,129.7,84.8,116.8,112.6
2021-12,52.4,90.0,83.8,79.6,65.0,82.0,84.3,44.1,64.8,83.1,85.7,87.0,81.8,100.6,79.3,84.3,49.6,73.3,73.9,90.4,74.9,40.0,82.0,52.6,27.5,74.0,51.0,36.6,21.7,36.3,84.8,91.0,83.0,118.5,82.4,108.4,105.5
2022-01,51.2,78.0,125.9,87.4,71.6,128.6,106.4,44.4,66.5,85.6,84.0,99.0,121.9,125.3,72.5,86.2,75.0,86.0,95.6,112.7,108.6,58.9,122.4,73.1,33.9,98.3,54.9,62.7,21.0,53.6,119.5,119.5,105.9,125.3,106.5,111.6,106.8
