month,广州,深圳,珠海,佛山,中山,江门,东莞,惠州,肇庆,南宁,海口,桂林,北海,柳州,三亚,韶关,汕头,湛江,茂名,梅州,汕尾,河源,阳江,清远,潮州,揭阳,云浮,梧州,防城港,钦州,贵港,玉林,百色,贺州,河池,来宾,崇左,儋州
Jan-21,87,72.1,77.3,89.6,72.4,86.5,80.9,71.7,63.4,93.1,50.2,94.1,84.3,87.5,42.1,66,56.3,66.9,79.3,56.1,53.6,63.4,68.3,72.4,60.7,71.6,83.4,90.5,88.9,96,93.3,86.9,85.5,88.8,83.5,111.7,97.8,49.8
Feb-21,46.7,34.2,39.2,43.5,35.6,41.8,40.7,38.4,37,52.7,30.9,51.5,54,59.2,26.8,42.9,43.4,45.7,53.6,38.8,37.9,37.6,38.7,45.7,47.6,52.4,45.2,57.2,51.1,62.2,64.5,57.9,65.7,50.9,55.3,75.5,67.5,32.6
Mar-21,60.2,40.7,44.4,62.6,47.4,58.6,49.9,47.8,51.9,63.7,35.1,69.5,48,61.6,25.2,48.4,44.1,41.9,47.1,43.9,37.5,50,48.2,59.9,55.8,59.8,50.7,61.6,58.7,62.5,63.4,53.6,76.3,62.9,59.8,68.1,74,38.7
Apr-21,51.7,41.6,39.8,49.4,42.1,48.2,51.2,49.5,40.3,45.7,28.3,30,39.7,36.9,24.6,38.1,42.8,33.6,37.8,40.4,41.5,43.1,39.8,46.2,55.3,57.3,41.4,46.9,44,44.3,47.9,41.4,52,40.4,37.3,43.9,50.7,32.1
May-21,34.6,22.3,20.4,29.7,23.6,27.7,26.3,29.1,27.1,35.2,21.3,31.9,28.1,36.1,17,33.5,26.6,25.2,22.4,28.1,20.3,37.1,20.4,34.7,38,34.1,25.3,44.6,30.2,32.9,37.5,32.6,45.6,31.7,43,36.9,40.6,24.3
Jun-21,30.2,24.2,20.7,29.7,23.6,29.1,27.3,26.4,29.3,34.3,24.9,32.4,31.1,36.4,23.9,28.7,21.7,32.1,29.3,19.5,22.3,27.4,25.4,28.1,27.2,26.6,29.1,35.8,33.2,34,35.5,33.8,44.3,32.1,42.8,36.4,36,24.7
Jul-21,32.7,22.4,16.6,29.2,24.5,27.7,27.8,27.3,28.5,34.5,18.3,32,24.4,36.3,18.5,33,24.4,24.7,24,24.8,21.8,36.5,23.3,31.6,32.6,30.1,27.6,43.1,27.9,30.3,37.4,32.9,39.8,37.3,42.9,40.7,33.7,19.1
Aug-21,30.9,22.8,16.3,28.5,22.6,25.6,26.5,27.8,25.9,30.8,19.2,26,23.3,32.8,19.5,29.6,22,22.3,23,22.4,17.9,29.9,20.6,27.4,29.2,28.6,29.8,34.9,28.3,28.9,32.2,28,41.6,31.3,40.4,34.8,33,19.7
Sep-21,39.7,29.5,21.4,39.9,30.3,35.4,36.6,36.5,33.5,35.8,18.1,36.6,24,37.6,15.4,33.6,28.6,24.2,28.8,30.2,25.3,37.2,26,33.8,34.6,35.4,42.5,52.7,31.8,35.6,40.1,36.4,36.9,36.2,41.6,43.3,32.6,19.3
Oct-21,35.9,31.9,33.1,37.5,36,40.5,33.3,32.9,30.9,37.6,23.2,35.8,34.2,38,15.7,30.4,30.2,32.4,34.8,26.8,28,32.1,31.9,27.9,28.9,33.8,34.8,44.4,34.9,39.6,36.5,33.2,34.4,36.4,30.9,40.3,32.4,20.7
Nov-21,51,49,52.9,51.3,55,56.9,47.3,48.1,38.9,47.1,35,43,51.2,42.1,28.6,38,40.7,49.1,55.1,35.3,39.2,39.2,49.6,33.8,41.3,52,56.2,60.2,48.3,53.2,44.4,50.9,45.7,43.4,41.4,43.6,43.4,37.4
Dec-21,57.1,51.6,61.1,61.7,62.9,67.8,51.4,47.9,43.1,67.2,38.3,64,60.3,69.7,31.2,46.3,45.1,54.4,60.6,37.8,37.7,40.5,56.1,38,42.2,53.5,61.4,76.6,63.2,71.9,67.1,65.8,60.1,65.5,69.2,78.9,63.2,38
Jan-22,52.6,41.4,49,55.3,51.2,60.6,49,41,48,49.7,30.2,38.9,52.1,39.3,24.1,37.6,37.5,40.7,50.2,33.3,34.4,30.7,54.5,36.6,40.4,49.1,58.6,49.8,47.5,58,47.3,53.3,51.4,42.1,35.9,51.2,50.3,28.5
Feb-22,24.8,22.4,28,24.4,27.2,29,25.1,20,20,31.6,23,30.1,33.8,34.7,20,19.1,26.4,28.1,27.6,17.8,18.6,15.9,29.3,16.3,21.7,30.8,23.8,28.6,28.1,36.4,34.5,29.1,36.9,26.8,31.4,45.9,34.2,19.2
Mar-22,45.4,31.1,33.3,46.6,37.7,43.4,38.2,35.7,39.6,47.3,27.7,58.8,39.8,63.3,23.5,44.7,50.2,32.8,34.5,33.4,29.6,33.1,38.4,44.5,46.7,60.8,44.1,59.4,46.2,49.8,58,48.2,62.6,56.7,63.6,69.2,56.5,30.2
Apr-22,41.7,33.5,31.1,42.1,36,41.7,39.6,36,35.5,49,27.7,46,36.6,49.3,23.3,37.2,42.7,30.6,32.4,32.5,29,33.9,32.3,39.9,42.2,50.5,39.4,60.3,46.6,50.5,52.9,46.2,55.7,50.4,51.3,54.3,48.8,31.2
May-22,33.2,23.3,20.6,34.2,27.1,32.1,31.5,25.4,33.7,35.3,20.7,32.6,26.7,33.6,18.3,31.2,24.7,23.4,25.4,24.4,20,25.6,25.3,31.3,28.4,33.6,33.9,45.3,33.3,34.8,35.7,33.8,32.6,36.5,34.1,36.2,30.9,21.3
Jun-22,24,18.2,14.4,20.1,17.7,22.7,20,19.1,21.9,28.2,20.1,24.6,24.5,26.3,19.1,22.1,20.5,22.3,19.2,17.3,15.6,18.2,18.1,24.3,21.7,24.3,21.6,34.3,26,27.2,29.1,26.4,37.6,23.7,32.5,28.1,29.9,18.9
Jul-22,32.3,23.8,17.9,26.9,23.6,27.6,29.3,28.2,27.3,27.7,18,24,16.8,30.7,15.2,34,25.6,20.7,21.6,27.2,22.1,31.1,21.9,31.2,31.8,32.6,32.3,46.7,21.9,23.9,32.2,29.9,38.4,33.9,36.3,34,27.8,17
Aug-22,26.4,22.1,15.3,22.4,20.3,23.9,25.4,23.8,24.9,28.2,17.1,22.6,17.6,27.8,13.1,29.3,23.2,20.2,20.6,19.6,17.1,25,17.8,24.1,24,27.6,26.5,40.8,22.2,24.7,29.5,28.1,37,29,38.8,32.1,26.1,14.8
Sep-22,52.8,46.1,42.7,52,49,53.3,49,50,45.1,50.8,32.7,56.7,39.8,58.1,21.4,50.9,43.5,43.4,49.1,41.3,40.4,48.2,46,43.7,43.4,51.8,52.3,69.1,43.4,47.3,55.2,53.7,45.7,59.9,58.3,56.9,39.6,27.6
Oct-22,48.9,40.6,40.4,48.7,44,50.2,43.4,45,42.4,49.5,35,48.2,49.4,50.9,25.6,43.9,36.3,43.7,49.7,36.8,33.9,44,44.2,41.7,37.4,43.7,48.5,72,50.3,56.5,56.3,56.4,41.7,61.7,49.1,59.3,46.5,33.7
Nov-22,39.5,29.6,25.4,40.8,32.6,39.8,41.1,32.9,36.8,47.8,24,36.3,34.7,42.5,19.1,28.7,30.3,29.3,33.6,29.5,26.4,31.6,33.8,32.5,36.5,46,42.4,50,45.2,47,46.4,50.3,58.4,37.4,46.4,43.9,44.2,22.2
Dec-22,43.1,40.9,46.1,43.8,43.9,50.9,39.2,37.8,41.9,62.5,40.6,59.8,59.4,64.3,29.3,42.2,36,52.4,57.1,29.8,28.3,39.8,47.4,37.9,30.9,42.5,53.2,67.8,64.3,70.5,63.8,58.2,64.5,65.2,64.8,67.6,59.6,41.3
Jan-23,44.1,41.2,43.6,40.6,41.7,44.4,41.7,43.2,40.3,59.3,40.5,69.9,56.4,64.2,27.1,45.3,38.5,45.7,47.9,35.3,37.2,48,42.2,40.6,39.1,49.7,44.8,55.9,59.1,63.7,66.1,55.1,64.2,65.7,65.2,74.2,68.9,37.6
Feb-23,53.1,40,40.2,52.7,43.1,52.6,47.9,42.4,50.9,48.9,36,47.9,45.8,47.4,30,43.5,43.3,36.9,43.6,35.9,37,46.2,47.9,45.9,53.4,61.4,53.9,59.6,48.2,54.7,57.8,54.7,57.1,51.6,48.6,58.8,56.9,32.8
