month,西安,兰州,西宁,银川,乌鲁木齐,拉萨,咸阳,铜川,延安,宝鸡,渭南,金昌,嘉峪关,石嘴山,克拉玛依,巴音郭楞州,吐鲁番地区,哈密地区,昌吉州,博尔塔拉蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克州,塔城地区,阿勒泰地区,石河子,五家渠,汉中,榆林,安康,商洛,白银,天水,武威,张掖,平凉,庆阳,陇南,甘南州,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,吴忠,中卫,固原,昌都,山南,日喀则,那曲地区,阿里地区,林芝,兰州新区,西咸新区
Jan-21,157.6,114.3,82.8,148.1,111.9,33.1,151.9,115.8,109.4,119.3,157.6,131.4,102.4,197.4,77.7,175,147.9,121,208.2,75.9,164.5,116.4,177.7,185.8,124.6,61.7,16.5,196,250.1,137.2,179,95.6,81.3,105.1,108.5,129.2,73.4,82.1,93.9,76.9,59.8,79.3,45.8,65.2,54.3,45.8,34.9,64.5,158.6,138.9,77.3,25.8,38.4,27.1,40.2,24.7,20.2,84.4,152.2
Feb-21,130.5,80.7,66.6,89.3,91,25.7,132.6,84.1,74.1,97.9,130.3,66.6,60.9,100.5,67,171.8,239,135.5,163.9,61.4,218.6,256.1,304.2,248.6,56.8,25.9,11.1,155.1,203,88.4,73.7,65.6,58.6,70.5,72.3,89,72.3,71.4,83.6,52.9,39.2,58,33.1,46.9,34.7,46,25.5,62.9,97.1,111.9,64.5,19,17.9,24.3,30.2,19.4,16.2,60.1,127.7
Mar-21,207,434.2,269.2,313.7,70.8,32.1,201.3,177.3,296.4,171.6,204.6,498.1,387.9,295.4,39.6,311.6,196.6,304.7,83.9,51.9,364.3,372.1,448.9,675.7,49,27.9,12.4,76.6,90.8,74.2,252.9,71.5,98.3,512.3,117.8,633.8,401.2,184,151.4,66.2,118,241.9,145.9,185.4,108.2,52.7,34.6,108.2,335.4,489,210,18.3,25.7,27.9,34.3,28.3,23.5,389,204.5
Apr-21,92.8,98.4,78.7,86.6,62.4,34.7,86.8,83.2,89.2,80.4,86.8,117.2,99.1,100.3,36.6,151.8,107.7,119.4,54.4,69.2,153.2,150.3,189.4,312,57.5,40.3,14.2,59.6,68.1,44.9,85.5,42.4,56.7,104.7,56,141.3,103.6,80.6,76.4,21.7,32.1,79.1,39.7,53.7,38.9,26.2,25.7,43.1,102.6,160.1,81,13.1,30.7,28.2,31.9,23.3,20.9,101.2,86.5
May-21,107.7,94,52.2,101.1,80.6,20.8,108.6,92.1,93.5,76.7,99.3,94.1,75.2,136.1,36.7,124.8,206.6,90.4,76.3,58.2,131.7,234,279.6,453.5,53.6,42.2,22,78.2,100,59.4,124.4,52.8,59,101.1,57.1,94.2,83.1,69.2,82.2,36.3,34.2,56,26.2,40.2,33.6,27.9,20.3,38.7,109.5,148.7,73.6,9.9,16.9,14.8,23.1,16.5,14.2,100.8,109.2
Jun-21,58.2,59.5,40.8,75,40.6,19.1,66.7,56.5,53.4,43.8,61.4,56.7,66.6,63.7,25.9,50.6,76.1,55.3,36.6,40.5,54.8,45.1,64.6,195,35.5,42.1,13.4,42,47.1,39.8,54.7,33.5,34.5,57.2,35.8,69.5,59.9,42.3,44.4,34.7,22.1,48.8,29.7,36.1,30.1,26.5,14.4,30.1,80.3,95.5,49.7,9,16.3,13.7,17.4,12,12.2,74,69
Jul-21,46.2,48.4,37.3,45.5,46.5,13.7,48.5,41.4,37,38.8,44.9,54.8,67.4,60,27.5,68.8,83,62.7,43.5,38.2,49.9,51.9,77.8,247.5,47.4,42.2,15.5,43.6,56.7,32.2,36.7,26.9,27.5,38.9,21.9,68.6,55.7,24.3,31.2,26.7,14.9,50.9,18.6,21.3,24.1,19.8,16,26.9,47.4,56.7,27.4,10.9,11.3,10.5,22.9,11.5,11.1,41.8,50.6
Aug-21,42.5,52.4,42.5,40.3,48.5,13.5,50,44.1,40.9,40,47.3,46.6,87.1,58.4,29.4,75.1,71.4,73,42.8,30.7,67.7,93.4,129.4,291.1,50.5,39.3,15.9,41,54,29.3,45.1,26.3,30.2,50,28.3,61.3,50.3,28.3,29.8,26.1,16.3,55.3,22.1,24.7,25.4,20.8,11.3,29.6,44.5,52.7,29.1,9.8,9.9,7.7,16.4,9.4,11.7,52.3,50.2
Sep-21,31.9,50.2,42.8,46,65.1,16.1,36,31.7,32.1,30.5,35.5,43.6,74.8,61,43,104.4,114.7,82.2,59.6,61.4,104.2,131.5,197.3,270.9,87.2,59.3,27.8,61.1,65.7,31,36.4,25.5,22.8,39.6,27.9,55.3,48.5,25.8,26.6,31.6,21.3,45.7,20.3,24.4,27,27.2,12.9,32,47.2,53.2,26.8,11.6,15.9,12.3,25.7,11.3,12.6,48.1,34.8
Oct-21,55.6,63.2,57.7,56.4,67.1,20.5,60,49.2,47.8,47.3,65.4,72.8,94.9,70.7,49.8,169.6,131.4,89.2,68.2,67.1,170.5,235.2,324,450.9,44.5,46.4,25.6,75.1,80.1,30.5,48.9,28.9,32.8,54.8,33.5,96.1,84.2,44.6,42.9,29.2,26.4,57.2,34,34.5,26.4,32.2,16,42,66.2,65.6,40.4,12.7,21.8,18.7,32.4,14.6,13.6,60.7,55.7
