month,重庆,成都,贵阳,昆明,绵阳,宜宾,攀枝花,泸州,自贡,德阳,南充,遵义,曲靖,玉溪,六盘水,安顺,铜仁地区,毕节,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,保山,昭通,丽江,普洱,临沧,楚雄州,红河州,文山州,西双版纳州,大理州,德宏州,怒江州,迪庆州,广元,遂宁,内江,乐山,眉山,广安,达州,雅安,巴中,资阳,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州
Jan-21,93,109,69.4,58.8,108.7,98.3,85.3,90.4,116,111,105.4,65.7,55,48.9,48.3,44,82.2,49,53.7,61,53.8,34.4,53.1,27.5,49.8,51.6,42.5,48.3,47.6,62.7,28.2,68.2,58.8,18,83.9,105.1,95.8,108.7,99.8,93.4,121,78.3,94.3,103.9,38.3,23.8,59
Feb-21,71.9,83.4,47.4,46.3,78.5,97.6,53.9,91.8,106.1,83.2,81.7,49.6,47.6,45.8,54.2,39.5,50.8,52.7,42.9,41.8,35.6,35.9,51,25.4,45.1,46.1,40.9,36.8,37.7,47,30.4,59.3,45.1,18.6,55.5,76.9,84.4,83.6,76.8,80,79.2,55.1,59.1,81.3,23,15.6,39.3
Mar-21,56.6,94.6,67.8,83.8,84.7,79.3,69.6,66.7,89.3,89.7,62.7,51.9,77.3,78.6,61.3,53.7,46.3,53.9,54,53.6,48.8,69.6,54.5,40.7,93.8,91.9,65.3,74.4,65.9,110.5,60,109.5,80.5,30.7,66.9,59,65,81.7,81.2,50.6,67.7,58.1,52,74.7,30.7,22.8,50.7
Apr-21,42,48.9,37.1,65.1,41.7,48.9,56.3,42.5,54.3,49.2,41.6,26.6,52.8,62.8,38.4,32.5,26.2,26.1,34.9,21.3,20,67,35.1,40.9,69.3,79.1,54.8,55.3,50.3,77.6,55.2,100.1,67.1,30.1,33.2,32.2,39.1,41.4,44.9,34.7,44.8,24.9,30.8,39,24.4,16.1,41.1
May-21,47.9,59.8,35.7,34.4,65.7,57.2,33.3,43.8,59.6,70.3,64.7,31,31.8,30.4,29.4,32.7,29,28.9,23.7,24.8,21.7,27.2,31.3,22,28.3,36.9,25,26.3,26.3,31.4,24.3,40.3,37.7,11.7,45.7,46.9,46.8,44.7,50.1,53.7,68.6,32.5,51.7,48.3,24.3,13.9,28.1
Jun-21,42.3,52.3,33.9,25.4,46.7,48.1,32.2,34.4,49.2,54.2,43.9,27.2,25,20.7,26.7,21.3,28.7,28.8,20.6,24.6,22.7,15.1,30,17.9,17,21.9,15.8,19.8,19.6,19.5,15.1,27.3,22.4,9,29.1,32.4,36.9,43.9,42.8,39.3,43.5,27.9,31.2,38.6,24.4,16.3,26.8
Jul-21,31.1,36,30.7,24.3,34.4,33.6,31.9,24.2,35.9,35,31.2,24.4,21.6,21.2,23.2,18.2,22.2,23.2,18.2,19.9,16.5,15.3,24.5,18.9,14.3,17.9,17.7,20.5,20.1,18.7,14.1,18.9,18.2,12.7,24,25.2,28.6,30.4,28.5,29.5,32,21.1,22,23,21.5,14.1,25.5
Aug-21,30.8,31.2,31.6,26.8,27.8,31.9,34.4,23.6,34.7,31.9,26.6,25.7,22.8,22.5,23.8,19.1,22.5,25.2,20.1,20.2,16.9,13.9,29,17.6,14.1,17.8,18.7,21.2,20.8,16.8,13.4,20.1,18.4,15,22.3,21.8,24,27.3,24.2,26.5,29.4,20.2,21.7,16.8,19.8,12.5,26.9
Sep-21,34.8,31,31.2,29.4,30.1,34.5,32.6,27.7,35.7,35.3,28.7,30.3,22.6,25.4,22.9,20,25,24,18.4,21.4,16.9,16.8,27,17.6,17.6,21.5,20.9,24,21.2,21.9,16.3,24.4,23.9,14.4,23.3,24.7,27.8,32.3,27.1,31,36.5,22.7,22.7,16.2,20.8,14.1,24.8
Oct-21,38,37.9,29.9,20.7,30.4,39.9,33.7,36.2,43.9,40.3,31.3,28.2,19.3,18.5,23.8,23.3,27.4,23,23.3,25.2,19.3,15.4,23.3,18.8,14.6,19.6,16.8,25.3,19.8,21,17.1,26.4,25.2,14.7,23.3,27.2,35.3,33.9,35.1,32.4,35.7,23.3,22.1,23,21.8,12.9,25.6
Nov-21,72.5,77.4,45.4,31,73.1,72.9,46.8,68.2,87.5,84,71,45.2,28,23.5,40.3,33.3,46.6,41,30.5,34.9,30.8,16,38.5,23,17.6,26.8,21.8,32.6,26.6,23.2,17.2,32.2,32.3,18.4,54.8,66.7,69.8,69.5,67.1,72.4,75,53.5,57.8,65.8,29.4,22,35.2
Dec-21,84.6,91,57.4,41.3,82,87.3,58.1,82.9,93.9,91.5,80.4,57.1,36.3,37.1,54.1,47.8,65.4,51.6,43.4,49.6,43.6,20.5,51.7,25.9,27.7,33.8,32.6,41,40.4,36.3,21.4,43.6,43.5,19.4,59.4,79.2,77.1,82.5,75.4,77.4,86.8,65.8,68.6,78.4,31.9,26,52.2
Jan-22,71.3,85.6,35.3,28,78.4,86.9,60.7,76.5,94.5,87.1,79.4,34.2,27.1,28.8,36.3,27.2,46.8,31.7,30.5,29.8,21.3,21.5,41.8,17.9,25.4,37.5,27.3,29.1,25,30.4,18.6,45.5,40,15.2,61.5,79.7,78.9,94.8,79.3,76.1,77.3,67.4,63.8,91.5,21.8,26.2,71.9
Feb-22,48,53.5,33.2,38.2,51.3,57.8,42.2,52.3,60.9,60.2,54.6,35.9,35.3,39.9,30.4,30.3,39.7,28.8,29.3,28.8,24.9,36.8,32.1,19.7,29.3,51.4,29.7,28.9,27.4,33.7,25.7,52.1,37.4,17.6,45.9,55.2,47.8,57.9,47.2,51.2,52.9,37.7,43.8,60.8,17.5,15.9,24.7
Mar-22,56.1,83.4,46.7,54.4,74.7,82.9,58.4,77.5,79.6,84.8,63.7,44.6,52.3,53.8,56.2,42.3,32.7,51.6,35.4,37.1,34.6,51,52.9,33.2,49.5,75.7,44.5,48.6,44.1,59.4,43.6,74.3,50.9,30.7,60.8,73.8,60.4,79.8,66.5,56.9,60.9,52.3,56.1,70.4,23.8,39.6,43.6
Apr-22,41.7,55.8,36.8,51.1,54,50.4,48.9,50,52.7,63.3,49.8,31.4,48.5,52.2,33.6,29.7,22.4,29.5,26.2,30.2,27.1,51.7,34.3,28.6,48.3,73.4,40.7,54,50.5,51.1,43.3,68.5,36.4,24.3,47.7,53.6,41.5,49,43.3,42.4,46.8,36.3,38.3,49.6,18.7,26.4,33.4
May-22,32.1,46.8,25.2,28.2,49.9,42.8,34.6,39.1,40.8,52.9,45.5,25.8,27.8,26.3,21.3,24.9,17.3,25.2,14.6,21.3,18.4,33.7,27.2,22.8,23.5,52.3,24,26.6,22.1,22.5,26.8,44.6,30.7,17.5,33,49.1,33.7,40.3,34,36.4,40.9,29.7,36.2,44.1,17.9,19.9,25.4
Jun-22,35.1,46.2,27.7,23.1,52.8,48.6,29.2,46.8,42.5,56.6,41.6,24.4,23.5,19.2,24.8,22,14.1,25.7,13.4,20.6,18.1,17.9,29,15.5,15.9,36.5,15.2,18.9,18.1,16,18.6,30.4,21.5,12.7,32.2,42.5,33.3,45.5,31.6,41.6,37.8,30.9,32.6,46.8,13.2,16,30.5
Jul-22,29.8,40.3,22.3,24.5,41.3,44.3,33.5,38.2,35.3,43.1,33.3,21.6,25,20.9,22.1,16.3,12.7,21.6,12.9,14.4,12.9,19.5,26.9,20.1,12.1,31.3,17.4,18.3,19.6,14.1,21.5,24.6,23,17,26.1,34.8,23.2,37.4,26.4,30.2,26.9,31.2,24.7,33.9,14.2,20.6,32.8
Aug-22,23.6,36.6,21.9,22.8,33.9,37.5,38.3,28.6,34.2,40.3,34.1,21.1,23.8,18.7,20.1,15.5,13,23.7,15.5,15.1,14.4,13.9,26.3,19.5,11.4,30.9,18.6,16.9,18.4,12.6,20.7,25.4,22.4,17.1,25.2,35.9,21,34.9,27.8,28.8,28.7,27.6,26.9,30,16.7,17.9,30.4
Sep-22,45.4,35.9,33.9,26.2,40.9,39.2,40.7,44,40.3,45.6,41.3,38.6,27.1,22.4,24.4,34.1,25.7,25.6,25.7,39,33.7,16.5,25.3,20.8,14.8,22,21.2,26.8,28.5,16.1,22.3,27.6,25.2,15.3,32.3,39.3,26.2,38.8,32.8,48.1,39.1,28.6,31.5,34.4,9.3,10.9,26.5
Oct-22,55.3,61.8,32.7,29.4,46.3,66.2,43.7,77,71.7,58.9,53.2,34.9,30.3,26.9,31,33.4,33.3,35.3,23,29.5,25.2,17.5,30.9,21,16.8,21.4,22.7,32.2,34,17.5,22.5,29.2,26.6,15.3,32.5,53.7,53.1,58.3,53.7,52.8,45.6,34.9,37,55.3,14.7,16.3,33.8
Nov-22,61.1,70.1,44.6,36.9,61.9,76.3,52.7,85.4,67.8,74.2,52.8,40.9,37.3,31.1,48.4,38.6,36.4,52.8,37.3,32,26.8,16.8,41.1,23,20,23.8,28.3,34.2,35.3,22.2,23.2,38.3,35.4,20.1,48.6,54.5,55.1,66.2,64.9,58.7,44,50.2,39,58.6,20.4,23.9,39.2
