month,北京,天津,石家庄,唐山,秦皇岛,邯郸,保定,张家口,承德,廊坊,沧州,衡水,邢台,太原,呼和浩特,包头,鄂尔多斯,大同,长治,临汾,阳泉,赤峰,乌海,通辽,呼伦贝尔,巴彦淖尔,乌兰察布,兴安盟,锡林郭勒盟,阿拉善盟,晋城,朔州,晋中,运城,忻州,吕梁,雄安新区
2021-01,39.7,50.2,67.5,55.9,49.2,72.4,55.5,41.6,40.0,44.5,60.1,61.9,67.0,68.4,60.8,58.9,41.7,61.9,56.6,78.3,64.7,35.9,45.0,47.4,23.4,45.5,34.3,26.1,11.1,34.2,57.4,54.4,49.7,86.0,79.5,49.5,57.0
2021-02,62.5,59.9,73.3,75.2,58.7,62.6,70.5,33.6,39.5,64.7,50.6,56.6,65.5,59.2,45.5,43.8,25.9,45.1,51.7,82.3,60.5,39.6,36.1,42.8,21.4,32.2,31.2,26.4,13.6,27.3,46.1,44.3,47.0,73.4,69.2,40.0,73.8
2021-03,83.5,74.9,87.1,78.7,63.5,63.2,75.9,62.8,51.5,69.3,59.8,60.0,72.1,86.6,64.3,74.3,63.1,60.6,83.4,75.9,83.5,37.6,69.4,46.9,17.1,66.2,47.3,47.2,21.5,81.4,52.1,67.6,59.9,68.6,87.3,56.0,72.8
2021-04,34.0,40.7,45.4,44.0,36.5,41.6,40.3,28.7,26.1,34.5,36.1,37.1,40.9,47.4,30.0,32.6,27.2,30.9,44.4,51.3,45.1,26.2,31.6,33.2,15.5,32.7,24.2,23.8,16.1,29.9,39.0,31.9,34.8,41.3,41.6,29.9,39.2
2021-05,26.0,31.9,41.3,36.4,28.6,42.0,35.1,23.6,26.9,28.5,29.6,34.1,39.8,53.1,35.3,45.6,34.9,27.0,39.3,43.9,40.3,20.8,36.9,25.8,14.3,31.5,23.0,17.2,15.3,29.5,30.8,32.9,37.9,35.4,45.2,29.9,35.8
2021-06,18.6,29.1,31.3,30.9,24.2,36.0,28.4,16.7,20.6,26.3,31.4,33.2,28.1,32.0,17.3,20.7,20.7,19.0,30.0,37.8,35.9,13.9,19.9,14.7,15.8,19.3,16.4,16.8,7.1,26.3,26.3,22.0,31.0,28.5,27.4,24.2,35.4
2021-07,16.0,20.8,25.0,25.7,17.9,24.7,22.2,13.5,21.2,18.7,22.4,23.2,22.8,27.2,13.0,16.5,15.8,15.6,19.7,28.5,29.2,16.1,21.8,11.8,12.0,18.3,16.8,14.5,5.5,21.3,18.3,19.9,24.9,22.1,24.2,16.5,25.9
2021-08,18.6,23.2,28.3,25.4,18.0,30.2,25.2,21.9,21.1,21.3,25.0,23.9,26.6,32.9,23.9,25.8,23.3,24.1,31.3,37.8,36.3,13.7,21.5,20.1,20.1,25.2,22.9,19.8,10.8,18.1,28.6,27.9,32.8,27.1,30.7,22.9,25.6
2021-09,18.3,22.8,29.0,26.6,16.6,25.1,29.7,16.8,20.6,26.3,24.3,26.2,25.1,29.5,15.8,18.9,18.4,17.4,23.2,39.1,30.2,16.2,23.9,20.4,15.5,19.7,14.8,16.8,7.7,18.6,23.5,21.9,27.1,25.1,24.9,18.1,31.4
2021-10,24.8,39.3,39.6,44.7,33.0,50.3,44.6,19.1,27.1,38.5,41.6,46.0,43.8,38.0,21.1,24.6,20.3,20.7,35.1,52.3,35.0,18.6,19.7,26.4,16.1,27.4,17.3,22.8,7.2,18.8,35.7,27.2,33.2,43.6,24.9,23.9,45.5
2021-11,44.0,47.7,56.7,50.2,47.1,68.8,57.8,26.3,40.4,46.8,54.0,55.3,60.4,53.7,37.6,39.7,26.6,32.2,47.8,65.8,48.7,22.8,33.6,37.0,18.1,32.3,25.1,27.4,8.9,24.0,44.6,36.4,43.1,74.9,40.9,30.4,54.0
2021-12,27.2,50.1,46.7,43.1,33.7,59.8,50.0,18.7,36.2,42.1,55.3,60.7,51.7,51.6,39.4,40.9,18.5,30.0,42.9,69.2,42.1,18.6,28.5,34.3,20.9,30.9,22.5,27.9,7.2,21.6,39.7,30.2,48.0,83.2,39.7,32.2,51.9
2022-01,44.9,52.1,89.3,56.3,45.4,106.9,78.1,28.6,45.2,53.4,61.6,83.4,100.3,86.3,50.1,55.3,41.7,50.0,75.9,96.6,83.3,36.2,57.5,55.8,27.9,53.0,32.3,48.6,9.7,36.6,81.3,61.5,94.7,100.9,71.5,47.9,67.6
2022-02,22.3,37.1,44.7,41.3,35.2,57.7,43.4,17.3,25.0,32.7,40.2,49.6,52.3,43.7,23.8,25.0,21.9,31.2,48.4,54.8,41.4,18.5,40.3,35.6,25.2,31.9,20.2,28.5,7.9,22.6,50.0,32.4,45.6,65.4,39.5,28.0,41.0
2022-03,40.6,46.4,61.9,44.5,33.4,63.6,55.2,25.8,29.6,42.8,41.7,48.9,62.3,66.4,30.6,42.9,32.8,34.3,52.9,62.7,63.8,20.0,38.5,28.1,19.9,42.8,24.5,29.9,8.2,32.6,48.1,40.1,71.4,58.6,54.1,36.8,48.7
2022-04,36.2,39.1,44.3,41.7,33.8,41.1,44.8,20.9,26.7,42.3,36.3,35.6,42.1,43.6,27.3,29.4,28.0,28.6,37.3,44.8,41.2,17.9,36.2,34.1,16.3,34.8,18.7,30.0,8.1,35.2,34.3,27.1,43.9,41.1,27.5,23.7,41.5
