month,西安,兰州,西宁,银川,乌鲁木齐,拉萨,咸阳,铜川,延安,宝鸡,渭南,金昌,嘉峪关,石嘴山,克拉玛依,巴音郭楞州,吐鲁番地区,哈密地区,昌吉州,博尔塔拉蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克州,塔城地区,阿勒泰地区,石河子,五家渠,汉中,榆林,安康,商洛,白银,天水,武威,张掖,平凉,庆阳,陇南,甘南州,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,吴忠,中卫,固原,昌都,山南,日喀则,那曲地区,阿里地区,林芝,兰州新区,西咸新区
Jan-21,82.6,49,45.1,44.2,108.6,14.6,91.3,59.5,45.6,71.3,75,29.8,28.3,64.3,55.2,49.3,82.6,38.2,169.7,42.6,62.2,43.9,96,44.6,103.6,17.1,19.7,163.9,188.2,99.6,51.9,63.2,43.9,37.3,55,47.7,34.4,28.4,35.7,41.9,27.2,47.3,22.7,29,24.1,19.1,11.4,15.3,48,42.7,30.3,12.8,15.1,11.5,26.2,8.5,11.2,34.5,77.8
Feb-21,74.8,38.3,38.1,35.5,96.4,10.6,95.4,53.2,41.9,64,73,20.3,18.9,44.8,53.3,43.7,80.2,34.6,134.2,37.1,68.4,50.3,103.4,57.2,41.6,13.6,13,129.9,141.5,68.1,35.7,48.7,39,26.9,39.5,36.6,34.5,25.9,38.8,30.6,20.9,37.8,19.7,21.1,21.4,22.5,9.8,18.1,41.2,41.4,26.8,11.2,9.8,12.3,20.1,7.9,13,24.9,76
Mar-21,63.2,93.6,80.1,68.8,48.4,11.5,68,66.7,76.2,74.1,71.8,86.3,88.2,100.8,17.7,70.7,50.5,53.4,50.5,21.7,87.2,85.6,123.7,145.6,25.8,10.6,10.9,47.6,51.6,34.8,71.4,34,37.5,111.9,37.3,127.1,115.3,41.3,53.1,21.5,34.9,70.1,43.2,56.1,39.8,26.1,11,27.1,103.9,112.1,59.6,10,11,10.7,21.8,11.9,14.2,96.7,62.6
Apr-21,32.9,34.2,30.3,29.9,18.8,12.6,33.4,38.1,35.4,39.8,37.9,25.2,26.7,36.7,12,43.5,32.3,24,18.8,15.8,44.6,36.5,61.5,92.1,23.8,11.1,8.2,19.5,21.4,21,32.4,20.7,23.4,31,20.3,39.7,37,23.7,29.4,9.9,12.1,36.4,22.6,22.2,21.2,18,10.1,15.1,39.4,47.9,28.2,8.4,13.2,10.9,20.5,10.5,11.8,31.6,33.9
May-21,33.8,32.5,24.4,29.7,21.6,8.4,34.8,31.7,31.2,30.3,30.8,22,24.2,44.6,12.5,37.7,59.9,19.4,23.5,14.7,44.3,67.1,93.8,171.4,19.5,10.7,9,24.5,28.4,30.8,38.7,27.4,24.6,31.2,17.7,31.3,30.9,17.1,27.6,11.5,11.1,27.7,18.1,14.6,19.1,16.3,7.9,13.4,42.4,48.5,24.5,5.6,8.8,5.4,13.9,7.7,7.5,27.1,35.7
Jun-21,23.3,23.1,22.5,25.3,12.6,8,26.8,24,22.1,21.4,23.1,15.9,23,25.6,9.1,17.3,20.4,13.9,11.9,10.9,21.2,10.7,19.3,63.9,13.7,9.1,6.8,16.6,16.8,21.5,22.5,17.4,17.4,18.5,12.7,25.8,23.8,11.9,18,8.8,8.7,26.8,21.1,16.4,17.2,15.5,6,13.4,34.4,33.6,19.2,5.3,6.3,6.4,8.7,6,5.9,22,28.4
Jul-21,19.5,18.4,19.1,16.8,14.1,6.5,20.5,18.7,16.7,18.2,18.7,13.8,21.6,21.9,9.4,21.9,23.4,15.2,13.3,10.3,18.2,14.5,28.2,73.7,16.2,9.5,7.2,15.8,18,15.5,15.4,12.8,13,12.1,8.3,22.7,22.2,8.5,14.5,6.9,7.1,23.6,17.2,16.4,13.9,14.5,7.9,12.4,18.8,20.3,11.7,5.6,5,4.3,11,6,5.5,15.8,22.3
Aug-21,20.1,20.5,21.3,16.6,15.2,5.8,22.6,21.2,17.7,20.6,21.1,12.8,26.5,21.7,10.2,23.9,19.3,17.4,14.5,9.7,20.6,26.1,49.2,89.2,18.7,12.7,7.8,16.3,18.3,15.1,20.1,14.2,15.6,16.5,9.6,22.5,21.8,9.8,13.4,6.4,7.7,28.5,22.5,18.1,15.9,13.8,4.3,13.4,18.9,20.2,12.2,5,4.7,2.9,9.4,4.7,5.7,19.9,23.6
Sep-21,16.1,20.6,23.6,18.7,18.5,6.3,17.3,15.7,12,15.7,16.6,11.7,24.9,23.3,12.8,29.7,28.5,19.9,18.7,14.5,31.6,32.4,65,80,26.8,12.1,8.8,19.7,20.3,15.9,16.3,12.2,11.2,13.6,9.8,18,21,9.1,10.3,6,8,27.4,19.1,17.3,17.2,17.8,5.2,14,17.8,19.5,11.8,6,6.9,4.6,14.9,5.6,6,18.8,18.2
Oct-21,26.3,31.3,32.3,24.2,26.1,7.7,28.9,25.7,20.4,28.8,40.1,19.7,28.1,26.3,15.1,33.6,34.9,22.7,27,20.1,46.7,51.2,98.8,127.3,27.5,12.9,8.4,31.3,30.7,16.8,20.8,16.6,17.7,20.6,16.1,36.2,34.9,16.5,21.3,7.6,10.6,34.8,25.4,22.2,16.5,20.3,7.5,18.4,26.2,25.6,19,6.7,7.9,6.1,19.5,6.2,6.3,26.4,27.6
