month,重庆,成都,贵阳,昆明,绵阳,宜宾,攀枝花,泸州,自贡,德阳,南充,遵义,曲靖,玉溪,六盘水,安顺,铜仁地区,毕节,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,保山,昭通,丽江,普洱,临沧,楚雄州,红河州,文山州,西双版纳州,大理州,德宏州,怒江州,迪庆州,广元,遂宁,内江,乐山,眉山,广安,达州,雅安,巴中,资阳,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州
Jan-21,65.4,74.8,43.6,34.1,68.3,78.9,60.6,73.2,82.4,73.6,73.8,42.2,34.3,30.6,33.6,35.7,54.6,34.3,40.6,44.9,37.4,31.2,31.2,14.6,28.9,35.5,28,35.6,36.6,37.9,19.3,38.1,34,18.6,50.5,59.2,72.4,77.5,60.9,71.4,87.5,58.8,62.4,68,24.2,13.6,39.3
Feb-21,53,60.8,32.4,32.2,53.9,81.2,37.6,75.8,78,60.8,60.5,34.1,31.2,32.1,40.9,34.1,35.6,41.2,33.6,34.2,28.2,34.2,35.7,13.3,29,37.9,29.4,29.6,31.5,30.7,22.5,36,30.9,19.2,38,50,67,61.8,50.9,61.3,58.4,42.8,44,55.6,17.5,9.9,24.4
Mar-21,31.9,49.4,35,50.7,39.9,52.7,46,43.2,49,46.2,35.8,25.2,42.7,48.9,37.9,36.6,22.4,34.4,38,31.1,25.9,51.9,28.9,22.8,55.2,64.4,41.2,53.4,46.7,65.2,38.3,58,57.4,26.6,28.2,29.9,38.2,42.8,38.4,29.8,37,32.3,26.3,34.9,17.9,9.5,27.9
Apr-21,25,28.7,18.9,38.8,21,33.4,36.3,29.3,33.3,23.8,23.5,14.3,29.4,36.8,23.1,23.1,13.7,16.5,21.8,14.1,11.1,49.7,18.5,18.3,40.4,54.4,34.8,38,34,41.4,32.7,55.3,43.7,23.5,15.7,17.5,25.3,26,24.4,20.1,22.7,16.4,15.2,18.7,15.8,6.6,20.5
May-21,29.6,37.7,18.5,18.6,37.6,37.3,19.4,33.6,36.1,32,39.7,17.3,17.8,15.6,18.6,23.1,12.6,18.6,14.3,16.8,11.8,26.7,19.7,9.2,17.2,25.8,16.5,18.1,16.3,13.4,15.7,24.9,24.2,12.3,24.8,29.1,30.3,29.2,27,33.9,39.5,21.1,31.4,24.6,14.9,5.9,14
Jun-21,25.5,31.9,17,13.3,27.5,31.6,20.2,27,27.6,25.3,26.1,16.4,15,9.3,16.8,17,12.5,18.8,11.9,15.8,11.8,16.6,18.8,7.4,10.8,16.6,10.3,14.6,11.9,8,9.6,16.2,11.6,9.1,14.7,19.4,23.4,27.4,22.6,22.7,21,19.4,18.5,19.8,14,6.3,13.9
Jul-21,17.3,22,14,12.8,21.3,20.1,19.9,18.6,17.2,16.3,19.1,13.3,14.1,9.3,15.1,14.5,9.8,15.5,9.3,13.9,8.3,12.2,16.8,7.4,10.5,14.3,11.6,15.6,12,8,9.5,12,11,9.7,12.5,15.6,15.3,19.9,15.8,15.5,14.6,14.3,12.5,10.1,14.5,5.8,12.9
Aug-21,17.7,18.2,14.5,13.8,16.3,19.2,22.4,18.3,16.5,13.3,16.3,13.1,15.4,9.9,14.5,14.4,10.8,16.5,11.7,14.2,9.6,10.5,19.6,8.8,9.8,14.4,11.8,16,12.4,7.6,9.3,13,12.3,10.6,11.4,13.4,12.2,16.5,13.9,13.5,15.3,12.6,12.9,7,14.7,5.8,14.3
Sep-21,19.6,19.3,13.4,15.8,18.1,23,21.2,21.4,22.3,15.3,19.1,16.4,14.8,12.5,15.1,15.7,12.6,16.1,11.4,15.3,10.5,11.8,20.4,10,12.3,17.5,13.9,18,13.1,10,10.6,14.6,15,10,12.8,15.8,14.7,20.9,15.4,18,20.7,14.3,13.7,7.2,14.2,5.3,13.7
Oct-21,24,23.9,16.6,12.3,18.1,29.5,21.6,29,28.7,21.6,21.6,19,14.5,9.9,16.7,20.2,16,16.6,16.3,18.4,13.3,11.2,19,10.3,11.6,14.6,12.3,20.7,13.6,10.6,11.2,16.1,16,11.1,13.3,17.6,22,23.1,21.6,20.9,20.6,16.3,13.2,11,14,5.6,14.7
